date,cpu,memory
1723219200000,17.4,28.66
1723220100000,17.41,28.69
1723221000000,17.36,28.69
1723221900000,17.16,28.68
1723222800000,17.1,28.63
1723223700000,17.26,28.62
1723224600000,17.29,28.62
1723225500000,17.62,28.63
1723226400000,24.68,29.08
1723227300000,17.42,29.42
1723228200000,18.14,29.16
1723229100000,17.26,29.17
1723230000000,17.13,29.16
1723230900000,17.29,29.14
1723231800000,17.46,29.03
1723232700000,17.48,29.03
1723233600000,17.31,29.02
1723234500000,17.21,29.02
1723235400000,28.34,29.37
1723236300000,17.28,29.04
1723237200000,17.21,29.02
1723238100000,17.16,29.03
1723239000000,17.96,28.99
1723239900000,16.52,29.0
1723240800000,31.54,29.01
1723241700000,17.74,29.0
1723242600000,17.53,28.99
1723243500000,17.37,28.99
1723244400000,18.03,29.04
1723245300000,17.96,29.03
1723246200000,17.33,29.04
1723247100000,17.08,29.03
1723248000000,17.71,29.06
1723248900000,17.24,29.08
1723249800000,17.2,29.0
1723250700000,17.38,28.98
1723251600000,17.45,28.96
1723252500000,17.81,28.96
1723253400000,17.21,28.94
1723254300000,16.91,28.94
1723255200000,18.52,28.94
1723256100000,17.39,28.94
1723257000000,19.15,28.99
1723257900000,17.93,28.99
1723258800000,17.04,28.97
1723259700000,18.26,28.98
1723260600000,17.54,28.97
1723261500000,17.87,28.98
1723262400000,18.11,28.98
1723263300000,17.62,28.99
1723264200000,18.07,28.98
1723265100000,17.05,28.98
1723266000000,18.29,28.99
1723266900000,16.85,28.98
1723267800000,17.19,28.99
1723268700000,16.94,28.98
1723269600000,17.33,28.98
1723270500000,18.92,28.98
1723271400000,16.84,28.98
1723272300000,17.12,28.98
1723273200000,17.58,28.74
1723274100000,18.49,28.75
1723275000000,18.04,28.75
1723275900000,17.38,28.76
1723276800000,17.72,28.76
1723277700000,17.15,28.76
1723278600000,17.46,28.76
1723279500000,17.41,28.78
1723280400000,17.27,28.76
1723281300000,17.33,28.77
1723282200000,20.4,28.78
1723283100000,20.86,28.76
1723284000000,20.21,28.69
1723284900000,18.62,28.69
1723285800000,16.88,28.69
1723286700000,17.05,28.7
1723287600000,18.01,28.71
1723288500000,17.4,28.71
1723289400000,18.53,28.73
1723290300000,18.53,28.74
1723291200000,18.55,28.74
1723292100000,17.17,28.75
1723293000000,18.05,28.73
1723293900000,18.03,28.74
1723294800000,18.85,28.74
1723295700000,17.71,28.74
1723296600000,18.05,28.75
1723297500000,17.73,28.74
1723298400000,16.96,29.85
1723299300000,17.52,29.74
1723300200000,17.66,29.59
1723301100000,17.55,29.43
1723302000000,17.89,29.44
1723302900000,16.69,29.38
1723303800000,17.9,29.37
1723304700000,18.08,29.37
