date,cpu,memory
1723219200000,10.42,45.16
1723220100000,10.39,45.18
1723221000000,10.17,45.06
1723221900000,9.55,45.19
1723222800000,4.01,45.19
1723223700000,9.19,45.04
1723224600000,8.96,45.15
1723225500000,4.26,45.17
1723226400000,9.19,45.13
1723227300000,8.81,45.17
1723228200000,4.41,45.17
1723229100000,10.71,45.16
1723230000000,10.61,45.16
1723230900000,10.46,45.02
1723231800000,9.79,44.94
1723232700000,3.89,44.92
1723233600000,4.13,44.92
1723234500000,4.14,45.11
1723235400000,14.79,45.43
1723236300000,5.64,45.03
1723237200000,3.65,45.04
1723238100000,4.13,45.11
1723239000000,6.3,45.18
1723239900000,8.27,45.09
1723240800000,17.49,45.35
1723241700000,4.27,45.45
1723242600000,6.91,45.51
1723243500000,8.26,45.13
1723244400000,4.14,45.07
1723245300000,3.89,45.25
1723246200000,7.15,45.26
1723247100000,7.68,45.23
1723248000000,4.02,45.18
1723248900000,5.79,45.34
1723249800000,7.7,45.21
1723250700000,4.76,45.24
1723251600000,8.67,45.42
1723252500000,8.32,45.39
1723253400000,4.52,45.34
1723254300000,4.41,45.5
1723255200000,7.05,45.48
1723256100000,4.27,45.39
1723257000000,4.63,45.53
1723257900000,9.29,45.56
1723258800000,4.02,45.46
1723259700000,4.28,45.65
1723260600000,8.54,45.63
1723261500000,4.14,45.5
1723262400000,5.01,45.67
1723263300000,7.63,45.55
1723264200000,3.76,45.6
1723265100000,7.79,45.75
1723266000000,15.07,45.64
1723266900000,4.62,45.74
1723267800000,6.93,45.14
1723268700000,4.02,45.01
1723269600000,4.9,45.13
1723270500000,8.68,44.97
1723271400000,7.32,44.71
1723272300000,7.79,44.72
1723273200000,3.64,44.66
1723274100000,7.81,44.8
1723275000000,6.53,44.67
1723275900000,5.29,44.83
1723276800000,7.31,44.73
1723277700000,4.77,44.81
1723278600000,8.31,44.85
1723279500000,4.03,44.85
1723280400000,9.53,44.87
1723281300000,3.9,44.71
1723282200000,8.44,44.87
1723283100000,3.76,44.74
1723284000000,8.91,44.93
1723284900000,3.77,44.79
1723285800000,9.04,45.01
1723286700000,3.89,44.94
1723287600000,9.89,45.07
1723288500000,4.14,44.69
1723289400000,7.92,44.85
1723290300000,4.4,44.73
1723291200000,9.96,44.92
1723292100000,8.14,45.09
1723293000000,10.96,45.1
1723293900000,4.54,45.12
1723294800000,10.37,45.08
1723295700000,4.66,45.03
1723296600000,9.42,44.94
1723297500000,10.58,45.07
1723298400000,4.39,44.95
1723299300000,8.67,45.08
1723300200000,4.27,45.13
1723301100000,9.8,45.08
1723302000000,11.05,45.14
1723302900000,4.28,45.02
1723303800000,10.41,45.07
1723304700000,6.66,45.1
1723305600000,13.34,44.98
1723306500000,9.68,45.13
1723307400000,5.02,45.18
1723308300000,9.67,45.18
1723309200000,9.95,45.2
1723310100000,4.9,45.09
1723311000000,10.45,45.18
1723311900000,10.44,45.18
1723312800000,5.02,45.08
1723313700000,10.58,45.2
1723314600000,10.81,45.19
1723315500000,9.63,45.01
1723316400000,10.54,45.18
1723317300000,5.92,45.02
1723318200000,9.05,45.01
1723319100000,3.91,45.06
1723320000000,3.39,45.03
1723320900000,4.53,45.15
1723321800000,14.2,45.68
