date,cpu,memory
1723219200000,3.9,44.24
1723219200000,3.9,44.24
1723220100000,4.59,44.24
1723220100000,4.59,44.24
1723221000000,4.4,44.2
1723221000000,4.4,44.2
1723221900000,3.82,44.23
1723221900000,3.82,44.23
1723222800000,4.02,44.23
1723222800000,4.02,44.23
1723223700000,3.71,44.23
1723223700000,3.71,44.23
1723224600000,4.02,44.23
1723224600000,4.02,44.23
1723225500000,3.95,44.23
1723225500000,3.95,44.23
1723226400000,4.21,44.23
1723226400000,4.21,44.23
1723227300000,18.81,44.23
1723227300000,18.81,44.23
1723228200000,4.27,44.23
1723228200000,4.27,44.23
1723229100000,4.15,44.24
1723229100000,4.15,44.24
1723230000000,5.54,44.24
1723230000000,5.54,44.24
1723230900000,3.96,44.24
1723230900000,3.96,44.24
1723231800000,4.22,44.26
1723231800000,4.22,44.26
1723232700000,4.64,44.26
1723232700000,4.64,44.26
1723233600000,3.77,44.26
1723233600000,3.77,44.26
1723234500000,3.9,44.26
1723234500000,3.9,44.26
1723235400000,7.47,44.47
1723235400000,7.47,44.47
1723236300000,4.32,44.23
1723236300000,4.32,44.23
1723237200000,4.27,44.23
1723237200000,4.27,44.23
1723238100000,3.96,44.23
1723238100000,3.96,44.23
1723239000000,4.02,44.25
1723239000000,4.02,44.25
1723239900000,4.02,44.24
1723239900000,4.02,44.24
1723240800000,8.74,44.28
1723240800000,8.74,44.28
1723241700000,4.34,44.27
1723241700000,4.34,44.27
1723242600000,4.21,44.25
1723242600000,4.21,44.25
1723243500000,4.03,44.24
1723243500000,4.03,44.24
1723244400000,4.4,44.26
1723244400000,4.4,44.26
1723245300000,4.09,44.25
1723245300000,4.09,44.25
1723246200000,4.33,44.25
1723246200000,4.33,44.25
1723247100000,4.84,44.27
1723247100000,4.84,44.27
1723248000000,4.84,44.27
1723248000000,4.84,44.27
1723248900000,4.15,44.28
1723248900000,4.15,44.28
1723249800000,4.09,44.28
1723249800000,4.09,44.28
1723250700000,4.14,44.26
1723250700000,4.14,44.26
1723251600000,4.72,44.28
1723251600000,4.72,44.28
1723252500000,4.53,44.28
1723252500000,4.53,44.28
1723253400000,4.71,44.25
1723253400000,4.71,44.25
1723254300000,4.46,44.26
1723254300000,4.46,44.26
1723255200000,4.15,44.26
1723255200000,4.15,44.26
1723256100000,3.77,44.14
1723256100000,3.77,44.14
1723257000000,4.14,44.15
1723257000000,4.14,44.15
1723257900000,4.09,44.15
1723257900000,4.09,44.15
1723258800000,4.28,44.16
1723258800000,4.28,44.16
1723259700000,5.09,44.16
1723259700000,5.09,44.16
1723260600000,4.39,44.16
1723260600000,4.39,44.16
1723261500000,4.54,44.16
1723261500000,4.54,44.16
1723262400000,6.48,44.17
1723262400000,6.48,44.17
1723263300000,3.71,44.17
1723263300000,3.71,44.17
1723264200000,4.2,44.17
1723264200000,4.2,44.17
1723265100000,4.09,44.16
1723265100000,4.09,44.16
1723266000000,4.59,44.17
1723266000000,4.59,44.17
1723266900000,4.2,44.18
1723266900000,4.2,44.18
1723267800000,4.65,44.19
1723267800000,4.65,44.19
1723268700000,4.02,44.16
1723268700000,4.02,44.16
1723269600000,4.03,44.18
1723269600000,4.03,44.18
1723270500000,4.16,44.19
1723270500000,4.16,44.19
1723271400000,4.08,44.19
1723271400000,4.08,44.19
