date,cpu,memory
1723219200000,20.72,35.18
1723220100000,21.19,35.21
1723221000000,18.34,35.2
1723221900000,17.94,35.23
1723222800000,23.23,35.23
1723223700000,22.11,35.21
1723224600000,21.84,35.22
1723225500000,31.85,35.25
1723226400000,20.35,35.24
1723227300000,45.4,35.24
1723228200000,19.87,35.26
1723229100000,22.75,35.27
1723230000000,13.52,35.26
1723230900000,22.68,35.27
1723231800000,48.12,35.21
1723232700000,23.06,35.24
1723233600000,40.96,35.23
1723234500000,21.42,35.23
1723235400000,8.8,35.38
1723236300000,8.55,35.12
1723237200000,4.88,35.05
1723238100000,5.3,35.04
1723239000000,4.86,35.02
1723239900000,4.75,35.02
1723240800000,11.03,35.04
1723241700000,5.38,35.02
1723242600000,4.93,35.02
1723243500000,5.32,35.01
1723244400000,5.19,35.02
1723245300000,5.32,35.01
1723246200000,5.69,35.01
1723247100000,5.71,35.01
1723248000000,4.87,35.0
1723248900000,5.27,35.01
1723249800000,5.44,35.02
1723250700000,5.07,35.01
1723251600000,5.07,35.01
1723252500000,5.25,35.01
1723253400000,5.38,35.01
1723254300000,5.94,35.01
1723255200000,5.13,35.01
1723256100000,4.81,35.01
1723257000000,5.25,35.0
1723257900000,5.25,35.0
1723258800000,4.88,35.03
1723259700000,5.58,35.0
1723260600000,4.94,35.01
1723261500000,5.62,35.01
1723262400000,5.32,35.01
1723263300000,5.07,35.01
1723264200000,5.56,35.02
1723265100000,5.12,35.01
1723266000000,4.95,35.0
1723266900000,5.25,35.02
1723267800000,5.25,35.04
1723268700000,4.93,35.03
1723269600000,5.32,35.04
1723270500000,5.19,35.04
1723271400000,5.19,35.04
1723272300000,5.13,35.04
1723273200000,5.19,35.04
1723274100000,5.5,35.05
1723275000000,5.18,35.06
1723275900000,5.19,35.07
1723276800000,5.19,35.04
1723277700000,5.44,35.04
1723278600000,5.12,35.06
1723279500000,5.62,35.07
1723280400000,5.18,35.04
1723281300000,5.51,35.05
1723282200000,5.12,35.09
1723283100000,5.19,35.05
1723284000000,4.87,35.05
1723284900000,5.19,35.06
1723285800000,5.83,35.05
1723286700000,5.06,35.05
1723287600000,5.44,35.05
