date,cpu,memory
1723219200000,3.98,22.14
1723220100000,3.8,22.16
1723221000000,3.89,22.16
1723221900000,2.92,22.19
1723222800000,8.03,22.27
1723223700000,2.82,22.17
1723224600000,3.39,22.17
1723225500000,3.89,22.16
1723226400000,4.07,22.18
1723227300000,2.79,22.19
1723228200000,3.76,22.19
1723229100000,3.89,22.23
1723230000000,2.89,22.2
1723230900000,3.01,22.2
1723231800000,4.1,22.22
1723232700000,2.82,22.22
1723233600000,3.98,22.18
1723234500000,2.73,22.15
1723235400000,4.77,22.25
1723236300000,4.15,22.18
1723237200000,4.39,22.18
1723238100000,2.7,22.19
1723239000000,4.02,22.22
1723239900000,4.14,22.19
1723240800000,6.36,22.23
1723241700000,3.64,22.2
1723242600000,3.98,22.19
1723243500000,4.2,22.19
1723244400000,2.76,22.2
1723245300000,3.35,22.19
1723246200000,3.95,22.23
1723247100000,3.29,22.19
1723248000000,4.17,22.21
1723248900000,4.02,22.21
1723249800000,3.83,22.19
1723250700000,3.95,22.2
1723251600000,4.17,22.2
1723252500000,3.83,22.22
1723253400000,3.76,22.2
1723254300000,3.95,22.2
1723255200000,3.98,22.2
1723256100000,3.67,22.23
1723257000000,3.83,22.23
1723257900000,2.88,22.26
1723258800000,4.26,22.23
1723259700000,4.04,22.23
1723260600000,3.05,22.24
1723261500000,4.08,22.26
1723262400000,4.02,22.23
1723263300000,3.8,22.24
1723264200000,2.77,22.24
1723265100000,4.05,22.25
1723266000000,3.92,22.27
1723266900000,3.79,22.27
1723267800000,3.92,22.24
1723268700000,3.95,22.24
1723269600000,3.98,22.27
1723270500000,3.83,22.26
1723271400000,4.11,22.25
1723272300000,3.98,22.26
1723273200000,3.93,22.27
1723274100000,2.76,22.27
1723275000000,3.39,22.24
1723275900000,4.39,22.28
1723276800000,4.08,22.25
1723277700000,2.76,22.25
1723278600000,3.89,22.27
1723279500000,3.76,22.26
1723280400000,4.11,22.27
1723281300000,3.95,22.25
1723282200000,3.79,22.29
1723283100000,3.89,22.29
1723284000000,4.14,22.28
1723284900000,3.83,22.29
1723285800000,2.83,22.28
1723286700000,2.64,22.27
1723287600000,2.98,22.28
1723288500000,4.14,22.3
1723289400000,3.64,22.29
1723290300000,2.72,22.29
1723291200000,3.96,22.3
