date,cpu,memory
1723219200000,4.64,24.0
1723220100000,4.52,23.77
1723221000000,4.65,23.81
1723221900000,4.34,23.86
1723222800000,4.4,23.8
1723223700000,4.4,23.8
1723224600000,4.77,23.8
1723225500000,4.71,23.77
1723226400000,4.57,23.77
1723227300000,4.69,23.77
1723228200000,4.65,23.77
1723229100000,4.45,23.79
1723230000000,4.59,23.77
1723230900000,4.52,23.76
1723231800000,6.59,23.77
1723232700000,4.77,23.78
1723233600000,4.64,23.8
1723234500000,4.52,23.8
1723235400000,10.23,23.88
1723236300000,4.58,23.8
1723237200000,4.63,23.8
1723238100000,4.39,23.8
1723239000000,4.59,23.8
1723239900000,4.59,23.8
1723240800000,11.87,23.82
1723241700000,4.76,23.82
1723242600000,4.83,23.81
1723243500000,4.52,23.8
1723244400000,4.65,23.84
1723245300000,4.58,23.83
1723246200000,4.71,23.81
1723247100000,4.64,23.84
1723248000000,4.71,23.81
1723248900000,4.64,23.81
1723249800000,4.4,23.82
1723250700000,4.71,23.82
1723251600000,4.95,23.81
1723252500000,4.58,23.81
1723253400000,4.76,23.84
1723254300000,4.7,23.81
1723255200000,4.4,23.8
1723256100000,4.64,23.8
1723257000000,4.71,23.83
1723257900000,4.52,23.8
1723258800000,4.58,23.81
1723259700000,4.59,23.81
1723260600000,4.21,23.82
1723261500000,4.9,23.81
1723262400000,4.69,23.82
1723263300000,5.02,23.84
1723264200000,4.78,23.84
1723265100000,5.28,23.84
1723266000000,4.58,23.81
1723266900000,4.51,23.81
1723267800000,5.09,23.81
1723268700000,4.71,23.81
1723269600000,4.47,23.82
1723270500000,4.52,23.82
1723271400000,4.52,23.82
1723272300000,4.59,23.85
1723273200000,4.71,23.84
1723274100000,4.34,23.85
1723275000000,4.97,23.82
1723275900000,4.64,23.82
1723276800000,5.01,23.82
1723277700000,4.84,23.83
1723278600000,4.64,23.83
1723279500000,4.84,23.83
1723280400000,4.7,23.83
1723281300000,5.22,23.84
1723282200000,4.76,23.85
1723283100000,4.77,23.84
1723284000000,4.65,23.83
1723284900000,5.08,23.83
1723285800000,4.52,23.83
1723286700000,4.83,23.83
1723287600000,4.58,23.83
1723288500000,4.89,23.83
1723289400000,4.84,23.85
1723290300000,4.78,23.84
1723291200000,4.53,23.84
1723292100000,4.58,23.85
1723293000000,4.46,23.85
1723293900000,4.64,23.86
1723294800000,4.9,23.86
1723295700000,4.88,23.87
1723296600000,4.96,23.87
1723297500000,4.77,23.86
1723298400000,4.52,23.86
1723299300000,4.58,23.9
1723300200000,4.58,23.9
1723301100000,4.46,23.86
1723302000000,4.46,23.86
1723302900000,4.77,23.86
1723303800000,5.01,23.85
1723304700000,4.66,23.85
1723305600000,4.7,23.86
1723306500000,4.64,23.86
1723307400000,4.39,23.87
1723308300000,4.89,23.87
1723309200000,4.65,23.87
1723310100000,4.83,23.89
1723311000000,4.4,23.89
1723311900000,4.52,23.9
1723312800000,4.7,23.91
1723313700000,4.69,23.92
1723314600000,4.83,23.91
1723315500000,4.71,23.91
1723316400000,4.82,23.91
1723317300000,4.65,23.89
1723318200000,4.33,23.89
1723319100000,4.26,23.9
1723320000000,4.4,23.93
1723320900000,4.64,23.93
1723321800000,10.35,24.0
1723322700000,4.26,23.91
1723323600000,4.65,23.87
1723324500000,4.21,23.86
1723325400000,4.21,23.86
1723326300000,4.35,23.86
1723327200000,10.74,23.91
1723328100000,4.4,23.91
1723329000000,4.46,23.92
1723329900000,4.21,23.89
1723330800000,4.14,23.92
1723331700000,4.32,23.93
1723332600000,4.33,23.92
1723333500000,4.58,23.9
1723334400000,4.59,23.92
1723335300000,4.46,23.89
1723336200000,4.02,23.9
1723337100000,4.33,23.89
1723338000000,4.46,23.91
1723338900000,4.08,23.91
1723339800000,4.32,23.92
1723340700000,4.32,23.95
1723341600000,4.08,23.96
1723342500000,4.51,23.96
1723343400000,4.26,23.93
1723344300000,4.52,23.96
1723345200000,4.15,23.96
1723346100000,4.45,23.96
1723347000000,4.69,23.94
1723347900000,4.52,23.94
1723348800000,4.32,23.95
1723349700000,4.52,23.93
1723350600000,4.15,23.94
1723351500000,4.82,23.93
1723352400000,4.52,23.93
1723353300000,4.52,23.93
1723354200000,4.33,23.93
1723355100000,4.64,23.93
1723356000000,4.65,23.93
1723356900000,4.28,23.92
1723357800000,4.39,23.93
1723358700000,4.9,23.92
1723359600000,4.52,23.92
1723360500000,4.39,23.93
1723361400000,4.46,23.95
1723362300000,4.33,23.98
