date,cpu,memory
1723219200000,5.15,36.06
1723220100000,5.1,36.06
1723221000000,5.17,36.07
1723221900000,5.03,36.06
1723222800000,5.16,36.06
1723223700000,4.97,36.06
1723224600000,5.1,36.02
1723225500000,4.91,36.04
1723226400000,6.42,36.04
1723227300000,5.21,36.05
1723228200000,4.79,36.06
1723229100000,5.47,36.03
1723230000000,5.03,36.02
1723230900000,4.91,36.04
1723231800000,5.09,36.04
1723232700000,4.85,36.04
1723233600000,4.96,36.04
1723234500000,4.6,36.05
1723235400000,7.31,36.13
1723236300000,4.85,36.06
1723237200000,5.22,36.06
1723238100000,4.91,36.05
1723239000000,5.22,36.04
1723239900000,4.91,36.04
1723240800000,11.92,36.06
1723241700000,4.91,36.04
1723242600000,4.97,36.05
1723243500000,4.98,36.05
1723244400000,4.91,36.06
1723245300000,5.16,36.06
1723246200000,5.41,36.05
1723247100000,4.84,36.04
1723248000000,4.84,36.05
1723248900000,5.09,36.05
1723249800000,5.16,36.04
1723250700000,5.05,36.09
1723251600000,4.78,36.07
1723252500000,5.22,36.07
1723253400000,5.03,36.07
1723254300000,5.09,36.08
1723255200000,4.91,36.07
1723256100000,4.91,36.07
1723257000000,4.96,36.08
1723257900000,5.16,36.08
1723258800000,4.97,36.08
1723259700000,5.03,36.08
1723260600000,5.23,36.08
1723261500000,5.04,36.08
1723262400000,5.27,36.07
1723263300000,5.22,36.07
1723264200000,5.14,36.08
1723265100000,5.21,36.08
1723266000000,5.03,36.1
1723266900000,5.09,36.11
1723267800000,4.91,36.1
1723268700000,4.98,36.1
1723269600000,5.09,36.07
1723270500000,5.34,36.08
1723271400000,4.9,36.09
1723272300000,5.03,36.09
1723273200000,4.9,36.07
1723274100000,5.16,36.07
1723275000000,5.16,36.07
1723275900000,5.03,36.08
1723276800000,5.11,36.09
1723277700000,5.1,36.11
1723278600000,5.1,36.1
1723279500000,5.04,36.1
1723280400000,5.28,36.1
1723281300000,4.97,36.1
1723282200000,5.04,36.1
1723283100000,4.84,36.1
1723284000000,5.36,36.1
1723284900000,4.97,36.11
1723285800000,5.16,36.11
1723286700000,5.09,36.11
1723287600000,5.04,36.11
1723288500000,4.78,36.11
1723289400000,5.16,36.1
1723290300000,5.23,36.1
1723291200000,5.03,36.11
1723292100000,4.97,36.12
1723293000000,5.54,36.11
1723293900000,5.1,36.11
1723294800000,5.11,36.11
1723295700000,5.1,36.11
1723296600000,5.09,36.12
1723297500000,5.1,36.12
1723298400000,5.15,36.12
1723299300000,4.97,36.12
1723300200000,5.1,36.13
1723301100000,5.04,36.13
1723302000000,5.47,36.16
1723302900000,5.29,36.16
1723303800000,5.54,36.17
1723304700000,4.97,36.18
1723305600000,5.1,36.18
1723306500000,5.03,36.16
1723307400000,5.03,36.16
1723308300000,5.16,36.16
1723309200000,5.04,36.16
1723310100000,5.04,36.16
1723311000000,4.85,36.16
1723311900000,5.04,36.15
1723312800000,5.35,36.17
1723313700000,5.29,36.16
1723314600000,5.04,36.16
1723315500000,4.97,36.15
1723316400000,4.96,36.16
1723317300000,4.53,36.16
1723318200000,4.78,36.16
1723319100000,4.72,36.16
1723320000000,4.54,36.16
1723320900000,4.84,36.16
1723321800000,7.04,36.33
1723322700000,4.96,36.16
1723323600000,4.91,36.16
