date,cpu,memory
1723219200000,2.67,31.88
1723220100000,2.6,31.87
1723221000000,2.63,31.88
1723221900000,2.82,31.89
1723222800000,2.64,31.89
1723223700000,2.63,31.88
1723224600000,2.67,31.88
1723225500000,2.79,31.88
1723226400000,3.11,31.91
1723227300000,2.51,31.95
1723228200000,2.57,31.97
1723229100000,2.82,31.97
1723230000000,2.88,31.96
1723230900000,2.61,31.95
1723231800000,3.26,31.96
1723232700000,2.61,31.94
1723233600000,2.07,31.92
1723234500000,2.79,31.94
1723235400000,6.3,32.03
1723236300000,2.79,31.94
1723237200000,2.73,31.94
1723238100000,2.7,31.95
1723239000000,2.1,31.95
1723239900000,2.51,31.95
1723240800000,4.3,31.95
1723241700000,2.82,31.94
1723242600000,2.66,31.94
1723243500000,2.73,31.94
1723244400000,2.51,31.94
1723245300000,2.29,31.93
1723246200000,2.86,31.93
1723247100000,2.57,31.93
1723248000000,2.69,31.9
1723248900000,2.51,31.92
1723249800000,2.6,31.9
1723250700000,2.73,31.89
1723251600000,2.82,31.89
1723252500000,2.76,31.88
1723253400000,2.57,31.89
1723254300000,2.76,31.89
1723255200000,2.54,31.9
1723256100000,2.76,31.89
1723257000000,2.01,31.89
1723257900000,2.69,31.89
1723258800000,2.67,31.89
1723259700000,2.76,31.89
1723260600000,2.79,31.9
1723261500000,2.48,31.9
1723262400000,2.64,31.89
1723263300000,2.73,31.89
1723264200000,2.79,31.9
1723265100000,2.54,31.9
1723266000000,2.63,31.91
1723266900000,2.6,31.91
1723267800000,2.73,31.92
1723268700000,2.85,31.92
1723269600000,2.64,31.93
1723270500000,2.66,31.92
1723271400000,3.04,31.93
1723272300000,2.66,31.93
1723273200000,2.67,31.93
1723274100000,2.76,31.92
1723275000000,2.7,31.91
1723275900000,2.6,31.91
1723276800000,2.76,31.9
1723277700000,2.6,31.92
1723278600000,2.6,31.92
1723279500000,2.82,31.92
1723280400000,2.79,31.92
1723281300000,2.54,31.93
1723282200000,2.57,31.91
1723283100000,2.6,31.9
1723284000000,2.73,31.9
1723284900000,2.76,31.9
1723285800000,2.67,31.9
1723286700000,2.67,31.91
1723287600000,2.66,31.9
1723288500000,1.95,31.89
1723289400000,2.64,31.91
1723290300000,2.98,31.91
1723291200000,2.7,31.92
1723292100000,2.82,31.92
1723293000000,2.79,31.84
1723293900000,2.44,31.84
1723294800000,2.76,31.83
1723295700000,2.79,31.83
1723296600000,2.79,31.83
1723297500000,2.73,31.83
1723298400000,2.73,31.83
1723299300000,2.79,31.83
1723300200000,2.01,31.85
1723301100000,2.73,31.85
1723302000000,2.48,31.84
1723302900000,2.85,31.83
1723303800000,2.73,31.83
1723304700000,2.79,31.83
1723305600000,2.73,31.84
1723306500000,2.7,31.85
1723307400000,2.73,31.84
1723308300000,2.73,31.84
1723309200000,2.63,31.85
1723310100000,2.69,31.86
1723311000000,2.76,31.85
1723311900000,2.66,31.86
1723312800000,2.7,31.85
1723313700000,3.27,31.85
1723314600000,2.73,31.86
1723315500000,2.76,31.86
1723316400000,2.7,31.86
1723317300000,2.51,31.86
1723318200000,4.8,31.88
1723319100000,2.6,31.88
1723320000000,4.1,31.94
1723320900000,2.54,31.91
1723321800000,3.63,32.0
1723322700000,2.57,31.88
1723323600000,2.69,31.87
1723324500000,2.6,31.88
1723325400000,2.79,31.88
1723326300000,2.54,31.88
1723327200000,5.05,31.9
1723328100000,2.63,31.9
1723329000000,2.67,31.89
1723329900000,2.61,31.89
1723330800000,2.48,31.89
1723331700000,2.63,31.9
1723332600000,2.51,31.9
1723333500000,2.58,31.9
