date,cpu,memory
1723219200000,5.91,44.24
1723219200000,5.91,44.24
1723220100000,5.96,44.24
1723220100000,5.96,44.24
1723221000000,5.67,44.24
1723221000000,5.67,44.24
1723221900000,5.85,44.25
1723221900000,5.85,44.25
1723222800000,5.21,44.23
1723222800000,5.21,44.23
1723223700000,28.99,44.26
1723223700000,28.99,44.26
1723224600000,7.05,44.24
1723224600000,7.05,44.24
1723225500000,30.52,44.3
1723225500000,30.52,44.3
1723226400000,6.23,44.27
1723226400000,6.23,44.27
1723227300000,6.55,44.25
1723227300000,6.55,44.25
1723228200000,6.08,44.25
1723228200000,6.08,44.25
1723229100000,7.01,44.31
1723229100000,7.01,44.31
1723230000000,6.03,44.29
1723230000000,6.03,44.29
1723230900000,5.52,44.29
1723230900000,5.52,44.29
1723231800000,7.82,44.32
1723231800000,7.82,44.32
1723232700000,4.96,44.31
1723232700000,4.96,44.31
1723233600000,5.34,44.26
1723233600000,5.34,44.26
1723234500000,5.72,44.26
1723234500000,5.72,44.26
1723235400000,9.79,44.37
1723235400000,9.79,44.37
1723236300000,6.61,44.33
1723236300000,6.61,44.33
1723237200000,6.42,44.33
1723237200000,6.42,44.33
1723238100000,5.28,44.33
1723238100000,5.28,44.33
1723239000000,5.73,44.33
1723239000000,5.73,44.33
1723239900000,6.28,44.33
1723239900000,6.28,44.33
1723240800000,11.96,44.34
1723240800000,11.96,44.34
1723241700000,5.39,44.32
1723241700000,5.39,44.32
1723242600000,5.66,44.19
1723242600000,5.66,44.19
1723243500000,5.52,44.18
1723243500000,5.52,44.18
1723244400000,6.03,44.17
1723244400000,6.03,44.17
1723245300000,5.27,44.18
1723245300000,5.27,44.18
1723246200000,6.04,44.18
1723246200000,6.04,44.18
1723247100000,6.29,44.18
1723247100000,6.29,44.18
1723248000000,6.03,44.21
1723248000000,6.03,44.21
1723248900000,5.4,44.18
1723248900000,5.4,44.18
1723249800000,6.56,44.19
1723249800000,6.56,44.19
1723250700000,6.63,44.18
1723250700000,6.63,44.18
1723251600000,6.93,44.18
1723251600000,6.93,44.18
1723252500000,6.3,44.19
1723252500000,6.3,44.19
1723253400000,5.72,44.23
1723253400000,5.72,44.23
1723254300000,6.17,44.23
1723254300000,6.17,44.23
1723255200000,5.52,44.22
1723255200000,5.52,44.22
1723256100000,5.45,44.2
1723256100000,5.45,44.2
1723257000000,6.53,44.21
1723257000000,6.53,44.21
1723257900000,5.27,44.2
1723257900000,5.27,44.2
1723258800000,5.7,44.23
1723258800000,5.7,44.23
1723259700000,5.4,44.24
1723259700000,5.4,44.24
1723260600000,6.76,44.24
1723260600000,6.76,44.24
1723261500000,5.92,44.21
1723261500000,5.92,44.21
1723262400000,6.73,44.25
1723262400000,6.73,44.25
1723263300000,8.25,44.25
1723263300000,8.25,44.25
1723264200000,5.78,44.24
1723264200000,5.78,44.24
1723265100000,6.22,44.25
1723265100000,6.22,44.25
1723266000000,6.15,44.21
1723266000000,6.15,44.21
1723266900000,5.53,44.21
1723266900000,5.53,44.21
1723267800000,6.41,44.21
1723267800000,6.41,44.21
1723268700000,6.87,44.21
1723268700000,6.87,44.21
1723269600000,6.17,44.21
1723269600000,6.17,44.21
1723270500000,5.59,44.2
1723270500000,5.59,44.2
1723271400000,5.98,44.23
1723271400000,5.98,44.23
1723272300000,5.86,44.25
1723272300000,5.86,44.25
1723273200000,5.85,44.25
1723273200000,5.85,44.25
1723274100000,5.15,44.24
1723274100000,5.15,44.24
1723275000000,5.21,44.27
1723275000000,5.21,44.27
1723275900000,6.1,44.26
1723275900000,6.1,44.26
1723276800000,6.62,44.26
1723276800000,6.62,44.26
1723277700000,5.34,44.27
1723277700000,5.34,44.27
1723278600000,5.78,44.26
1723278600000,5.78,44.26
1723279500000,7.17,44.26
1723279500000,7.17,44.26
1723280400000,5.78,44.26
1723280400000,5.78,44.26
1723281300000,5.78,44.29
1723281300000,5.78,44.29
1723282200000,6.48,44.28
1723282200000,6.48,44.28
1723283100000,6.16,44.28
1723283100000,6.16,44.28
1723284000000,5.46,44.25
1723284000000,5.46,44.25
1723284900000,5.84,44.25
1723284900000,5.84,44.25
1723285800000,6.8,44.26
1723285800000,6.8,44.26
1723286700000,5.39,44.25
1723286700000,5.39,44.25
1723287600000,5.71,44.26
1723287600000,5.71,44.26
1723288500000,5.58,44.27
1723288500000,5.58,44.27
1723289400000,5.61,44.28
1723289400000,5.61,44.28
1723290300000,6.8,44.28
1723290300000,6.8,44.28
1723291200000,6.23,44.28
1723291200000,6.23,44.28
1723292100000,5.9,44.27
1723292100000,5.9,44.27
1723293000000,5.55,44.26
1723293000000,5.55,44.26
1723293900000,5.09,44.27
1723293900000,5.09,44.27
1723294800000,5.98,44.29
1723294800000,5.98,44.29
1723295700000,5.71,44.28
1723295700000,5.71,44.28
1723296600000,6.04,44.3
1723296600000,6.04,44.3
1723297500000,5.67,44.3
1723297500000,5.67,44.3
1723298400000,5.65,44.32
1723298400000,5.65,44.32
1723299300000,6.3,44.29
1723299300000,6.3,44.29
1723300200000,6.03,44.29
1723300200000,6.03,44.29
1723301100000,5.91,44.29
1723301100000,5.91,44.29
1723302000000,6.28,44.3
1723302000000,6.28,44.3
1723302900000,6.58,44.31
1723302900000,6.58,44.31
1723303800000,6.03,44.28
1723303800000,6.03,44.28
1723304700000,5.79,44.31
1723304700000,5.79,44.31
1723305600000,5.79,44.32
1723305600000,5.79,44.32
1723306500000,5.02,44.31
1723306500000,5.02,44.31
1723307400000,6.42,44.33
1723307400000,6.42,44.33
1723308300000,5.53,44.33
1723308300000,5.53,44.33
1723309200000,6.22,44.33
1723309200000,6.22,44.33
1723310100000,6.04,44.32
1723310100000,6.04,44.32
1723311000000,5.89,44.32
1723311000000,5.89,44.32
1723311900000,32.52,44.4
1723311900000,32.52,44.4
1723312800000,6.78,44.4
1723312800000,6.78,44.4
1723313700000,5.39,44.41
1723313700000,5.39,44.41
1723314600000,5.78,44.41
1723314600000,5.78,44.41
1723315500000,5.91,44.41
1723315500000,5.91,44.41
1723316400000,5.07,44.4
1723316400000,5.07,44.4
1723317300000,5.85,44.41
1723317300000,5.85,44.41
1723318200000,6.86,44.37
1723318200000,6.86,44.37
1723319100000,5.85,44.36
1723319100000,5.85,44.36
1723320000000,6.68,44.39
1723320000000,6.68,44.39
1723320900000,6.03,44.4
1723320900000,6.03,44.4
1723321800000,10.24,44.55
1723321800000,10.24,44.55
1723322700000,5.78,44.42
1723322700000,5.78,44.42
1723323600000,5.61,44.42
1723323600000,5.61,44.42
1723324500000,5.34,44.42
1723324500000,5.34,44.42
1723325400000,5.72,44.41
1723325400000,5.72,44.41
1723326300000,5.21,44.39
1723326300000,5.21,44.39
1723327200000,13.47,44.4
1723327200000,13.47,44.4
1723328100000,5.85,44.39
1723328100000,5.85,44.39
1723329000000,6.61,44.4
1723329000000,6.61,44.4
1723329900000,6.48,44.39
1723329900000,6.48,44.39
1723330800000,6.92,44.42
1723330800000,6.92,44.42
1723331700000,5.53,44.4
1723331700000,5.53,44.4
1723332600000,6.04,44.42
1723332600000,6.04,44.42
1723333500000,5.91,44.42
1723333500000,5.91,44.42
1723334400000,6.11,44.39
1723334400000,6.11,44.39
1723335300000,5.15,44.39
1723335300000,5.15,44.39
1723336200000,5.98,44.39
1723336200000,5.98,44.39
1723337100000,5.65,44.38
1723337100000,5.65,44.38
1723338000000,5.91,44.39
1723338000000,5.91,44.39
1723338900000,6.11,44.4
1723338900000,6.11,44.4
1723339800000,5.91,44.41
1723339800000,5.91,44.41
1723340700000,5.66,44.41
1723340700000,5.66,44.41
1723341600000,6.03,44.4
1723341600000,6.03,44.4
1723342500000,5.84,44.42
1723342500000,5.84,44.42
1723343400000,5.54,44.43
1723343400000,5.54,44.43
1723344300000,5.9,44.47
1723344300000,5.9,44.47
1723345200000,5.91,44.45
1723345200000,5.91,44.45
1723346100000,5.39,44.43
1723346100000,5.39,44.43
1723347000000,6.11,44.45
1723347000000,6.11,44.45
1723347900000,5.85,44.44
1723347900000,5.85,44.44
1723348800000,31.77,44.44
1723348800000,31.77,44.44
1723349700000,5.65,44.43
1723349700000,5.65,44.43
1723350600000,6.15,44.32
1723350600000,6.15,44.32
1723351500000,5.22,44.32
1723351500000,5.22,44.32
1723352400000,5.78,44.32
1723352400000,5.78,44.32
1723353300000,5.28,44.29
1723353300000,5.28,44.29
1723354200000,5.51,44.29
1723354200000,5.51,44.29
1723355100000,5.59,44.3
1723355100000,5.59,44.3
1723356000000,5.66,44.29
1723356000000,5.66,44.29
1723356900000,5.41,44.3
1723356900000,5.41,44.3
1723357800000,6.24,44.31
1723357800000,6.24,44.31
1723358700000,6.11,44.28
1723358700000,6.11,44.28
1723359600000,7.74,44.28
1723359600000,7.74,44.28
1723360500000,5.14,44.28
1723360500000,5.14,44.28
1723361400000,5.27,44.31
1723361400000,5.27,44.31
1723362300000,6.04,44.33
1723362300000,6.04,44.33
1723363200000,5.65,44.33
1723363200000,5.65,44.33
1723364100000,5.02,44.34
1723364100000,5.02,44.34
1723365000000,6.17,44.34
1723365000000,6.17,44.34
1723365900000,7.13,44.34
1723365900000,7.13,44.34
1723366800000,6.05,44.3
1723366800000,6.05,44.3
1723367700000,5.33,44.3
1723367700000,5.33,44.3
1723368600000,5.46,44.31
1723368600000,5.46,44.31
1723369500000,6.55,44.31
1723369500000,6.55,44.31
1723370400000,6.04,44.33
1723370400000,6.04,44.33
1723371300000,5.39,44.33
1723371300000,5.39,44.33
1723372200000,6.04,44.34
1723372200000,6.04,44.34
1723373100000,5.4,44.31
1723373100000,5.4,44.31
1723374000000,6.21,44.32
1723374000000,6.21,44.32
1723374900000,6.23,44.31
1723374900000,6.23,44.31
1723375800000,5.33,44.33
1723375800000,5.33,44.33
1723376700000,5.65,44.34
1723376700000,5.65,44.34
1723377600000,6.22,44.35
1723377600000,6.22,44.35
1723378500000,5.46,44.34
1723378500000,5.46,44.34
1723379400000,5.85,44.35
1723379400000,5.85,44.35
1723380300000,5.38,44.34
1723380300000,5.38,44.34
1723381200000,6.16,44.33
1723381200000,6.16,44.33
1723382100000,5.28,44.33
1723382100000,5.28,44.33
1723383000000,5.16,44.33
1723383000000,5.16,44.33
1723383900000,5.21,44.38
1723383900000,5.21,44.38
1723384800000,6.04,44.37
1723384800000,6.04,44.37
1723385700000,5.59,44.35
1723385700000,5.59,44.35
1723386600000,5.02,44.39
1723386600000,5.02,44.39
1723387500000,5.98,44.39
1723387500000,5.98,44.39
1723388400000,6.03,44.38
1723388400000,6.03,44.38
1723389300000,5.21,44.37
1723389300000,5.21,44.37
1723390200000,6.28,44.34
1723390200000,6.28,44.34
1723391100000,5.28,44.37
1723391100000,5.28,44.37
1723392000000,6.22,44.35
1723392000000,6.22,44.35
1723392900000,5.72,44.34
1723392900000,5.72,44.34
1723393800000,6.68,44.35
1723393800000,6.68,44.35
1723394700000,5.41,44.34
1723394700000,5.41,44.34
1723395600000,5.79,44.36
1723395600000,5.79,44.36
1723396500000,5.59,44.35
1723396500000,5.59,44.35
1723397400000,6.1,44.38
1723397400000,6.1,44.38
1723398300000,30.12,44.48
1723398300000,30.12,44.48
1723399200000,5.91,44.45
1723399200000,5.91,44.45
1723400100000,5.72,44.47
1723400100000,5.72,44.47
1723401000000,6.03,44.47
1723401000000,6.03,44.47
1723401900000,5.53,44.44
1723401900000,5.53,44.44
1723402800000,5.98,44.44
1723402800000,5.98,44.44
1723403700000,5.39,44.47
1723403700000,5.39,44.47
1723404600000,9.31,44.44
1723404600000,9.31,44.44
1723405500000,5.4,44.45
1723405500000,5.4,44.45
1723406400000,5.33,44.45
1723406400000,5.33,44.45
1723407300000,5.59,44.46
1723407300000,5.59,44.46
1723408200000,7.5,44.58
1723408200000,7.5,44.58
1723409100000,5.33,44.44
1723409100000,5.33,44.44
1723410000000,6.1,44.42
1723410000000,6.1,44.42
1723410900000,5.33,44.42
1723410900000,5.33,44.42
1723411800000,5.47,44.43
1723411800000,5.47,44.43
1723412700000,6.1,44.45
1723412700000,6.1,44.45
1723413600000,12.33,44.46
1723413600000,12.33,44.46
1723414500000,6.34,44.47
1723414500000,6.34,44.47
1723415400000,5.65,44.48
1723415400000,5.65,44.48
1723416300000,5.6,44.47
1723416300000,5.6,44.47
1723417200000,6.04,44.47
1723417200000,6.04,44.47
1723418100000,5.08,44.48
1723418100000,5.08,44.48
1723419000000,5.66,44.47
1723419000000,5.66,44.47
1723419900000,7.35,44.45
1723419900000,7.35,44.45
1723420800000,5.84,44.45
1723420800000,5.84,44.45
1723421700000,5.78,44.45
1723421700000,5.78,44.45
1723422600000,8.5,44.46
1723422600000,8.5,44.46
1723423500000,6.41,44.47
1723423500000,6.41,44.47
1723424400000,6.35,44.49
1723424400000,6.35,44.49
1723425300000,6.88,44.5
1723425300000,6.88,44.5
1723426200000,6.8,44.5
1723426200000,6.8,44.5
1723427100000,7.24,44.5
1723427100000,7.24,44.5
1723428000000,7.26,44.53
1723428000000,7.26,44.53
1723428900000,8.27,44.51
1723428900000,8.27,44.51
1723429800000,7.69,44.51
1723429800000,7.69,44.51
1723430700000,6.55,44.51
1723430700000,6.55,44.51
1723431600000,6.56,44.51
1723431600000,6.56,44.51
1723432500000,6.62,44.55
1723432500000,6.62,44.55
1723433400000,7.11,44.53
1723433400000,7.11,44.53
1723434300000,8.26,44.57
1723434300000,8.26,44.57
1723435200000,10.96,44.55
1723435200000,10.96,44.55
1723436100000,30.11,44.55
1723436100000,30.11,44.55
1723437000000,6.29,44.54
1723437000000,6.29,44.54
1723437900000,6.09,44.56
1723437900000,6.09,44.56
1723438800000,7.13,44.56
1723438800000,7.13,44.56
1723439700000,6.61,44.54
1723439700000,6.61,44.54
1723440600000,7.05,44.54
1723440600000,7.05,44.54
1723441500000,6.8,44.53
1723441500000,6.8,44.53
1723442400000,6.54,44.53
1723442400000,6.54,44.53
1723443300000,7.36,44.54
1723443300000,7.36,44.54
1723444200000,6.62,44.55
1723444200000,6.62,44.55
1723445100000,7.51,44.57
1723445100000,7.51,44.57
1723446000000,8.45,44.58
1723446000000,8.45,44.58
1723446900000,8.08,44.57
1723446900000,8.08,44.57
1723447800000,8.52,44.57
1723447800000,8.52,44.57
1723448700000,9.86,44.55
1723448700000,9.86,44.55
1723449600000,7.13,44.58
1723449600000,7.13,44.58
1723450500000,6.53,44.57
1723450500000,6.53,44.57
1723451400000,7.2,44.58
1723451400000,7.2,44.58
1723452300000,6.81,44.61
1723452300000,6.81,44.61
1723453200000,8.07,44.6
1723453200000,8.07,44.6
1723454100000,7.31,44.61
1723454100000,7.31,44.61
1723455000000,7.83,44.61
1723455000000,7.83,44.61
1723455900000,7.32,44.61
1723455900000,7.32,44.61
1723456800000,9.8,44.54
1723456800000,9.8,44.54
1723457700000,7.63,44.56
1723457700000,7.63,44.56
1723458600000,7.2,44.44
1723458600000,7.2,44.44
1723459500000,6.57,44.4
1723459500000,6.57,44.4
1723460400000,7.26,44.41
1723460400000,7.26,44.41
1723461300000,7.07,44.41
1723461300000,7.07,44.41
1723462200000,6.99,44.41
1723462200000,6.99,44.41
1723463100000,6.18,44.4
1723463100000,6.18,44.4
1723464000000,7.04,44.4
1723464000000,7.04,44.4
1723464900000,6.29,44.38
1723464900000,6.29,44.38
1723465800000,6.54,44.36
1723465800000,6.54,44.36
1723466700000,7.55,44.37
1723466700000,7.55,44.37
1723467600000,7.06,44.37
1723467600000,7.06,44.37
1723468500000,6.23,44.41
1723468500000,6.23,44.41
1723469400000,6.24,44.41
1723469400000,6.24,44.41
1723470300000,5.77,44.44
1723470300000,5.77,44.44
1723471200000,6.81,44.39
1723471200000,6.81,44.39
1723472100000,6.98,44.39
1723472100000,6.98,44.39
1723473000000,8.2,44.38
1723473000000,8.2,44.38
1723473900000,6.6,44.38
1723473900000,6.6,44.38
1723474800000,6.16,44.39
1723474800000,6.16,44.39
1723475700000,7.38,44.38
1723475700000,7.38,44.38
1723476600000,6.09,44.39
1723476600000,6.09,44.39
1723477500000,6.17,44.39
1723477500000,6.17,44.39
1723478400000,6.34,44.41
1723478400000,6.34,44.41
1723479300000,7.23,44.4
1723479300000,7.23,44.4
1723480200000,6.5,44.39
1723480200000,6.5,44.39
1723481100000,5.65,44.39
1723481100000,5.65,44.39
1723482000000,6.11,44.39
1723482000000,6.11,44.39
1723482900000,8.15,44.4
1723482900000,8.15,44.4
1723483800000,6.49,44.4
1723483800000,6.49,44.4
1723484700000,5.96,44.4
1723484700000,5.96,44.4
1723485600000,6.49,44.43
1723485600000,6.49,44.43
1723486500000,5.21,44.42
1723486500000,5.21,44.42
1723487400000,5.59,44.4
1723487400000,5.59,44.4
1723488300000,6.15,44.42
1723488300000,6.15,44.42
1723489200000,6.28,44.45
1723489200000,6.28,44.45
1723490100000,6.55,44.47
1723490100000,6.55,44.47
1723491000000,9.73,44.43
1723491000000,9.73,44.43
1723491900000,6.23,44.42
1723491900000,6.23,44.42
1723492800000,5.02,44.42
1723492800000,5.02,44.42
1723493700000,6.04,44.42
1723493700000,6.04,44.42
1723494600000,8.32,44.56
1723494600000,8.32,44.56
1723495500000,5.72,44.46
1723495500000,5.72,44.46
1723496400000,5.98,44.45
1723496400000,5.98,44.45
1723497300000,5.4,44.44
1723497300000,5.4,44.44
1723498200000,6.09,44.45
1723498200000,6.09,44.45
1723499100000,5.98,44.45
1723499100000,5.98,44.45
1723500000000,12.26,44.46
1723500000000,12.26,44.46
1723500900000,6.23,44.45
1723500900000,6.23,44.45
1723501800000,6.09,44.45
1723501800000,6.09,44.45
1723502700000,5.81,44.44
1723502700000,5.81,44.44
1723503600000,5.72,44.44
1723503600000,5.72,44.44
1723504500000,5.91,44.43
1723504500000,5.91,44.43
1723505400000,5.91,44.46
1723505400000,5.91,44.46
1723506300000,5.92,44.47
1723506300000,5.92,44.47
1723507200000,6.56,44.47
1723507200000,6.56,44.47
1723508100000,6.18,44.48
1723508100000,6.18,44.48
1723509000000,6.87,44.48
1723509000000,6.87,44.48
1723509900000,6.93,44.5
1723509900000,6.93,44.5
1723510800000,6.94,44.51
1723510800000,6.94,44.51
1723511700000,6.62,44.51
1723511700000,6.62,44.51
1723512600000,5.78,44.52
1723512600000,5.78,44.52
1723513500000,6.37,44.53
1723513500000,6.37,44.53
1723514400000,6.18,44.52
1723514400000,6.18,44.52
1723515300000,6.16,44.51
1723515300000,6.16,44.51
1723516200000,6.98,44.52
1723516200000,6.98,44.52
1723517100000,6.67,44.52
1723517100000,6.67,44.52
1723518000000,6.47,44.52
1723518000000,6.47,44.52
1723518900000,5.78,44.52
1723518900000,5.78,44.52
1723519800000,6.35,44.55
1723519800000,6.35,44.55
1723520700000,5.97,44.54
1723520700000,5.97,44.54
1723521600000,28.12,44.56
1723521600000,28.12,44.56
1723522500000,5.9,44.56
1723522500000,5.9,44.56
1723523400000,8.09,44.55
1723523400000,8.09,44.55
1723524300000,5.65,44.56
1723524300000,5.65,44.56
1723525200000,6.04,44.57
1723525200000,6.04,44.57
1723526100000,7.69,44.56
1723526100000,7.69,44.56
1723527000000,6.74,44.55
1723527000000,6.74,44.55
1723527900000,6.36,44.56
1723527900000,6.36,44.56
1723528800000,6.92,44.56
1723528800000,6.92,44.56
1723529700000,6.03,44.57
1723529700000,6.03,44.57
1723530600000,6.3,44.57
1723530600000,6.3,44.57
1723531500000,6.04,44.57
1723531500000,6.04,44.57
1723532400000,8.01,44.59
1723532400000,8.01,44.59
1723533300000,6.74,44.57
1723533300000,6.74,44.57
1723534200000,6.43,44.56
1723534200000,6.43,44.56
1723535100000,5.85,44.57
1723535100000,5.85,44.57
1723536000000,6.68,44.57
1723536000000,6.68,44.57
1723536900000,7.06,44.57
1723536900000,7.06,44.57
1723537800000,7.32,44.57
1723537800000,7.32,44.57
1723538700000,8.01,44.58
1723538700000,8.01,44.58
1723539600000,7.19,44.58
1723539600000,7.19,44.58
1723540500000,7.37,44.59
1723540500000,7.37,44.59
1723541400000,6.3,44.62
1723541400000,6.3,44.62
1723542300000,8.82,44.61
1723542300000,8.82,44.61
1723543200000,6.36,44.6
1723543200000,6.36,44.6
1723544100000,5.64,44.63
1723544100000,5.64,44.63
1723545000000,6.17,44.63
1723545000000,6.17,44.63
1723545900000,6.6,44.61
1723545900000,6.6,44.61
1723546800000,5.92,44.61
1723546800000,5.92,44.61
1723547700000,5.96,44.6
1723547700000,5.96,44.6
1723548600000,6.03,44.6
1723548600000,6.03,44.6
1723549500000,5.66,44.6
