date,cpu,memory
1723219200000,8.65,62.35
1723219200000,8.65,62.35
1723220100000,9.03,62.35
1723220100000,9.03,62.35
1723221000000,8.86,62.35
1723221000000,8.86,62.35
1723221900000,8.6,62.35
1723221900000,8.6,62.35
1723222800000,9.26,62.4
1723222800000,9.26,62.4
1723223700000,9.52,62.4
1723223700000,9.52,62.4
1723224600000,9.11,62.38
1723224600000,9.11,62.38
1723225500000,9.49,62.39
1723225500000,9.49,62.39
1723226400000,9.43,62.4
1723226400000,9.43,62.4
1723227300000,9.77,62.42
1723227300000,9.77,62.42
1723228200000,8.88,62.41
1723228200000,8.88,62.41
1723229100000,9.52,62.4
1723229100000,9.52,62.4
1723230000000,8.24,62.4
1723230000000,8.24,62.4
1723230900000,8.87,62.38
1723230900000,8.87,62.38
1723231800000,14.32,62.41
1723231800000,14.32,62.41
1723232700000,8.65,62.41
1723232700000,8.65,62.41
1723233600000,8.62,62.38
1723233600000,8.62,62.38
1723234500000,8.35,62.38
1723234500000,8.35,62.38
1723235400000,15.69,62.69
1723235400000,15.69,62.69
1723236300000,8.47,62.37
1723236300000,8.47,62.37
1723237200000,9.03,62.37
1723237200000,9.03,62.37
1723238100000,8.59,62.35
1723238100000,8.59,62.35
1723239000000,8.62,62.35
1723239000000,8.62,62.35
1723239900000,8.28,62.37
1723239900000,8.28,62.37
1723240800000,18.08,62.41
1723240800000,18.08,62.41
1723241700000,9.39,62.42
1723241700000,9.39,62.42
1723242600000,8.99,62.41
1723242600000,8.99,62.41
1723243500000,8.88,62.4
1723243500000,8.88,62.4
1723244400000,8.98,62.39
1723244400000,8.98,62.39
1723245300000,9.27,62.4
1723245300000,9.27,62.4
1723246200000,9.64,62.42
1723246200000,9.64,62.42
1723247100000,12.22,62.42
1723247100000,12.22,62.42
1723248000000,9.01,62.12
1723248000000,9.01,62.12
1723248900000,8.81,62.1
1723248900000,8.81,62.1
1723249800000,9.5,62.12
1723249800000,9.5,62.12
1723250700000,9.1,62.11
1723250700000,9.1,62.11
1723251600000,9.25,62.11
1723251600000,9.25,62.11
1723252500000,9.22,62.1
1723252500000,9.22,62.1
1723253400000,9.02,62.11
1723253400000,9.02,62.11
1723254300000,8.76,62.13
1723254300000,8.76,62.13
1723255200000,9.13,62.12
1723255200000,9.13,62.12
1723256100000,8.78,62.1
1723256100000,8.78,62.1
1723257000000,8.23,62.12
1723257000000,8.23,62.12
1723257900000,9.54,62.11
1723257900000,9.54,62.11
1723258800000,9.01,62.16
1723258800000,9.01,62.16
1723259700000,8.77,62.14
1723259700000,8.77,62.14
1723260600000,8.39,62.14
1723260600000,8.39,62.14
1723261500000,9.11,62.16
1723261500000,9.11,62.16
1723262400000,9.04,62.15
1723262400000,9.04,62.15
1723263300000,8.61,62.15
1723263300000,8.61,62.15
1723264200000,9.26,62.16
1723264200000,9.26,62.16
1723265100000,9.66,62.17
1723265100000,9.66,62.17
1723266000000,9.15,62.18
1723266000000,9.15,62.18
1723266900000,9.27,62.18
1723266900000,9.27,62.18
1723267800000,8.24,62.2
1723267800000,8.24,62.2
1723268700000,8.66,62.18
1723268700000,8.66,62.18
1723269600000,9.0,62.15
1723269600000,9.0,62.15
1723270500000,9.01,62.15
1723270500000,9.01,62.15
1723271400000,8.99,62.18
1723271400000,8.99,62.18
1723272300000,9.22,62.19
1723272300000,9.22,62.19
1723273200000,8.9,62.18
1723273200000,8.9,62.18
1723274100000,9.39,62.18
1723274100000,9.39,62.18
1723275000000,8.9,62.2
1723275000000,8.9,62.2
1723275900000,9.1,62.21
1723275900000,9.1,62.21
1723276800000,9.99,62.21
1723276800000,9.99,62.21
1723277700000,9.65,62.21
1723277700000,9.65,62.21
1723278600000,10.04,62.23
1723278600000,10.04,62.23
1723279500000,9.66,62.23
1723279500000,9.66,62.23
1723280400000,9.72,62.21
1723280400000,9.72,62.21
1723281300000,9.5,62.23
1723281300000,9.5,62.23
1723282200000,8.84,62.24
1723282200000,8.84,62.24
1723283100000,9.44,62.24
1723283100000,9.44,62.24
1723284000000,9.02,62.23
1723284000000,9.02,62.23
1723284900000,9.77,62.23
1723284900000,9.77,62.23
1723285800000,9.12,62.27
1723285800000,9.12,62.27
1723286700000,8.87,62.26
1723286700000,8.87,62.26
1723287600000,8.65,62.23
1723287600000,8.65,62.23
1723288500000,8.65,62.22
1723288500000,8.65,62.22
1723289400000,9.18,62.23
1723289400000,9.18,62.23
1723290300000,8.77,62.24
1723290300000,8.77,62.24
1723291200000,9.73,62.22
1723291200000,9.73,62.22
1723292100000,9.01,62.22
1723292100000,9.01,62.22
1723293000000,8.67,62.27
1723293000000,8.67,62.27
1723293900000,9.14,62.3
1723293900000,9.14,62.3
1723294800000,9.63,62.35
1723294800000,9.63,62.35
1723295700000,9.0,62.35
1723295700000,9.0,62.35
1723296600000,9.6,62.3
1723296600000,9.6,62.3
1723297500000,9.11,62.37
1723297500000,9.11,62.37
1723298400000,9.01,62.32
1723298400000,9.01,62.32
1723299300000,8.99,62.35
1723299300000,8.99,62.35
1723300200000,14.74,62.29
1723300200000,14.74,62.29
1723301100000,8.49,62.3
1723301100000,8.49,62.3
1723302000000,9.17,62.27
1723302000000,9.17,62.27
1723302900000,8.53,62.29
1723302900000,8.53,62.29
1723303800000,9.51,62.29
1723303800000,9.51,62.29
1723304700000,9.53,62.3
1723304700000,9.53,62.3
1723305600000,8.97,62.29
1723305600000,8.97,62.29
1723306500000,8.75,62.28
1723306500000,8.75,62.28
1723307400000,9.38,62.33
1723307400000,9.38,62.33
1723308300000,9.55,62.32
1723308300000,9.55,62.32
1723309200000,9.37,62.33
1723309200000,9.37,62.33
1723310100000,9.65,62.37
1723310100000,9.65,62.37
1723311000000,9.37,62.4
1723311000000,9.37,62.4
1723311900000,9.29,62.4
1723311900000,9.29,62.4
1723312800000,9.26,62.38
1723312800000,9.26,62.38
