date,cpu,memory
1723219200000,3.4,52.29
1723220100000,8.91,52.31
1723221000000,4.64,52.6
1723221900000,7.65,52.41
1723222800000,3.65,52.58
1723223700000,8.56,52.49
1723224600000,6.41,52.59
1723225500000,7.82,52.42
1723226400000,15.2,52.5
1723227300000,9.51,52.41
1723228200000,5.65,52.6
1723229100000,8.81,52.62
1723230000000,7.13,52.63
1723230900000,7.92,52.52
1723231800000,11.21,52.5
1723232700000,3.03,52.6
1723233600000,3.62,52.52
1723234500000,4.4,52.83
1723235400000,12.72,53.06
1723236300000,7.27,52.59
1723237200000,3.63,52.61
1723238100000,3.77,52.56
1723239000000,3.39,52.75
1723239900000,4.77,52.8
1723240800000,19.15,52.76
1723241700000,3.89,52.83
1723242600000,3.39,52.92
1723243500000,4.13,52.92
1723244400000,4.52,52.97
1723245300000,7.04,52.96
1723246200000,3.01,52.88
1723247100000,3.52,52.81
1723248000000,3.51,53.08
1723248900000,6.67,52.98
1723249800000,5.4,53.01
1723250700000,6.5,52.9
1723251600000,6.79,53.11
1723252500000,6.04,53.13
1723253400000,5.92,53.01
1723254300000,3.14,53.13
1723255200000,3.78,53.3
1723256100000,7.43,53.17
1723257000000,8.15,53.09
1723257900000,3.26,53.17
1723258800000,3.88,53.22
1723259700000,8.26,53.2
1723260600000,3.51,53.13
1723261500000,3.26,53.2
1723262400000,4.52,53.48
1723263300000,8.3,53.27
1723264200000,3.39,53.35
1723265100000,3.64,53.58
1723266000000,7.65,53.44
1723266900000,3.76,53.39
1723267800000,3.13,53.51
1723268700000,5.89,53.51
1723269600000,11.28,53.5
1723270500000,3.38,53.57
1723271400000,5.64,53.6
1723272300000,6.17,53.57
1723273200000,3.39,53.65
1723274100000,8.76,53.83
1723275000000,6.27,53.68
1723275900000,4.64,53.68
1723276800000,7.91,53.72
1723277700000,5.78,53.6
1723278600000,3.27,53.81
1723279500000,7.91,53.76
1723280400000,4.4,53.75
1723281300000,7.16,53.98
1723282200000,8.29,53.75
1723283100000,3.9,53.93
1723284000000,6.67,53.92
1723284900000,6.0,53.84
1723285800000,7.05,54.3
1723286700000,8.41,53.98
1723287600000,4.26,54.05
1723288500000,7.78,54.05
1723289400000,4.14,54.09
1723290300000,5.29,54.12
1723291200000,14.03,54.0
1723292100000,3.65,54.2
1723293000000,7.65,54.18
1723293900000,4.02,54.2
1723294800000,8.68,54.22
1723295700000,3.27,54.09
1723296600000,8.94,54.34
1723297500000,4.15,54.14
1723298400000,8.05,54.3
1723299300000,6.29,54.35
1723300200000,4.02,54.4
1723301100000,7.76,54.4
1723302000000,4.51,54.45
1723302900000,7.29,54.44
1723303800000,4.77,54.49
1723304700000,6.92,54.47
1723305600000,3.52,54.68
1723306500000,8.3,54.53
1723307400000,4.14,54.73
1723308300000,8.52,54.44
1723309200000,5.89,54.61
1723310100000,8.53,54.59
1723311000000,6.77,54.66
1723311900000,8.41,54.61
1723312800000,18.6,54.8
1723313700000,4.26,54.72
1723314600000,6.79,54.8
1723315500000,3.5,54.75
1723316400000,7.92,54.78
1723317300000,5.64,54.66
1723318200000,6.4,54.71
1723319100000,3.14,54.8
1723320000000,2.38,54.75
1723320900000,2.75,54.89
1723321800000,11.66,55.18
1723322700000,4.91,55.17
1723323600000,11.08,54.89
1723324500000,2.51,55.04
1723325400000,2.89,54.94
1723326300000,2.89,54.94
1723327200000,15.45,55.1
1723328100000,6.39,55.03
1723329000000,2.38,55.1
1723329900000,2.51,55.05
1723330800000,2.63,55.23
1723331700000,3.38,55.21
1723332600000,6.41,55.2
1723333500000,2.38,55.26
1723334400000,3.26,55.15
1723335300000,3.75,55.47
1723336200000,7.16,55.31
1723337100000,6.52,55.18
1723338000000,2.51,55.27
1723338900000,2.64,55.39
1723339800000,6.26,55.36
1723340700000,7.39,55.28
1723341600000,5.13,55.39
1723342500000,5.77,55.64
1723343400000,6.04,55.52
1723344300000,5.04,55.47
1723345200000,3.01,55.41
1723346100000,2.38,55.57
