date,cpu,memory
1723219200000,4.77,53.47
1723220100000,11.1,53.46
1723221000000,9.83,53.58
1723221900000,4.28,53.58
1723222800000,9.57,53.6
1723223700000,10.22,53.59
1723224600000,5.02,53.57
1723225500000,11.84,53.55
1723226400000,26.42,53.55
1723227300000,8.17,53.45
1723228200000,10.35,53.31
1723229100000,11.22,53.48
1723230000000,5.79,53.43
1723230900000,10.82,53.35
1723231800000,8.79,53.32
1723232700000,8.3,53.29
1723233600000,4.28,53.32
1723234500000,5.01,53.39
1723235400000,14.06,53.83
1723236300000,7.92,53.32
1723237200000,4.28,53.22
1723238100000,4.15,53.1
1723239000000,4.91,53.29
1723239900000,9.67,53.15
1723240800000,16.04,53.5
1723241700000,4.14,53.6
1723242600000,7.07,53.64
1723243500000,9.32,53.53
1723244400000,4.52,53.55
1723245300000,8.08,53.63
1723246200000,8.56,53.67
1723247100000,4.53,53.5
1723248000000,3.91,53.27
1723248900000,5.91,53.29
1723249800000,10.11,53.15
1723250700000,4.65,53.16
1723251600000,5.67,53.32
1723252500000,8.67,53.2
1723253400000,5.14,53.23
1723254300000,4.89,53.41
1723255200000,10.46,53.31
1723256100000,8.45,53.31
1723257000000,8.16,53.33
1723257900000,9.8,53.18
1723258800000,4.38,53.14
1723259700000,5.54,53.32
1723260600000,8.94,53.27
1723261500000,4.89,53.2
1723262400000,6.28,53.38
1723263300000,8.82,53.25
1723264200000,5.03,53.37
1723265100000,9.58,53.39
1723266000000,5.41,53.27
1723266900000,5.16,53.43
1723267800000,10.43,53.27
1723268700000,5.03,53.23
1723269600000,9.83,53.35
1723270500000,5.4,53.24
1723271400000,5.78,53.42
1723272300000,9.55,53.31
1723273200000,5.03,53.34
1723274100000,11.11,53.34
1723275000000,4.8,53.22
1723275900000,9.72,53.37
1723276800000,5.26,53.22
1723277700000,8.09,53.37
1723278600000,9.94,53.22
1723279500000,5.03,53.34
1723280400000,10.21,53.18
1723281300000,4.65,53.36
1723282200000,9.69,53.08
1723283100000,4.9,53.25
1723284000000,9.18,53.22
1723284900000,4.8,53.28
1723285800000,10.9,53.23
1723286700000,5.52,53.34
1723287600000,10.17,53.18
