date,cpu,memory
1723219200000,1.82,36.95
1723220100000,1.6,36.95
1723221000000,1.7,36.97
1723221900000,1.76,36.97
1723222800000,1.82,36.97
1723223700000,1.72,36.97
1723224600000,1.73,36.97
1723225500000,1.79,36.97
1723226400000,3.01,37.0
1723227300000,1.66,37.0
1723228200000,1.76,37.01
1723229100000,4.08,37.04
1723230000000,1.69,37.03
1723230900000,1.82,37.02
1723231800000,4.1,37.02
1723232700000,1.7,37.03
1723233600000,1.66,37.0
1723234500000,1.82,37.0
1723235400000,2.04,37.06
1723236300000,1.88,37.0
1723237200000,1.88,37.0
1723238100000,1.66,37.0
1723239000000,1.82,36.99
1723239900000,1.7,36.99
1723240800000,4.8,37.01
1723241700000,1.79,37.0
1723242600000,1.6,36.99
1723243500000,1.63,36.99
1723244400000,1.76,36.99
1723245300000,1.63,36.99
1723246200000,1.69,36.98
1723247100000,1.79,36.98
1723248000000,1.63,36.98
1723248900000,1.6,36.98
1723249800000,1.73,36.99
1723250700000,1.66,36.98
1723251600000,1.72,36.99
1723252500000,1.7,36.99
1723253400000,1.69,36.99
1723254300000,1.76,36.98
1723255200000,2.57,36.98
1723256100000,1.82,36.98
1723257000000,1.66,36.98
1723257900000,1.82,36.99
1723258800000,1.69,36.98
1723259700000,1.75,37.0
1723260600000,1.89,36.98
1723261500000,2.04,36.99
1723262400000,1.82,36.99
1723263300000,1.69,36.98
1723264200000,1.73,36.99
1723265100000,1.7,36.99
1723266000000,1.66,37.0
1723266900000,1.79,37.0
1723267800000,1.85,37.0
1723268700000,1.66,37.0
1723269600000,1.85,37.0
1723270500000,1.63,37.0
1723271400000,1.66,37.01
1723272300000,1.72,37.0
1723273200000,1.73,37.01
1723274100000,1.94,37.0
1723275000000,1.82,37.01
1723275900000,1.79,36.99
1723276800000,1.75,37.01
1723277700000,1.72,37.01
1723278600000,1.85,37.02
1723279500000,1.7,37.01
1723280400000,1.72,37.01
1723281300000,1.75,37.01
1723282200000,1.73,37.01
1723283100000,1.69,37.01
1723284000000,1.69,37.01
1723284900000,1.7,37.02
1723285800000,1.91,37.03
1723286700000,2.07,37.03
1723287600000,1.7,37.02
1723288500000,1.66,37.02
1723289400000,1.79,37.01
1723290300000,1.76,37.01
1723291200000,1.69,37.02
1723292100000,1.66,37.03
1723293000000,1.79,37.02
1723293900000,1.73,37.02
1723294800000,1.76,37.02
1723295700000,1.82,37.02
1723296600000,1.82,37.02
1723297500000,1.79,37.02
1723298400000,1.88,37.02
1723299300000,1.76,37.02
1723300200000,1.75,37.02
1723301100000,1.79,37.02
1723302000000,1.76,37.03
1723302900000,1.73,37.03
1723303800000,1.69,37.02
1723304700000,1.82,37.02
1723305600000,1.75,37.02
1723306500000,1.63,37.01
1723307400000,1.76,37.01
1723308300000,1.6,37.02
1723309200000,1.91,37.04
1723310100000,1.82,37.05
1723311000000,2.1,37.05
1723311900000,1.73,37.05
1723312800000,1.79,37.05
1723313700000,1.82,37.07
1723314600000,1.79,37.07
1723315500000,1.75,37.08
1723316400000,1.63,37.09
1723317300000,1.79,37.07
1723318200000,3.38,37.09
1723319100000,1.79,37.08
1723320000000,1.7,37.07
1723320900000,1.7,37.09
1723321800000,2.13,37.13
1723322700000,1.72,37.09
1723323600000,1.72,37.08
1723324500000,1.76,37.08
1723325400000,1.76,37.09
1723326300000,1.73,37.09
1723327200000,5.14,37.09
1723328100000,1.67,37.09
1723329000000,1.75,37.09
1723329900000,1.82,37.09
1723330800000,1.69,37.1
1723331700000,1.76,37.11
1723332600000,1.79,37.11
1723333500000,1.76,37.11
1723334400000,2.07,37.11
1723335300000,1.91,37.1
1723336200000,2.13,37.11
1723337100000,1.79,37.11
1723338000000,1.85,37.09
1723338900000,1.79,37.09
1723339800000,1.82,37.09
1723340700000,1.85,37.1
1723341600000,1.88,37.09
1723342500000,1.82,37.09
1723343400000,2.01,37.1
1723344300000,1.88,37.09
1723345200000,1.91,37.09
1723346100000,2.07,37.1
1723347000000,2.04,37.1
1723347900000,2.04,37.11
1723348800000,1.92,37.1
1723349700000,1.76,37.11
1723350600000,1.79,37.1
1723351500000,2.01,37.09
1723352400000,2.2,37.09
1723353300000,1.82,37.09
1723354200000,1.98,37.1
1723355100000,2.07,37.1
1723356000000,2.13,37.1
1723356900000,1.85,37.11
1723357800000,1.98,37.09
1723358700000,2.13,37.1
1723359600000,2.1,37.1
1723360500000,2.1,37.09
1723361400000,1.91,37.09
1723362300000,2.01,37.1
1723363200000,1.88,37.1
1723364100000,1.94,37.1
1723365000000,2.01,37.1
1723365900000,1.85,37.1
1723366800000,2.13,37.11
1723367700000,2.03,37.11
1723368600000,1.91,37.11
1723369500000,2.01,37.12
1723370400000,1.98,37.11
1723371300000,1.79,37.12
1723372200000,1.88,37.1
1723373100000,1.91,37.11
1723374000000,1.85,37.11
1723374900000,1.88,37.1
1723375800000,1.98,37.11
1723376700000,1.97,37.1
1723377600000,1.73,37.1
1723378500000,1.72,37.09
1723379400000,1.82,37.1
1723380300000,1.82,37.11
1723381200000,1.95,37.11
1723382100000,1.88,37.11
1723383000000,1.97,37.11
1723383900000,2.19,37.11
1723384800000,2.19,37.11
1723385700000,1.92,37.13
1723386600000,1.91,37.12
1723387500000,1.97,37.11
1723388400000,1.98,37.11
1723389300000,1.98,37.12
1723390200000,1.95,37.14
1723391100000,2.01,37.15
1723392000000,1.95,37.14
1723392900000,2.01,37.13
1723393800000,1.91,37.14
1723394700000,2.01,37.12
1723395600000,2.04,37.12
1723396500000,2.01,37.12
1723397400000,2.04,37.11
1723398300000,1.94,37.12
1723399200000,2.01,37.11
1723400100000,2.04,37.11
1723401000000,1.85,37.11
1723401900000,1.85,37.12
1723402800000,2.04,37.12
1723403700000,1.97,37.13
1723404600000,3.11,37.12
1723405500000,1.85,37.12
1723406400000,1.91,37.13
1723407300000,2.01,37.14
1723408200000,3.48,37.13
1723409100000,2.01,37.12
1723410000000,2.41,37.12
1723410900000,2.01,37.13
1723411800000,1.95,37.12
1723412700000,1.79,37.13
1723413600000,5.11,37.14
1723414500000,1.95,37.13
1723415400000,2.04,37.13
1723416300000,2.01,37.14
1723417200000,4.88,37.12
1723418100000,1.98,37.07
1723419000000,1.88,37.08
1723419900000,1.95,37.08
1723420800000,2.07,37.11
1723421700000,2.19,37.15
1723422600000,2.36,37.15
1723423500000,2.32,37.15
1723424400000,2.48,37.14
1723425300000,2.42,37.16
1723426200000,2.8,37.16
1723427100000,3.17,37.16
1723428000000,3.36,37.16
1723428900000,2.82,37.15
1723429800000,3.61,37.15
1723430700000,2.73,37.15
1723431600000,2.76,37.15
1723432500000,3.14,37.14
1723433400000,2.92,37.14
1723434300000,2.17,37.14
1723435200000,2.01,37.13
1723436100000,2.04,37.14
1723437000000,1.98,37.15
1723437900000,2.26,37.14
1723438800000,2.79,37.15
1723439700000,3.01,37.16
1723440600000,2.88,37.16
1723441500000,3.26,37.14
1723442400000,3.98,37.14
1723443300000,4.01,37.14
1723444200000,4.42,37.16
1723445100000,3.73,37.16
1723446000000,3.7,37.16
1723446900000,2.98,37.15
1723447800000,5.46,37.15
1723448700000,3.0,37.14
1723449600000,3.64,37.14
1723450500000,4.66,37.15
1723451400000,3.51,37.15
1723452300000,5.64,37.15
1723453200000,4.29,37.16
1723454100000,3.76,37.15
1723455000000,4.53,37.14
1723455900000,3.67,37.13
1723456800000,3.13,37.14
1723457700000,2.2,37.15
1723458600000,2.51,37.15
1723459500000,1.95,37.14
1723460400000,1.94,37.14
1723461300000,1.95,37.13
1723462200000,1.94,37.14
1723463100000,1.97,37.14
1723464000000,1.92,37.14
1723464900000,2.92,37.14
1723465800000,2.1,37.15
1723466700000,2.07,37.16
1723467600000,1.95,37.15
1723468500000,1.88,37.14
1723469400000,1.95,37.13
1723470300000,2.01,37.13
1723471200000,1.94,37.14
1723472100000,1.85,37.13
1723473000000,2.01,37.14
1723473900000,1.85,37.14
1723474800000,2.07,37.15
1723475700000,1.95,37.14
1723476600000,1.97,37.14
1723477500000,1.82,37.14
1723478400000,1.91,37.14
1723479300000,2.01,37.13
1723480200000,1.91,37.14
1723481100000,2.1,37.15
1723482000000,2.16,37.15
1723482900000,2.04,37.16
1723483800000,2.04,37.15
1723484700000,1.97,37.16
1723485600000,3.32,37.19
1723486500000,1.85,37.2
1723487400000,1.85,37.21
1723488300000,2.04,37.2
1723489200000,1.88,37.19
1723490100000,2.07,37.21
1723491000000,4.57,37.21
1723491900000,1.82,37.2
1723492800000,1.85,37.2
1723493700000,1.72,37.2
1723494600000,2.04,37.21
1723495500000,1.75,37.17
1723496400000,2.01,37.17
1723497300000,1.79,37.16
1723498200000,1.66,37.16
1723499100000,1.66,37.16
1723500000000,3.98,37.17
1723500900000,1.73,37.16
1723501800000,1.76,37.16
1723502700000,1.75,37.16
1723503600000,4.7,37.14
1723504500000,1.69,37.11
1723505400000,1.79,36.95
1723506300000,2.01,36.95
1723507200000,1.63,36.98
1723508100000,1.97,37.0
1723509000000,1.82,37.01
1723509900000,2.01,37.0
1723510800000,2.1,37.01
1723511700000,2.22,37.02
1723512600000,2.07,37.01
1723513500000,2.26,37.02
1723514400000,2.35,37.01
1723515300000,2.38,37.01
1723516200000,3.01,37.02
1723517100000,2.82,37.0
1723518000000,2.82,37.01
1723518900000,2.47,37.01
1723519800000,2.23,37.0
1723520700000,1.73,37.02
1723521600000,2.13,37.03
1723522500000,1.6,37.02
1723523400000,1.63,37.01
1723524300000,1.76,37.03
1723525200000,2.32,37.01
1723526100000,2.66,37.01
1723527000000,2.82,37.02
1723527900000,3.23,37.02
1723528800000,2.39,37.02
1723529700000,4.29,37.02
1723530600000,3.26,37.03
1723531500000,2.98,37.02
1723532400000,3.95,37.01
1723533300000,4.54,37.02
1723534200000,4.14,37.02
1723535100000,4.39,37.02
1723536000000,3.16,37.01
1723536900000,3.44,37.02
1723537800000,3.51,37.04
1723538700000,3.95,37.04
1723539600000,3.85,37.05
1723540500000,5.92,37.02
1723541400000,5.21,37.01
1723542300000,3.6,37.01
1723543200000,1.63,37.01
1723544100000,1.66,37.01
1723545000000,2.04,37.01
1723545900000,1.76,37.01
1723546800000,1.66,37.0
1723547700000,1.75,37.01
1723548600000,1.73,37.01
1723549500000,1.88,37.04
1723550400000,1.76,37.04
1723551300000,1.63,37.04
1723552200000,1.78,37.03
1723553100000,1.66,37.03
1723554000000,1.7,37.05
1723554900000,1.88,37.05
1723555800000,2.0,37.03
1723556700000,1.76,37.03
1723557600000,3.01,37.03
1723558500000,1.75,37.01
1723559400000,1.63,37.01
1723560300000,1.82,36.99
1723561200000,1.66,37.0
1723562100000,1.85,37.01
1723563000000,1.63,37.01
1723563900000,1.78,37.02
1723564800000,1.69,37.02
1723565700000,1.79,37.03
1723566600000,1.73,37.03
1723567500000,1.73,37.03
1723568400000,1.72,37.01
1723569300000,1.73,37.04
1723570200000,1.76,37.05
1723571100000,1.66,37.05
1723572000000,2.29,37.07
1723572900000,1.76,37.07
1723573800000,1.76,37.05
1723574700000,1.63,37.07
1723575600000,1.82,37.04
1723576500000,1.72,37.04
1723577400000,4.11,37.05
1723578300000,1.7,37.05
1723579200000,1.63,37.04
1723580100000,1.91,37.05
1723581000000,2.88,37.11
1723581900000,1.79,37.05
1723582800000,1.76,37.05
1723583700000,1.72,37.06
1723584600000,1.66,37.04
1723585500000,1.69,37.05
1723586400000,5.01,37.06
1723587300000,1.69,37.05
1723588200000,1.73,37.07
1723589100000,1.6,37.06
1723590000000,5.11,37.04
1723590900000,1.82,37.04
1723591800000,1.6,37.04
1723592700000,1.79,37.05
1723593600000,1.94,37.04
1723594500000,2.04,37.06
1723595400000,2.19,37.07
1723596300000,2.35,37.06
1723597200000,2.36,37.06
1723598100000,2.79,37.06
1723599000000,2.7,37.06
1723599900000,2.6,37.06
1723600800000,2.42,37.06
1723601700000,2.35,37.06
1723602600000,2.51,37.06
1723603500000,2.51,37.06
1723604400000,2.26,37.06
1723605300000,2.61,37.06
1723606200000,2.04,37.05
1723607100000,1.66,37.05
1723608000000,1.72,37.07
1723608900000,1.91,37.08
1723609800000,1.69,37.08
1723610700000,1.75,37.06
1723611600000,2.67,37.05
1723612500000,3.01,37.07
1723613400000,2.82,37.09
1723614300000,3.32,37.08
1723615200000,3.23,37.09
1723616100000,3.82,37.11
1723617000000,2.51,37.11
1723617900000,2.98,37.11
1723618800000,3.67,37.1
1723619700000,4.64,37.11
1723620600000,2.29,37.1
1723621500000,3.64,37.07
1723622400000,3.35,37.08
1723623300000,3.29,37.08
1723624200000,2.66,37.1
1723625100000,5.14,37.11
1723626000000,4.67,37.13
1723626900000,4.3,37.11
1723627800000,4.95,37.12
1723628700000,2.85,37.08
1723629600000,2.16,37.08
1723630500000,2.14,37.08
1723631400000,1.79,37.09
1723632300000,1.85,37.09
1723633200000,1.82,37.09
1723634100000,1.82,37.09
1723635000000,1.79,37.07
1723635900000,1.72,37.07
1723636800000,1.63,37.07
1723637700000,1.79,37.07
1723638600000,1.75,37.07
1723639500000,1.88,37.07
1723640400000,1.75,37.07
1723641300000,1.63,37.07
1723642200000,1.88,37.06
1723643100000,1.66,37.06
1723644000000,1.76,37.06
1723644900000,1.79,37.07
1723645800000,1.66,37.07
