date,cpu,memory
1723219200000,4.45,16.8
1723220100000,4.29,16.82
1723221000000,4.8,16.82
1723221900000,4.46,16.79
1723222800000,4.39,16.84
1723223700000,4.51,16.84
1723224600000,4.29,16.84
1723225500000,4.32,16.82
1723226400000,4.32,16.82
1723227300000,4.36,16.82
1723228200000,4.41,16.83
1723229100000,4.26,16.82
1723230000000,4.39,16.81
1723230900000,4.2,16.82
1723231800000,5.29,16.82
1723232700000,4.3,16.83
1723233600000,4.36,16.83
1723234500000,4.33,16.83
1723235400000,4.33,16.93
1723236300000,4.29,16.84
1723237200000,4.29,16.82
1723238100000,4.41,16.83
1723239000000,4.26,16.84
1723239900000,4.39,16.84
1723240800000,6.65,16.82
1723241700000,4.29,16.84
1723242600000,4.32,16.85
1723243500000,4.26,16.84
1723244400000,4.23,16.86
1723245300000,4.17,16.83
1723246200000,4.23,16.84
1723247100000,4.36,16.84
1723248000000,4.23,16.83
1723248900000,4.14,16.83
1723249800000,4.17,16.85
1723250700000,4.23,16.83
1723251600000,4.32,16.83
1723252500000,4.2,16.85
1723253400000,4.2,16.82
1723254300000,4.29,16.84
1723255200000,4.48,16.86
1723256100000,4.48,16.86
1723257000000,4.2,16.85
1723257900000,4.17,16.86
1723258800000,4.01,16.83
1723259700000,4.32,16.85
1723260600000,4.35,16.84
1723261500000,4.17,16.85
1723262400000,4.32,16.83
1723263300000,4.36,16.76
1723264200000,4.11,16.76
1723265100000,4.26,16.76
1723266000000,4.29,16.73
1723266900000,4.3,16.77
1723267800000,4.11,16.74
1723268700000,4.26,16.74
1723269600000,4.29,16.76
1723270500000,4.26,16.76
1723271400000,4.2,16.74
1723272300000,4.32,16.77
1723273200000,4.2,16.79
1723274100000,4.2,16.78
1723275000000,4.36,16.76
1723275900000,4.23,16.77
1723276800000,4.27,16.78
1723277700000,4.23,16.76
1723278600000,4.5,16.77
1723279500000,4.38,16.78
1723280400000,4.2,16.75
1723281300000,4.23,16.77
1723282200000,4.26,16.77
1723283100000,4.29,16.78
1723284000000,4.14,16.77
1723284900000,4.3,16.79
1723285800000,4.24,16.78
1723286700000,4.26,16.77
1723287600000,3.82,16.78
1723288500000,4.33,16.8
1723289400000,4.26,16.8
1723290300000,4.32,16.78
1723291200000,4.33,16.77
1723292100000,4.38,16.78
1723293000000,4.33,16.81
1723293900000,4.36,16.79
1723294800000,4.32,16.81
1723295700000,4.45,16.78
1723296600000,4.2,16.8
1723297500000,4.48,16.79
1723298400000,4.07,16.79
1723299300000,4.2,16.79
1723300200000,4.2,16.8
1723301100000,4.45,16.79
1723302000000,4.07,16.79
1723302900000,4.36,16.81
1723303800000,4.42,16.79
1723304700000,4.26,16.81
1723305600000,4.7,16.81
1723306500000,4.58,16.79
