date,cpu,memory
1723219200000,3.32,23.55
1723220100000,3.64,23.54
1723221000000,3.58,23.53
1723221900000,3.88,23.57
1723222800000,3.7,23.52
1723223700000,3.58,23.52
1723224600000,3.39,23.53
1723225500000,3.57,23.52
1723226400000,4.26,23.56
1723227300000,3.51,23.54
1723228200000,3.69,23.56
1723229100000,3.7,23.55
1723230000000,3.51,23.59
1723230900000,3.14,23.61
1723231800000,3.57,23.61
1723232700000,3.94,23.6
1723233600000,3.34,23.6
1723234500000,3.57,23.6
1723235400000,11.99,23.6
1723236300000,3.33,23.57
1723237200000,3.26,23.58
1723238100000,3.44,23.59
1723239000000,3.26,23.6
1723239900000,3.14,23.6
1723240800000,8.08,23.63
1723241700000,3.39,23.6
1723242600000,3.08,23.6
1723243500000,3.33,23.6
1723244400000,3.46,23.59
1723245300000,3.26,23.59
1723246200000,3.51,23.59
1723247100000,3.45,23.58
1723248000000,3.51,23.58
1723248900000,3.57,23.59
1723249800000,3.33,23.6
1723250700000,3.64,23.6
1723251600000,3.06,23.59
1723252500000,3.45,23.61
1723253400000,3.56,23.64
1723254300000,3.26,23.64
1723255200000,3.45,23.59
1723256100000,3.2,23.61
1723257000000,3.32,23.61
1723257900000,3.57,23.61
1723258800000,3.33,23.61
1723259700000,3.14,23.61
1723260600000,3.56,23.61
1723261500000,3.26,23.61
1723262400000,3.83,23.62
1723263300000,3.38,23.6
1723264200000,3.14,23.62
1723265100000,3.19,23.62
1723266000000,3.19,23.6
1723266900000,3.45,23.61
1723267800000,3.02,23.63
1723268700000,3.45,23.62
1723269600000,3.13,23.61
1723270500000,3.45,23.63
1723271400000,3.39,23.64
1723272300000,3.26,23.62
1723273200000,3.14,23.62
1723274100000,3.32,23.62
1723275000000,3.2,23.61
1723275900000,3.14,23.63
1723276800000,3.13,23.61
1723277700000,3.75,23.61
1723278600000,3.64,23.61
1723279500000,3.45,23.61
1723280400000,3.45,23.62
1723281300000,3.75,23.63
1723282200000,3.51,23.65
1723283100000,3.64,23.62
1723284000000,3.45,23.62
1723284900000,3.64,23.61
1723285800000,3.39,23.63
1723286700000,3.19,23.63
1723287600000,3.38,23.66
1723288500000,3.77,23.64
1723289400000,3.76,23.65
1723290300000,3.32,23.66
1723291200000,3.39,23.66
1723292100000,3.34,23.65
1723293000000,3.39,23.65
1723293900000,3.32,23.66
1723294800000,3.32,23.66
1723295700000,3.32,23.66
1723296600000,3.39,23.66
1723297500000,3.52,23.68
1723298400000,3.45,23.67
1723299300000,3.45,23.65
1723300200000,3.28,23.65
1723301100000,3.19,23.66
1723302000000,3.57,23.67
1723302900000,3.45,23.67
1723303800000,3.32,23.67
1723304700000,3.01,23.65
1723305600000,3.33,23.66
1723306500000,3.51,23.66
1723307400000,3.45,23.68
1723308300000,3.26,23.68
1723309200000,3.7,23.69
1723310100000,3.45,23.69
1723311000000,3.44,23.69
1723311900000,3.26,23.69
1723312800000,3.32,23.69
1723313700000,3.33,23.69
1723314600000,3.32,23.67
1723315500000,3.33,23.67
1723316400000,3.51,23.68
1723317300000,3.26,23.68
1723318200000,3.52,23.68
1723319100000,3.26,23.66
1723320000000,3.45,23.68
1723320900000,3.26,23.72
1723321800000,11.35,23.76
1723322700000,3.45,23.73
1723323600000,3.44,23.72
1723324500000,3.2,23.71
1723325400000,3.45,23.7
1723326300000,3.26,23.7
1723327200000,7.97,23.71
1723328100000,3.2,23.68
1723329000000,3.44,23.71
1723329900000,3.39,23.71
1723330800000,3.45,23.71
1723331700000,3.63,23.71
1723332600000,3.26,23.71
1723333500000,3.2,23.72
1723334400000,3.32,23.73
1723335300000,3.51,23.76
1723336200000,3.26,23.76
1723337100000,3.26,23.76
1723338000000,3.84,23.74
1723338900000,3.77,23.75
1723339800000,4.2,23.75
1723340700000,3.82,23.75
1723341600000,3.51,23.73
1723342500000,3.89,23.73
1723343400000,3.26,23.74
1723344300000,3.33,23.74
1723345200000,3.45,23.75
1723346100000,3.39,23.77
1723347000000,3.32,23.76
1723347900000,3.33,23.78
1723348800000,3.26,23.75
1723349700000,3.45,23.67
1723350600000,3.26,23.67
1723351500000,3.26,23.67
1723352400000,3.39,23.67
1723353300000,3.19,23.67
1723354200000,3.58,23.67
1723355100000,3.32,23.74
1723356000000,3.32,23.74
1723356900000,3.14,23.75
1723357800000,3.45,23.74
1723358700000,3.25,23.76
1723359600000,3.39,23.77
1723360500000,3.45,23.76
1723361400000,3.32,23.76
1723362300000,3.51,23.77
1723363200000,3.82,23.77
1723364100000,3.64,23.77
1723365000000,3.45,23.77
1723365900000,3.33,23.78
1723366800000,3.27,23.78
1723367700000,3.45,23.78
1723368600000,3.33,23.78
1723369500000,3.45,23.78
1723370400000,3.58,23.78
1723371300000,3.76,23.79
1723372200000,3.26,23.79
1723373100000,3.57,23.79
1723374000000,3.51,23.79
1723374900000,3.58,23.79
1723375800000,3.71,23.79
1723376700000,3.58,23.78
1723377600000,3.45,23.79
1723378500000,3.33,23.8
1723379400000,3.39,23.8
1723380300000,3.39,23.79
1723381200000,3.45,23.8
1723382100000,3.45,23.8
