date,cpu,memory
1723219200000,95.38,68.72
1723220100000,8.09,68.36
1723221000000,8.22,68.4
1723221900000,8.8,68.45
1723222800000,2.64,68.48
1723223700000,2.76,68.49
1723224600000,2.57,68.52
1723225500000,2.07,68.56
1723226400000,2.01,68.6
1723227300000,1.85,68.58
1723228200000,2.13,68.6
1723229100000,2.54,68.61
1723230000000,1.88,68.61
1723230900000,2.7,68.62
1723231800000,3.32,68.62
1723232700000,2.54,68.62
1723233600000,2.6,68.64
1723234500000,6.45,68.65
1723235400000,2.73,68.67
1723236300000,2.57,68.68
1723237200000,2.63,68.69
1723238100000,2.57,68.7
1723239000000,1.91,68.69
1723239900000,2.22,68.69
1723240800000,5.14,68.63
1723241700000,2.6,68.62
1723242600000,2.48,68.65
1723243500000,2.64,68.64
1723244400000,2.76,68.63
1723245300000,2.63,68.64
1723246200000,2.04,68.64
1723247100000,2.07,68.68
1723248000000,2.76,68.64
1723248900000,2.32,68.64
1723249800000,2.54,68.66
1723250700000,2.73,68.65
1723251600000,2.63,68.66
1723252500000,2.54,68.65
1723253400000,2.03,68.66
1723254300000,1.82,68.68
1723255200000,2.45,68.7
1723256100000,2.42,68.7
1723257000000,2.6,68.7
1723257900000,2.48,68.71
1723258800000,2.63,68.71
1723259700000,2.51,68.71
1723260600000,1.97,68.71
1723261500000,2.73,68.72
1723262400000,2.69,68.72
1723263300000,2.66,68.73
1723264200000,2.07,68.72
1723265100000,2.51,68.72
1723266000000,2.38,68.73
1723266900000,2.6,68.72
1723267800000,1.79,68.72
1723268700000,2.64,68.62
1723269600000,2.45,68.64
1723270500000,2.54,68.62
1723271400000,2.45,68.64
1723272300000,2.07,68.63
1723273200000,3.13,68.63
1723274100000,2.66,68.64
1723275000000,2.57,68.65
1723275900000,2.57,68.65
1723276800000,2.54,68.63
1723277700000,1.88,68.64
1723278600000,1.97,68.63
1723279500000,2.63,68.63
1723280400000,2.54,68.63
1723281300000,2.73,68.64
1723282200000,2.63,68.64
1723283100000,2.73,68.66
1723284000000,1.97,68.66
1723284900000,2.67,68.66
1723285800000,2.45,68.67
1723286700000,2.35,68.67
1723287600000,2.73,68.65
1723288500000,2.72,68.67
1723289400000,3.29,68.67
1723290300000,2.67,68.67
1723291200000,2.13,68.68
1723292100000,2.54,68.66
1723293000000,2.01,68.66
1723293900000,2.7,68.65
1723294800000,1.97,68.65
1723295700000,2.57,68.66
1723296600000,2.51,68.65
1723297500000,1.92,68.66
1723298400000,1.98,68.67
1723299300000,2.51,68.66
1723300200000,2.57,68.66
1723301100000,2.6,68.67
1723302000000,1.98,68.67
1723302900000,2.38,68.67
1723303800000,2.7,68.68
1723304700000,2.69,68.68
1723305600000,94.74,68.68
1723306500000,9.0,68.36
1723307400000,8.81,68.42
1723308300000,7.68,68.44
1723309200000,2.54,68.45
1723310100000,2.6,68.46
1723311000000,2.44,68.47
1723311900000,2.57,68.52
1723312800000,2.45,68.52
1723313700000,2.6,68.53
1723314600000,3.7,68.56
1723315500000,2.63,68.55
1723316400000,2.55,68.56
1723317300000,2.67,68.61
1723318200000,3.51,68.61
1723319100000,2.61,68.62
1723320000000,1.89,68.62
1723320900000,3.42,68.65
1723321800000,2.23,68.65
1723322700000,2.54,68.68
1723323600000,1.85,68.67
1723324500000,2.57,68.68
1723325400000,2.07,68.67
1723326300000,2.63,68.69
1723327200000,5.08,68.69
1723328100000,2.54,68.69
1723329000000,2.07,68.69
1723329900000,2.7,68.73
1723330800000,2.63,68.73
1723331700000,2.57,68.72
1723332600000,1.85,68.73
1723333500000,2.48,68.73
1723334400000,2.73,68.71
1723335300000,2.79,68.71
1723336200000,1.97,68.71
1723337100000,2.73,68.71
1723338000000,2.63,68.72
1723338900000,2.41,68.71
1723339800000,2.58,68.71
1723340700000,2.76,68.72
1723341600000,2.79,68.7
1723342500000,2.38,68.7
1723343400000,1.6,68.7
1723344300000,2.67,68.7
1723345200000,2.73,68.7
1723346100000,2.7,68.7
1723347000000,2.66,68.71
1723347900000,2.58,68.7
1723348800000,1.98,68.71
1723349700000,2.6,68.72
1723350600000,2.38,68.72
1723351500000,2.57,68.74
1723352400000,1.88,68.73
1723353300000,2.54,68.72
1723354200000,2.6,68.73
1723355100000,2.38,68.73
1723356000000,2.35,68.74
1723356900000,2.67,68.73
1723357800000,2.14,68.73
1723358700000,2.41,68.73
1723359600000,2.67,68.74
1723360500000,2.7,68.75
1723361400000,1.98,68.75
1723362300000,2.64,68.75
1723363200000,2.69,68.78
1723364100000,1.79,68.79
1723365000000,2.66,68.79
1723365900000,2.82,68.81
1723366800000,1.82,68.8
1723367700000,2.66,68.79
1723368600000,2.57,68.79
1723369500000,2.54,68.81
1723370400000,1.94,68.79
1723371300000,2.48,68.79
1723372200000,1.91,68.8
1723373100000,2.57,68.79
1723374000000,2.67,68.71
1723374900000,2.66,68.7
1723375800000,1.95,68.69
1723376700000,2.7,68.69
1723377600000,1.95,68.7
1723378500000,2.63,68.69
1723379400000,2.41,68.71
1723380300000,2.6,68.7
1723381200000,2.57,68.73
1723382100000,2.73,68.73
1723383000000,1.85,68.73
1723383900000,2.66,68.73
1723384800000,2.01,68.73
1723385700000,2.6,68.75
1723386600000,2.7,68.74
1723387500000,3.11,68.75
1723388400000,2.48,68.76
1723389300000,2.7,68.75
1723390200000,1.82,68.73
1723391100000,2.7,68.74
1723392000000,94.52,68.73
1723392900000,8.63,68.4
1723393800000,8.43,68.47
1723394700000,9.09,68.49
1723395600000,1.95,68.48
1723396500000,2.66,68.5
1723397400000,2.13,68.51
1723398300000,2.63,68.53
1723399200000,2.64,68.54
1723400100000,2.13,68.54
1723401000000,2.69,68.55
1723401900000,2.73,68.57
1723402800000,2.1,68.57
