date,cpu,memory
1723219200000,5.29,28.3
1723220100000,5.19,28.29
1723221000000,5.9,28.29
1723221900000,5.84,28.3
1723222800000,5.35,28.35
1723223700000,5.61,28.38
1723224600000,5.3,28.38
1723225500000,5.66,28.37
1723226400000,5.6,28.4
1723227300000,5.42,28.33
1723228200000,5.66,28.34
1723229100000,5.48,28.25
1723230000000,5.12,28.23
1723230900000,5.3,28.24
1723231800000,5.88,28.24
1723232700000,5.67,28.2
1723233600000,5.85,28.2
1723234500000,5.3,28.2
1723235400000,10.56,28.29
1723236300000,5.68,28.23
1723237200000,5.65,28.23
1723238100000,5.31,28.23
1723239000000,5.31,28.23
1723239900000,5.6,28.23
1723240800000,13.73,28.25
1723241700000,5.93,28.26
1723242600000,5.81,28.26
1723243500000,5.41,28.25
1723244400000,5.54,28.26
1723245300000,5.78,28.28
1723246200000,5.53,28.26
1723247100000,5.6,28.25
1723248000000,5.61,28.24
1723248900000,5.43,28.13
1723249800000,5.42,28.14
1723250700000,5.06,28.13
1723251600000,5.05,28.13
1723252500000,5.54,28.13
1723253400000,5.91,28.12
1723254300000,5.24,28.1
1723255200000,5.12,28.11
1723256100000,5.8,28.1
1723257000000,5.79,28.11
1723257900000,5.28,28.11
1723258800000,5.78,28.11
1723259700000,5.23,28.13
1723260600000,5.43,28.15
1723261500000,5.67,28.16
1723262400000,5.55,28.14
1723263300000,5.63,28.14
1723264200000,5.85,28.16
1723265100000,5.28,28.18
1723266000000,8.34,28.17
1723266900000,5.37,28.18
1723267800000,5.9,28.18
1723268700000,5.79,28.16
1723269600000,6.27,28.2
1723270500000,5.64,28.19
1723271400000,5.29,28.19
1723272300000,5.62,28.17
1723273200000,6.32,28.16
1723274100000,7.0,28.16
1723275000000,6.7,28.16
1723275900000,6.95,28.19
1723276800000,6.92,28.17
1723277700000,5.99,28.19
1723278600000,6.54,28.19
1723279500000,7.33,28.17
1723280400000,5.81,28.17
1723281300000,6.59,28.17
1723282200000,6.49,28.17
1723283100000,5.92,28.2
1723284000000,6.55,28.2
1723284900000,6.11,28.17
1723285800000,6.44,28.18
1723286700000,6.27,28.18
1723287600000,6.55,28.18
1723288500000,6.91,28.18
1723289400000,6.66,28.18
1723290300000,6.53,28.18
1723291200000,6.23,28.19
