date,cpu,memory
1723219200000,3.65,36.6
1723220100000,3.27,36.59
1723221000000,3.77,36.59
1723221900000,3.77,36.6
1723222800000,3.53,36.66
1723223700000,3.02,36.69
1723224600000,3.46,36.68
1723225500000,3.64,36.7
1723226400000,3.84,36.69
1723227300000,3.58,36.63
1723228200000,3.71,36.64
1723229100000,3.77,36.64
1723230000000,3.58,36.65
1723230900000,3.64,36.65
1723231800000,7.54,36.67
1723232700000,3.46,36.7
1723233600000,3.45,36.7
1723234500000,3.4,36.7
1723235400000,3.77,36.73
1723236300000,3.21,36.69
1723237200000,3.32,36.73
1723238100000,3.27,36.68
1723239000000,3.7,36.68
1723239900000,3.33,36.68
1723240800000,9.92,36.7
1723241700000,3.39,36.65
1723242600000,34.29,36.69
1723243500000,3.45,36.7
1723244400000,3.15,36.7
1723245300000,3.46,36.64
1723246200000,3.46,36.64
1723247100000,3.46,36.64
1723248000000,3.39,36.64
1723248900000,3.45,36.64
1723249800000,3.4,36.63
1723250700000,3.33,36.64
1723251600000,3.33,36.64
1723252500000,3.64,36.64
1723253400000,3.52,36.65
1723254300000,3.64,36.65
1723255200000,3.51,36.65
1723256100000,3.38,36.65
1723257000000,3.39,36.65
1723257900000,3.32,36.65
1723258800000,3.2,36.68
1723259700000,3.51,36.68
1723260600000,3.64,36.68
1723261500000,3.64,36.67
1723262400000,3.27,36.64
1723263300000,3.39,36.63
1723264200000,3.39,36.62
1723265100000,3.58,36.63
1723266000000,3.33,36.63
1723266900000,3.39,36.62
1723267800000,3.39,36.61
1723268700000,3.14,36.62
1723269600000,3.39,36.65
1723270500000,3.33,36.65
1723271400000,3.27,36.66
1723272300000,3.52,36.66
1723273200000,3.45,36.67
1723274100000,3.39,36.66
1723275000000,3.39,36.65
1723275900000,3.39,36.66
1723276800000,3.64,36.64
1723277700000,3.39,36.64
1723278600000,3.39,36.64
1723279500000,3.26,36.64
1723280400000,3.33,36.64
1723281300000,3.27,36.64
1723282200000,3.4,36.65
1723283100000,3.26,36.65
1723284000000,3.39,36.65
1723284900000,3.27,36.65
1723285800000,3.52,36.66
1723286700000,3.33,36.66
1723287600000,3.45,36.65
1723288500000,28.43,36.67
1723289400000,3.14,36.67
1723290300000,3.82,36.67
1723291200000,3.32,36.66
1723292100000,3.26,36.66
1723293000000,3.71,36.67
1723293900000,3.46,36.7
1723294800000,3.63,36.68
1723295700000,3.58,36.69
1723296600000,3.34,36.7
1723297500000,3.53,36.7
1723298400000,3.2,36.7
1723299300000,3.64,36.71
1723300200000,3.52,36.7
1723301100000,3.52,36.7
1723302000000,3.39,36.71
1723302900000,3.63,36.71
1723303800000,3.58,36.72
1723304700000,3.52,36.72
1723305600000,3.27,36.73
1723306500000,3.33,36.73
1723307400000,3.45,36.73
1723308300000,3.26,36.73
1723309200000,3.4,36.75
1723310100000,3.39,36.76
1723311000000,3.52,36.77
1723311900000,3.46,36.78
1723312800000,3.39,36.78
1723313700000,3.52,36.79
1723314600000,3.52,36.78
1723315500000,3.45,36.77
1723316400000,3.4,36.76
1723317300000,3.39,36.77
1723318200000,7.33,36.77
1723319100000,3.52,36.76
1723320000000,3.38,36.76
1723320900000,3.26,36.76
1723321800000,7.84,36.78
1723322700000,3.45,36.8
1723323600000,3.21,36.78
1723324500000,3.7,36.78
1723325400000,3.33,36.79
1723326300000,3.39,36.8
1723327200000,9.17,36.81
1723328100000,3.4,36.79
1723329000000,3.52,36.77
1723329900000,3.45,36.76
1723330800000,3.45,36.76
1723331700000,3.33,36.76
1723332600000,3.58,36.78
1723333500000,3.39,36.8
1723334400000,3.65,36.79
1723335300000,3.26,36.77
1723336200000,3.7,36.77
1723337100000,3.52,36.78
1723338000000,3.34,36.8
1723338900000,3.71,36.8
1723339800000,3.77,36.8
1723340700000,3.7,36.8
1723341600000,3.58,36.8
1723342500000,3.78,36.8
1723343400000,3.65,36.8
1723344300000,3.58,36.79
1723345200000,3.45,36.8
1723346100000,3.58,36.8
1723347000000,3.45,36.78
1723347900000,3.58,36.77
1723348800000,3.64,36.78
1723349700000,3.26,36.78
1723350600000,3.27,36.79
1723351500000,3.45,36.79
1723352400000,3.58,36.79
1723353300000,3.33,36.8
1723354200000,3.33,36.79
1723355100000,3.33,36.8
1723356000000,3.45,36.8
1723356900000,3.51,36.8
1723357800000,3.39,36.8
1723358700000,3.52,36.8
1723359600000,3.58,36.8
1723360500000,3.58,36.8
1723361400000,3.33,36.83
1723362300000,3.46,36.83
1723363200000,3.46,36.83
1723364100000,3.39,36.84
1723365000000,3.27,36.85
1723365900000,3.45,36.85
1723366800000,3.33,36.86
1723367700000,3.45,36.85
1723368600000,3.64,36.86
1723369500000,3.45,36.85
1723370400000,3.45,36.85
