date,cpu,memory
1723219200000,4.2,35.37
1723220100000,4.01,35.36
1723221000000,4.4,35.38
1723221900000,3.95,35.38
1723222800000,3.96,35.38
1723223700000,4.08,35.38
1723224600000,4.08,35.37
1723225500000,3.71,35.36
1723226400000,6.03,35.37
1723227300000,4.21,35.4
1723228200000,4.14,35.4
1723229100000,4.46,35.4
1723230000000,4.08,35.4
1723230900000,4.33,35.4
1723231800000,4.01,35.41
1723232700000,3.7,35.41
1723233600000,4.08,35.4
1723234500000,4.47,35.4
1723235400000,9.07,35.5
1723236300000,4.64,35.44
1723237200000,4.27,35.44
1723238100000,4.64,35.43
1723239000000,4.91,35.42
1723239900000,3.83,35.42
1723240800000,8.79,35.44
1723241700000,3.76,35.42
1723242600000,3.82,35.42
1723243500000,3.83,35.42
1723244400000,3.96,35.42
1723245300000,3.71,35.44
1723246200000,3.77,35.44
1723247100000,3.7,35.44
1723248000000,4.2,35.44
1723248900000,4.71,35.44
1723249800000,3.77,35.44
1723250700000,3.9,35.47
1723251600000,3.83,35.48
1723252500000,3.9,35.47
1723253400000,4.4,35.47
1723254300000,3.77,35.47
1723255200000,3.83,35.48
1723256100000,4.14,35.48
1723257000000,4.65,35.48
1723257900000,3.95,35.47
1723258800000,3.82,35.48
1723259700000,3.83,35.49
1723260600000,3.71,35.45
1723261500000,3.83,35.49
1723262400000,4.08,35.49
1723263300000,3.83,35.51
1723264200000,3.76,35.48
1723265100000,3.95,35.47
1723266000000,3.52,35.47
1723266900000,4.21,35.47
1723267800000,3.89,35.47
1723268700000,3.71,35.47
1723269600000,4.14,35.48
1723270500000,4.08,35.48
1723271400000,3.71,35.48
1723272300000,3.89,35.48
1723273200000,3.76,35.48
1723274100000,3.96,35.48
1723275000000,4.15,35.48
1723275900000,3.64,35.47
1723276800000,3.7,35.48
1723277700000,4.02,35.49
1723278600000,3.77,35.5
1723279500000,4.03,35.5
1723280400000,3.77,35.5
1723281300000,3.95,35.52
1723282200000,4.19,35.52
1723283100000,3.96,35.51
1723284000000,3.82,35.53
1723284900000,3.84,35.54
1723285800000,3.95,35.52
1723286700000,3.71,35.49
1723287600000,4.46,35.5
1723288500000,4.2,35.5
1723289400000,3.64,35.51
1723290300000,3.71,35.51
1723291200000,3.83,35.51
1723292100000,3.95,35.51
1723293000000,3.83,35.52
1723293900000,3.96,35.51
1723294800000,3.89,35.51
1723295700000,3.95,35.51
1723296600000,4.14,35.54
1723297500000,4.14,35.55
1723298400000,3.84,35.56
1723299300000,4.08,35.54
1723300200000,3.64,35.53
1723301100000,3.76,35.55
1723302000000,26.49,35.63
1723302900000,3.83,35.56
1723303800000,3.76,35.56
1723304700000,3.7,35.56
1723305600000,4.6,35.56
1723306500000,4.21,35.55
1723307400000,4.08,35.56
1723308300000,4.01,35.58
1723309200000,15.24,35.59
1723310100000,9.26,35.61
1723311000000,3.9,35.58
1723311900000,3.89,35.54
1723312800000,5.33,35.53
1723313700000,4.96,35.5
1723314600000,3.9,35.51
1723315500000,3.89,35.5
1723316400000,4.01,35.5
1723317300000,4.01,35.52
1723318200000,3.89,35.53
1723319100000,3.95,35.52
1723320000000,4.22,35.52
1723320900000,3.95,35.52
1723321800000,8.04,35.53
1723322700000,4.15,35.52
1723323600000,35.87,35.53
1723324500000,3.58,35.22
1723325400000,3.7,35.22
1723326300000,4.08,35.2
1723327200000,10.31,35.22
1723328100000,4.08,35.21
1723329000000,3.89,35.22
1723329900000,3.96,35.24
1723330800000,4.45,35.22
1723331700000,3.77,35.21
1723332600000,3.76,35.21
1723333500000,4.0,35.21
1723334400000,4.01,35.21
1723335300000,3.77,35.23
1723336200000,3.95,35.23
1723337100000,4.07,35.23
1723338000000,4.15,35.23
1723338900000,3.89,35.22
1723339800000,4.08,35.22
1723340700000,3.77,35.22
1723341600000,4.08,35.22
1723342500000,4.14,35.22
1723343400000,4.2,35.23
1723344300000,3.7,35.23
1723345200000,4.22,35.23
1723346100000,4.01,35.23
1723347000000,3.82,35.24
1723347900000,3.83,35.24
1723348800000,4.39,35.23
1723349700000,3.95,35.24
1723350600000,3.83,35.23
1723351500000,3.89,35.22
1723352400000,3.84,35.26
1723353300000,3.65,35.29
1723354200000,3.76,35.3
1723355100000,3.71,35.28
1723356000000,4.14,35.28
1723356900000,4.02,35.28
1723357800000,4.01,35.25
1723358700000,3.89,35.26
1723359600000,4.08,35.26
1723360500000,3.83,35.26
1723361400000,3.96,35.27
1723362300000,3.89,35.27
1723363200000,4.03,35.27
1723364100000,4.08,35.27
1723365000000,3.77,35.26
1723365900000,4.01,35.25
1723366800000,4.07,35.25
1723367700000,4.39,35.26
1723368600000,3.83,35.26
1723369500000,3.96,35.26
1723370400000,3.95,35.27
1723371300000,3.83,35.29
1723372200000,4.02,35.3
1723373100000,3.89,35.29
1723374000000,4.02,35.29
1723374900000,3.83,35.29
1723375800000,4.01,35.3
1723376700000,3.7,35.29
1723377600000,3.77,35.29
1723378500000,4.14,35.29
1723379400000,3.76,35.3
1723380300000,3.76,35.29
1723381200000,4.21,35.3
1723382100000,4.02,35.3
1723383000000,4.14,35.32
1723383900000,4.21,35.35
1723384800000,4.08,35.35
1723385700000,3.9,35.33
1723386600000,4.21,35.34
1723387500000,3.95,35.33
1723388400000,27.14,35.43
1723389300000,3.83,35.35
1723390200000,4.2,35.35
1723391100000,4.01,35.34
1723392000000,4.33,35.35
1723392900000,4.21,35.35
1723393800000,4.33,35.36
1723394700000,3.89,35.34
1723395600000,4.65,35.35
1723396500000,4.02,35.35
1723397400000,4.14,35.35
1723398300000,4.58,35.35
1723399200000,5.78,35.27
1723400100000,3.89,35.25
1723401000000,3.89,35.26
1723401900000,3.76,35.26
1723402800000,4.08,35.29
1723403700000,4.02,35.28
1723404600000,4.21,35.28
1723405500000,4.21,35.27
1723406400000,3.95,35.3
1723407300000,3.95,35.29
1723408200000,7.07,35.36
1723409100000,4.14,35.3
1723410000000,4.26,35.3
1723410900000,4.01,35.3
1723411800000,3.83,35.29
1723412700000,3.96,35.29
1723413600000,10.68,35.31
1723414500000,4.2,35.29
1723415400000,4.27,35.29
1723416300000,4.15,35.29
1723417200000,5.09,35.29
1723418100000,4.15,35.29
1723419000000,4.58,35.29
1723419900000,3.96,35.32
1723420800000,4.34,35.33
1723421700000,4.91,35.33
1723422600000,5.46,35.36
1723423500000,5.85,35.38
1723424400000,8.62,35.4
1723425300000,5.92,35.4
1723426200000,5.86,35.44
1723427100000,5.47,35.43
1723428000000,5.34,35.44
1723428900000,5.6,35.44
1723429800000,6.02,35.45
1723430700000,5.1,35.46
1723431600000,6.21,35.46
1723432500000,5.34,35.32
1723433400000,5.28,35.31
1723434300000,5.34,35.31
1723435200000,5.78,35.31
1723436100000,5.14,35.28
1723437000000,5.26,35.24
1723437900000,4.4,35.23
1723438800000,4.27,35.23
1723439700000,5.52,35.22
1723440600000,5.78,35.24
1723441500000,5.96,35.26
1723442400000,5.71,35.25
1723443300000,4.52,35.25
1723444200000,5.1,35.26
1723445100000,5.79,35.25
1723446000000,7.73,35.26
1723446900000,6.1,35.26
1723447800000,6.28,35.27
1723448700000,4.46,35.26
1723449600000,5.83,35.24
1723450500000,6.86,35.27
1723451400000,5.9,35.24
1723452300000,4.7,35.23
1723453200000,6.53,35.23
1723454100000,4.77,35.23
1723455000000,4.46,35.23
1723455900000,4.58,35.24
1723456800000,18.02,35.25
1723457700000,4.53,35.23
1723458600000,9.42,35.24
1723459500000,4.14,35.23
1723460400000,4.08,35.23
1723461300000,4.2,35.25
1723462200000,4.2,35.26
1723463100000,4.01,35.24
1723464000000,30.84,35.25
1723464900000,4.65,35.22
1723465800000,3.95,35.23
1723466700000,5.02,35.23
1723467600000,3.83,35.25
1723468500000,4.83,35.24
1723469400000,6.03,35.26
1723470300000,4.27,35.27
1723471200000,4.08,35.27
1723472100000,4.89,35.26
1723473000000,4.19,35.24
1723473900000,4.08,35.24
1723474800000,21.43,35.32
1723475700000,4.08,35.23
1723476600000,3.95,35.24
1723477500000,4.74,35.25
1723478400000,5.67,35.25
1723479300000,4.08,35.28
1723480200000,3.95,35.3
1723481100000,3.77,35.27
1723482000000,3.9,35.28
1723482900000,4.14,35.3
1723483800000,3.89,35.26
1723484700000,4.02,35.25
1723485600000,5.27,35.27
1723486500000,4.14,35.25
1723487400000,3.89,35.25
1723488300000,4.01,35.29
1723489200000,4.08,35.29
1723490100000,4.27,35.29
1723491000000,4.46,35.29
1723491900000,4.45,35.26
1723492800000,4.14,35.26
1723493700000,4.02,35.26
1723494600000,7.74,35.35
1723495500000,3.9,35.32
1723496400000,35.44,35.34
1723497300000,4.02,35.31
1723498200000,3.77,35.32
1723499100000,4.2,35.27
1723500000000,29.49,35.32
1723500900000,4.2,35.31
1723501800000,4.33,35.31
1723502700000,4.28,35.32
1723503600000,4.32,35.32
1723504500000,6.65,35.31
1723505400000,4.2,35.31
1723506300000,4.51,35.3
1723507200000,4.33,35.28
1723508100000,4.77,35.29
1723509000000,4.39,35.3
1723509900000,6.21,35.34
1723510800000,6.17,35.38
1723511700000,6.74,35.38
1723512600000,6.42,35.39
1723513500000,7.48,35.38
1723514400000,7.3,35.39
1723515300000,6.41,35.39
1723516200000,6.72,35.41
1723517100000,5.84,35.4
1723518000000,6.41,35.44
1723518900000,6.47,35.44
1723519800000,6.41,35.42
1723520700000,6.6,35.43
1723521600000,5.4,35.42
1723522500000,5.27,35.42
1723523400000,4.77,35.42
1723524300000,5.14,35.37
1723525200000,7.33,35.36
1723526100000,4.45,35.35
1723527000000,4.65,35.36
1723527900000,4.22,35.37
1723528800000,5.4,35.38
1723529700000,5.72,35.38
1723530600000,4.58,35.37
1723531500000,4.7,35.37
1723532400000,4.58,35.37
1723533300000,4.46,35.37
1723534200000,5.26,35.39
1723535100000,4.77,35.4
1723536000000,5.9,35.4
1723536900000,5.64,35.39
1723537800000,5.03,35.4
1723538700000,5.4,35.4
1723539600000,4.45,35.4
1723540500000,4.27,35.26
1723541400000,4.91,35.26
1723542300000,5.03,35.26
1723543200000,4.34,35.26
1723544100000,6.34,35.26
1723545000000,5.16,35.27
1723545900000,4.2,35.25
1723546800000,5.46,35.25
1723547700000,4.26,35.25
1723548600000,4.28,35.24
1723549500000,4.08,35.23
1723550400000,4.21,35.26
1723551300000,4.09,35.29
1723552200000,4.39,35.32
1723553100000,4.33,35.36
1723554000000,4.46,35.36
1723554900000,4.14,35.39
1723555800000,4.52,35.32
1723556700000,4.83,35.28
1723557600000,12.6,35.3
1723558500000,18.47,35.37
1723559400000,18.18,35.37
1723560300000,23.12,35.44
1723561200000,23.96,35.43
1723562100000,17.84,35.43
1723563000000,17.73,35.49
1723563900000,17.71,35.49
1723564800000,50.98,35.52
1723565700000,15.45,35.53
1723566600000,15.43,35.53
1723567500000,47.55,35.5
1723568400000,16.68,35.5
1723569300000,16.38,35.48
1723570200000,15.68,35.58
1723571100000,18.83,35.54
1723572000000,37.1,35.54
1723572900000,20.35,35.53
1723573800000,46.33,35.57
1723574700000,17.76,35.53
1723575600000,17.53,35.56
1723576500000,16.88,35.56
1723577400000,42.75,35.5
1723578300000,30.71,35.54
1723579200000,47.45,35.56
1723580100000,40.86,35.54
1723581000000,10.14,35.55
1723581900000,4.52,35.38
1723582800000,4.45,35.34
1723583700000,4.14,35.31
1723584600000,4.4,35.3
1723585500000,4.53,35.29
1723586400000,9.87,35.32
1723587300000,4.27,35.31
1723588200000,4.76,35.31
1723589100000,4.4,35.32
1723590000000,4.71,35.32
1723590900000,4.14,35.32
1723591800000,4.21,35.31
1723592700000,4.38,35.31
1723593600000,4.83,35.31
1723594500000,4.33,35.31
1723595400000,4.52,35.32
1723596300000,4.57,35.33
1723597200000,4.39,35.33
1723598100000,4.27,35.33
1723599000000,5.28,35.34
1723599900000,4.53,35.35
1723600800000,5.59,35.34
1723601700000,5.84,35.35
1723602600000,5.89,35.37
1723603500000,4.64,35.43
1723604400000,4.39,35.43
1723605300000,4.33,35.42
1723606200000,5.21,35.42
1723607100000,3.89,35.42
1723608000000,4.58,35.43
1723608900000,4.34,35.43
1723609800000,4.58,35.41
1723610700000,4.46,35.41
1723611600000,4.52,35.42
1723612500000,4.45,35.42
1723613400000,4.64,35.42
1723614300000,21.76,35.43
1723615200000,4.51,35.43
1723616100000,5.45,35.47
1723617000000,6.71,35.46
1723617900000,4.46,35.46
1723618800000,6.66,35.46
1723619700000,4.76,35.47
1723620600000,4.33,35.47
1723621500000,73.58,35.46
1723622400000,5.91,35.45
1723623300000,5.46,35.47
1723624200000,4.33,35.56
1723625100000,4.47,35.55
1723626000000,4.58,35.54
1723626900000,7.92,35.54
1723627800000,5.59,35.5
1723628700000,6.52,35.46
1723629600000,5.65,35.48
1723630500000,5.71,35.47
1723631400000,5.34,35.51
1723632300000,5.21,35.51
1723633200000,4.46,35.5
1723634100000,4.39,35.49
1723635000000,4.51,35.49
1723635900000,4.26,35.44
1723636800000,4.22,35.47
1723637700000,4.27,35.44
1723638600000,4.4,35.44
1723639500000,4.39,35.43
1723640400000,4.34,35.44
1723641300000,4.33,35.44
1723642200000,5.46,35.45
1723643100000,4.14,35.45
1723644000000,4.08,35.48
1723644900000,3.89,35.48
1723645800000,4.46,35.49
1723646700000,4.64,35.45
1723647600000,38.6,35.57
1723648500000,4.26,35.48
1723649400000,4.71,35.38
1723650300000,4.21,35.37
1723651200000,4.29,35.39
1723652100000,4.34,35.39
1723653000000,4.33,35.39
1723653900000,4.44,35.38
1723654800000,9.52,35.39
1723655700000,7.98,35.4
1723656600000,12.83,35.4
1723657500000,4.46,35.38
1723658400000,6.72,35.36
1723659300000,4.15,35.34
1723660200000,4.33,35.36
1723661100000,4.21,35.36
1723662000000,4.27,35.36
1723662900000,4.32,35.35
1723663800000,3.96,35.36
1723664700000,4.2,35.37
1723665600000,4.66,35.38
1723666500000,4.78,35.36
1723667400000,9.65,35.41
1723668300000,4.58,35.38
1723669200000,4.2,35.43
1723670100000,4.08,35.39
1723671000000,4.08,35.39
1723671900000,4.89,35.39
1723672800000,11.0,35.41
1723673700000,4.14,35.4
1723674600000,3.95,35.4
1723675500000,4.7,35.4
1723676400000,4.08,35.4
1723677300000,3.89,35.39
1723678200000,4.32,35.41
1723679100000,3.95,35.41
1723680000000,6.15,35.41
1723680900000,4.59,35.43
1723681800000,5.91,35.44
1723682700000,4.77,35.45
1723683600000,5.64,35.45
1723684500000,7.47,35.46
1723685400000,4.15,35.47
1723686300000,4.39,35.48
1723687200000,5.71,35.48
1723688100000,5.9,35.48
1723689000000,4.47,35.48
1723689900000,5.52,35.46
1723690800000,4.9,35.47
1723691700000,4.39,35.48
1723692600000,5.78,35.48
1723693500000,5.28,35.48
1723694400000,4.45,35.48
1723695300000,4.33,35.49
1723696200000,5.33,35.5
1723697100000,4.64,35.49
1723698000000,4.28,35.49
1723698900000,5.71,35.49
1723699800000,4.33,35.49
1723700700000,5.02,35.5
1723701600000,4.58,35.51
1723702500000,5.16,35.51
1723703400000,6.29,35.51
1723704300000,4.46,35.52
1723705200000,5.08,35.51
1723706100000,5.41,35.52
1723707000000,4.71,35.53
1723707900000,4.21,35.53
1723708800000,19.08,35.53
1723709700000,4.84,35.46
1723710600000,4.9,35.47
1723711500000,4.28,35.49
1723712400000,4.51,35.49
1723713300000,4.96,35.5
1723714200000,7.54,35.49
1723715100000,5.01,35.49
1723716000000,29.02,35.5
1723716900000,4.91,35.49
1723717800000,5.03,35.49
1723718700000,4.46,35.49
1723719600000,6.48,35.52
1723720500000,4.33,35.52
1723721400000,4.9,35.52
1723722300000,4.26,35.51
1723723200000,30.49,35.59
1723724100000,4.01,35.55
1723725000000,4.52,35.56
1723725900000,4.39,35.54
1723726800000,4.27,35.51
1723727700000,4.9,35.46
1723728600000,6.33,35.46
1723729500000,4.34,35.46
1723730400000,7.71,35.49
1723731300000,4.39,35.47
1723732200000,4.08,35.48
1723733100000,4.27,35.48
1723734000000,25.79,35.59
1723734900000,4.4,35.51
1723735800000,4.09,35.51
1723736700000,3.96,35.53
1723737600000,4.71,35.53
1723738500000,4.02,35.52
1723739400000,4.22,35.49
1723740300000,4.2,35.5
1723741200000,4.46,35.51
1723742100000,4.4,35.5
1723743000000,4.09,35.5
1723743900000,4.15,35.51
1723744800000,4.83,35.52
1723745700000,4.27,35.51
1723746600000,4.14,35.51
1723747500000,4.08,35.51
1723748400000,4.21,35.51
1723749300000,4.27,35.51
1723750200000,4.08,35.51
1723751100000,4.14,35.56
1723752000000,4.15,35.57
1723752900000,4.27,35.53
1723753800000,7.22,35.56
1723754700000,4.2,35.51
1723755600000,3.95,35.51
1723756500000,4.45,35.5
1723757400000,4.15,35.36
1723758300000,4.02,35.36
1723759200000,10.48,35.37
1723760100000,4.27,35.34
1723761000000,4.14,35.35
1723761900000,4.15,35.34
1723762800000,4.89,35.35
1723763700000,26.02,35.44
1723764600000,22.37,35.4
1723765500000,8.0,35.42
1723766400000,4.45,35.41
1723767300000,5.08,35.4
1723768200000,5.53,35.42
1723769100000,6.15,35.43
1723770000000,8.73,35.47
1723770900000,5.34,35.47
1723771800000,7.47,35.49
1723772700000,5.66,35.48
1723773600000,5.85,35.46
1723774500000,9.56,35.45
1723775400000,5.21,35.46
1723776300000,5.72,35.52
1723777200000,8.06,35.52
1723778100000,5.97,35.52
1723779000000,5.96,35.51
1723779900000,5.71,35.51
1723780800000,5.08,35.46
1723781700000,4.91,35.47
1723782600000,5.33,35.46
1723783500000,5.97,35.49
1723784400000,5.59,35.49
1723785300000,6.53,35.48
1723786200000,5.65,35.48
1723787100000,5.66,35.49
1723788000000,6.77,35.5
1723788900000,5.41,35.49
1723789800000,5.34,35.5
1723790700000,6.09,35.49
1723791600000,5.28,35.49
1723792500000,5.09,35.49
1723793400000,5.23,35.49
1723794300000,6.96,35.49
1723795200000,6.74,35.51
1723796100000,6.9,35.5
1723797000000,6.47,35.5
1723797900000,6.09,35.5
1723798800000,6.09,35.5
1723799700000,4.96,35.49
1723800600000,5.09,35.51
1723801500000,5.21,35.49
1723802400000,25.93,35.54
1723803300000,5.02,35.54
1723804200000,6.48,35.56
1723805100000,5.59,35.56
1723806000000,5.22,35.56
1723806900000,4.01,35.49
1723807800000,3.96,35.47
1723808700000,53.36,35.48
1723809600000,57.09,22.23
1723810500000,6.14,22.31
1723811400000,13.35,22.95
1723812300000,4.26,23.04
1723813200000,4.7,23.22
1723814100000,9.24,23.46
1723815000000,4.46,23.47
1723815900000,7.72,23.59
1723816800000,26.27,26.19
1723817700000,4.27,26.19
1723818600000,4.21,26.2
1723819500000,5.03,26.26
1723820400000,21.38,26.59
1723821300000,4.08,26.63
1723822200000,4.02,26.68
1723823100000,3.9,26.66
1723824000000,4.14,26.7
1723824900000,4.45,26.78
1723825800000,4.51,26.8
1723826700000,4.27,26.81
1723827600000,4.39,26.87
1723828500000,4.14,26.88
1723829400000,4.08,26.95
1723830300000,4.14,26.93
1723831200000,6.97,26.94
1723832100000,4.4,26.89
1723833000000,4.76,26.9
1723833900000,4.08,26.9
1723834800000,4.02,26.9
1723835700000,4.08,26.9
1723836600000,4.21,26.92
1723837500000,3.96,26.92
1723838400000,4.32,26.92
1723839300000,3.76,26.93
1723840200000,9.17,27.01
1723841100000,3.96,27.02
1723842000000,4.08,27.04
1723842900000,4.53,27.01
1723843800000,4.33,27.01
1723844700000,4.08,27.02
1723845600000,8.41,27.04
1723846500000,4.14,27.04
1723847400000,4.4,27.04
1723848300000,4.08,27.04
1723849200000,4.21,27.05
1723850100000,3.95,27.04
1723851000000,4.26,27.05
1723851900000,4.08,27.05
1723852800000,4.96,27.06
1723853700000,4.21,27.06
1723854600000,4.07,27.07
1723855500000,4.27,27.13
1723856400000,3.76,27.12
1723857300000,7.04,27.16
1723858200000,4.33,27.17
1723859100000,4.34,27.2
