date,cpu,memory
1723219200000,5.91,36.06
1723220100000,5.03,36.07
1723221000000,4.78,36.07
1723221900000,4.78,36.06
1723222800000,5.15,36.05
1723223700000,4.84,36.04
1723224600000,4.47,36.07
1723225500000,4.77,36.06
1723226400000,8.74,36.06
1723227300000,5.73,36.06
1723228200000,4.84,36.06
1723229100000,4.84,36.07
1723230000000,7.23,36.07
1723230900000,4.71,36.08
1723231800000,7.87,36.09
1723232700000,5.14,36.08
1723233600000,4.78,36.07
1723234500000,4.97,36.08
1723235400000,7.79,36.27
1723236300000,4.65,36.1
1723237200000,4.72,36.11
1723238100000,4.97,36.11
1723239000000,6.93,36.11
1723239900000,5.02,36.11
1723240800000,8.48,36.1
1723241700000,4.79,36.09
1723242600000,4.97,36.11
1723243500000,4.97,36.11
1723244400000,4.84,36.11
1723245300000,4.91,36.1
1723246200000,4.77,36.14
1723247100000,4.78,36.12
1723248000000,4.97,36.14
1723248900000,4.84,35.98
1723249800000,4.84,35.95
1723250700000,5.09,35.95
1723251600000,4.78,35.95
1723252500000,4.97,35.95
1723253400000,4.78,35.95
1723254300000,4.91,35.95
1723255200000,4.9,35.94
1723256100000,4.84,35.96
1723257000000,4.78,35.98
1723257900000,4.71,35.98
1723258800000,4.78,35.98
1723259700000,5.03,35.99
1723260600000,4.91,35.98
1723261500000,4.97,35.98
1723262400000,5.08,35.98
1723263300000,4.78,35.97
1723264200000,4.97,35.97
1723265100000,4.84,36.0
1723266000000,4.84,36.01
1723266900000,4.97,35.97
1723267800000,4.96,35.98
1723268700000,5.16,35.98
1723269600000,7.51,35.99
1723270500000,4.78,35.99
1723271400000,4.89,36.01
1723272300000,4.71,36.01
1723273200000,4.85,36.02
1723274100000,5.1,35.98
1723275000000,4.77,35.98
1723275900000,5.03,35.98
1723276800000,8.26,36.02
1723277700000,4.89,36.02
1723278600000,5.03,36.04
1723279500000,4.84,36.04
1723280400000,5.03,36.06
1723281300000,5.03,36.05
1723282200000,5.03,36.06
1723283100000,4.78,36.05
1723284000000,4.72,36.03
1723284900000,4.78,36.02
1723285800000,4.79,36.02
1723286700000,4.78,36.02
1723287600000,5.03,36.02
1723288500000,4.83,36.03
1723289400000,4.97,36.03
1723290300000,5.1,36.03
1723291200000,4.96,36.03
1723292100000,4.91,36.02
1723293000000,4.9,36.02
1723293900000,4.9,36.01
1723294800000,4.89,36.05
1723295700000,4.84,36.06
1723296600000,4.84,36.06
1723297500000,4.77,36.06
1723298400000,4.85,36.06
1723299300000,4.83,36.04
1723300200000,4.92,36.05
1723301100000,4.72,36.05
1723302000000,4.77,36.04
1723302900000,6.22,36.05
1723303800000,4.72,36.05
1723304700000,4.84,36.05
1723305600000,4.85,36.06
1723306500000,4.84,36.05
1723307400000,4.59,36.05
1723308300000,4.71,36.05
1723309200000,4.78,36.05
1723310100000,4.97,36.05
1723311000000,4.97,36.08
1723311900000,4.78,36.08
1723312800000,10.44,36.08
1723313700000,4.96,36.08
1723314600000,5.09,36.08
1723315500000,4.85,36.08
1723316400000,4.6,36.09
1723317300000,4.72,36.09
1723318200000,7.48,36.1
1723319100000,4.84,36.09
1723320000000,6.86,36.09
1723320900000,4.9,36.09
1723321800000,8.31,36.25
1723322700000,4.84,36.09
1723323600000,4.64,36.09
1723324500000,4.97,36.1
1723325400000,4.78,36.1
1723326300000,4.9,36.09
1723327200000,9.62,36.1
1723328100000,4.96,36.09
1723329000000,4.97,36.09
1723329900000,4.78,36.09
1723330800000,4.78,36.09
1723331700000,4.97,36.12
1723332600000,5.47,36.12
1723333500000,5.03,36.12
1723334400000,4.9,36.11
1723335300000,4.96,36.11
1723336200000,5.03,36.12
1723337100000,4.77,36.12
1723338000000,4.9,36.12
1723338900000,4.85,36.15
1723339800000,4.9,36.12
1723340700000,4.77,36.15
1723341600000,4.78,36.12
1723342500000,5.03,36.11
1723343400000,4.72,36.11
1723344300000,4.96,36.11
