date,cpu,memory
1723219200000,2.26,26.79
1723220100000,2.17,26.8
1723221000000,2.16,26.8
1723221900000,2.29,26.8
1723222800000,3.77,26.81
1723223700000,2.23,26.8
1723224600000,2.01,26.81
1723225500000,2.1,26.8
1723226400000,2.13,26.8
1723227300000,2.26,26.81
1723228200000,2.2,26.82
1723229100000,2.29,26.82
1723230000000,2.23,26.83
1723230900000,2.26,26.85
1723231800000,3.23,26.84
1723232700000,2.07,26.84
1723233600000,2.07,26.84
1723234500000,2.01,26.84
1723235400000,3.98,26.9
1723236300000,1.98,26.84
1723237200000,2.1,26.85
1723238100000,2.13,26.88
1723239000000,2.04,26.86
1723239900000,2.1,26.84
1723240800000,5.5,26.85
1723241700000,1.91,26.84
1723242600000,1.91,26.85
1723243500000,2.04,26.86
1723244400000,2.01,26.85
1723245300000,2.01,26.85
1723246200000,2.1,26.85
1723247100000,2.01,26.83
1723248000000,2.16,26.82
1723248900000,2.07,26.82
1723249800000,2.01,26.82
1723250700000,2.01,26.82
1723251600000,2.07,26.82
1723252500000,2.13,26.82
1723253400000,2.1,26.82
1723254300000,2.35,26.82
1723255200000,2.07,26.83
1723256100000,2.1,26.82
1723257000000,2.04,26.84
1723257900000,2.1,26.85
1723258800000,2.17,26.85
1723259700000,2.22,26.84
1723260600000,2.1,26.85
1723261500000,2.04,26.85
1723262400000,2.13,26.84
1723263300000,2.19,26.84
1723264200000,2.16,26.84
1723265100000,2.23,26.85
1723266000000,2.07,26.85
1723266900000,2.04,26.87
1723267800000,2.14,26.86
1723268700000,2.01,26.85
1723269600000,2.13,26.85
1723270500000,2.23,26.86
1723271400000,2.22,26.85
1723272300000,2.2,26.86
1723273200000,2.01,26.86
1723274100000,2.07,26.85
1723275000000,2.04,26.87
1723275900000,2.11,26.86
1723276800000,2.19,26.87
1723277700000,2.13,26.85
1723278600000,2.1,26.87
1723279500000,2.0,26.87
1723280400000,2.01,26.87
1723281300000,2.51,26.87
1723282200000,2.45,26.87
1723283100000,2.32,26.87
1723284000000,2.32,26.88
1723284900000,2.23,26.88
1723285800000,2.01,26.87
1723286700000,2.07,26.89
1723287600000,2.1,26.89
1723288500000,2.01,26.88
1723289400000,2.04,26.89
1723290300000,2.07,26.87
1723291200000,1.97,26.87
1723292100000,2.13,26.88
1723293000000,2.04,26.89
1723293900000,2.07,26.87
1723294800000,2.04,26.89
1723295700000,2.04,26.88
1723296600000,2.1,26.89
1723297500000,2.07,26.88
1723298400000,2.2,26.9
1723299300000,1.91,26.91
1723300200000,2.07,26.89
1723301100000,2.16,26.91
1723302000000,1.91,26.91
1723302900000,2.07,26.91
1723303800000,2.04,26.91
1723304700000,2.04,26.91
1723305600000,1.91,26.91
1723306500000,1.98,26.91
1723307400000,2.07,26.91
1723308300000,2.19,26.91
1723309200000,2.04,27.39
1723310100000,2.1,27.41
1723311000000,2.04,27.42
1723311900000,2.04,27.41
1723312800000,3.04,27.45
1723313700000,2.04,27.48
1723314600000,2.13,27.54
1723315500000,2.14,27.55
1723316400000,2.32,27.54
1723317300000,2.04,27.53
1723318200000,2.73,27.53
1723319100000,2.07,27.53
1723320000000,2.1,27.53
1723320900000,2.01,27.56
1723321800000,4.85,27.61
1723322700000,2.1,27.56
1723323600000,2.04,27.57
1723324500000,2.04,27.58
1723325400000,2.04,27.55
1723326300000,2.07,27.56
1723327200000,4.26,27.57
1723328100000,2.01,27.58
1723329000000,2.16,27.58
1723329900000,2.1,27.59
1723330800000,2.13,27.59
1723331700000,2.01,27.6
1723332600000,2.07,27.59
1723333500000,2.07,27.58
1723334400000,2.13,27.57
1723335300000,2.1,27.56
1723336200000,1.97,27.56
1723337100000,2.19,27.57
1723338000000,2.1,27.55
1723338900000,2.07,27.54
1723339800000,2.07,27.55
1723340700000,2.1,27.56
1723341600000,2.01,27.55
1723342500000,2.07,27.57
1723343400000,2.01,27.58
1723344300000,2.07,27.58
1723345200000,2.1,27.59
