date,cpu,memory
1723219200000,2.32,55.13
1723220100000,4.39,55.03
1723221000000,2.01,55.13
1723221900000,3.94,55.05
1723222800000,11.07,55.18
1723223700000,3.95,55.09
1723224600000,3.38,55.17
1723225500000,4.32,54.96
1723226400000,5.91,55.06
1723227300000,4.7,54.98
1723228200000,3.89,55.07
1723229100000,5.38,55.05
1723230000000,3.39,55.04
1723230900000,3.26,54.86
1723231800000,1.57,54.92
1723232700000,1.82,54.92
1723233600000,1.76,54.93
1723234500000,1.82,54.93
1723235400000,9.59,55.09
1723236300000,2.07,55.11
1723237200000,3.26,55.1
1723238100000,3.32,55.04
1723239000000,1.69,55.03
1723239900000,1.76,55.04
1723240800000,1.69,55.15
1723241700000,1.82,55.03
1723242600000,2.57,55.05
1723243500000,3.76,55.05
1723244400000,3.32,55.0
1723245300000,1.56,55.01
1723246200000,1.69,55.03
1723247100000,1.63,55.13
1723248000000,1.88,55.15
1723248900000,4.08,55.15
1723249800000,3.26,55.08
1723250700000,1.51,55.1
1723251600000,1.32,55.1
1723252500000,1.94,55.18
1723253400000,3.39,55.19
1723254300000,3.2,55.12
1723255200000,1.5,55.14
1723256100000,1.69,55.17
1723257000000,1.25,55.32
1723257900000,3.76,55.33
1723258800000,3.76,55.21
1723259700000,1.38,55.23
1723260600000,1.51,55.24
1723261500000,2.19,55.36
1723262400000,3.38,55.28
1723263300000,1.88,55.22
1723264200000,1.63,55.23
1723265100000,2.32,55.34
1723266000000,3.95,55.25
1723266900000,2.5,55.27
1723267800000,3.44,55.28
1723268700000,4.14,55.4
1723269600000,5.52,55.33
1723270500000,1.44,55.34
1723271400000,2.01,55.45
1723272300000,3.76,55.46
1723273200000,1.44,55.38
1723274100000,1.64,55.37
1723275000000,3.57,55.46
1723275900000,3.33,55.39
1723276800000,1.57,55.4
1723277700000,3.5,55.51
1723278600000,3.82,55.44
1723279500000,1.51,55.45
1723280400000,3.82,55.56
1723281300000,3.57,55.48
1723282200000,1.75,55.58
1723283100000,3.63,55.6
1723284000000,3.64,55.52
1723284900000,1.82,55.61
1723285800000,3.38,55.6
1723286700000,1.81,55.51
1723287600000,1.88,55.63
1723288500000,4.13,55.54
1723289400000,1.82,55.56
1723290300000,3.82,55.67
1723291200000,1.88,55.62
1723292100000,1.88,55.74
1723293000000,3.89,55.65
1723293900000,2.25,55.65
1723294800000,4.2,55.75
1723295700000,3.82,55.67
1723296600000,2.57,55.75
1723297500000,3.9,55.65
1723298400000,1.56,55.76
1723299300000,3.95,55.75
1723300200000,1.51,55.68
1723301100000,4.08,55.77
1723302000000,1.76,55.69
1723302900000,3.45,55.8
1723303800000,3.26,55.73
1723304700000,4.07,55.85
1723305600000,3.64,55.76
1723306500000,4.07,55.85
1723307400000,4.26,55.76
1723308300000,2.32,55.84
1723309200000,4.06,55.76
1723310100000,2.13,55.88
1723311000000,3.7,55.8
1723311900000,4.58,55.91
1723312800000,4.51,55.9
1723313700000,3.76,56.0
1723314600000,3.95,55.93
1723315500000,4.07,56.01
1723316400000,1.88,55.91
1723317300000,4.14,56.0
1723318200000,1.38,56.06
1723319100000,3.07,55.9
1723320000000,2.2,55.89
1723320900000,1.44,55.9
1723321800000,3.2,55.97
1723322700000,1.38,55.99
1723323600000,1.32,55.99
1723324500000,1.57,56.1
1723325400000,3.57,56.11
1723326300000,5.15,56.1
1723327200000,3.01,56.17
1723328100000,1.32,56.18
1723329000000,1.32,56.19
1723329900000,1.38,56.18
1723330800000,1.38,56.08
1723331700000,1.76,56.11
1723332600000,3.45,56.09
1723333500000,2.83,56.06
1723334400000,1.32,56.07
1723335300000,1.56,56.09
1723336200000,1.2,56.18
1723337100000,2.01,56.19
1723338000000,3.63,56.12
