date,cpu,memory
1723219200000,6.27,40.11
1723220100000,10.2,40.12
1723221000000,11.31,40.17
1723221900000,8.94,40.13
1723222800000,10.8,40.27
1723223700000,14.48,40.28
1723224600000,14.59,40.16
1723225500000,10.07,40.28
1723226400000,20.98,40.33
1723227300000,10.57,40.21
1723228200000,10.21,40.35
1723229100000,6.17,40.57
1723230000000,11.06,40.45
1723230900000,6.92,40.47
1723231800000,8.96,40.45
1723232700000,8.8,40.42
1723233600000,4.77,40.42
1723234500000,4.28,40.39
1723235400000,9.94,40.86
1723236300000,8.28,39.98
1723237200000,5.02,39.9
1723238100000,4.27,39.9
1723239000000,5.27,40.04
1723239900000,8.58,40.02
1723240800000,22.17,40.04
1723241700000,6.8,40.08
1723242600000,5.15,40.23
1723243500000,7.42,40.23
1723244400000,7.56,40.14
1723245300000,5.65,40.24
1723246200000,4.01,40.18
1723247100000,7.93,40.09
1723248000000,3.89,40.02
1723248900000,4.51,40.05
1723249800000,8.46,40.23
1723250700000,10.19,40.09
1723251600000,4.28,40.12
1723252500000,5.4,40.25
1723253400000,8.82,40.15
1723254300000,6.0,40.22
1723255200000,7.78,40.37
1723256100000,10.28,40.35
1723257000000,4.9,40.25
1723257900000,5.54,40.39
1723258800000,8.78,40.35
1723259700000,4.78,40.3
1723260600000,6.15,40.48
1723261500000,7.57,40.39
1723262400000,4.92,40.38
1723263300000,7.17,40.5
1723264200000,8.06,40.4
1723265100000,5.4,40.53
1723266000000,11.1,40.56
1723266900000,6.42,40.43
1723267800000,6.05,40.56
1723268700000,10.05,40.46
1723269600000,5.78,40.45
1723270500000,11.55,40.47
1723271400000,5.02,40.42
1723272300000,5.65,40.44
1723273200000,10.66,40.09
1723274100000,5.01,40.21
1723275000000,10.37,40.23
1723275900000,6.28,40.09
1723276800000,9.85,40.21
1723277700000,6.15,40.09
1723278600000,11.46,40.23
1723279500000,8.82,40.1
1723280400000,7.67,40.25
1723281300000,11.66,40.12
1723282200000,6.15,40.32
1723283100000,9.57,40.24
1723284000000,6.91,40.39
1723284900000,9.43,40.25
1723285800000,5.92,40.4
1723286700000,9.83,40.38
1723287600000,5.92,40.4
1723288500000,9.42,40.43
1723289400000,6.53,40.47
1723290300000,8.42,40.37
1723291200000,9.56,40.19
1723292100000,11.1,40.02
1723293000000,10.13,40.16
1723293900000,6.18,40.04
1723294800000,10.44,40.19
1723295700000,6.15,40.09
1723296600000,10.84,40.24
1723297500000,6.28,41.12
1723298400000,10.3,41.1
1723299300000,8.58,41.08
1723300200000,9.05,41.0
1723301100000,10.17,41.13
1723302000000,5.65,41.1
1723302900000,11.05,41.11
1723303800000,11.18,41.13
1723304700000,6.29,41.03
1723305600000,9.44,41.17
1723306500000,5.81,41.26
1723307400000,10.18,41.22
1723308300000,8.42,40.4
1723309200000,5.53,40.41
1723310100000,9.55,40.28
1723311000000,10.45,40.4
1723311900000,5.66,40.39
1723312800000,28.43,40.29
1723313700000,11.29,40.43
1723314600000,5.65,40.46
1723315500000,9.36,40.3
1723316400000,9.06,40.46
1723317300000,10.43,40.3
1723318200000,8.43,40.28
1723319100000,6.66,40.29
1723320000000,4.4,40.3
1723320900000,4.91,40.43
1723321800000,19.61,41.63
1723322700000,8.18,41.25
1723323600000,4.02,41.03
1723324500000,4.77,41.02
1723325400000,5.03,41.16
1723326300000,8.78,41.08
1723327200000,14.96,41.32
1723328100000,5.76,41.31
1723329000000,5.64,41.41
1723329900000,9.79,41.29
1723330800000,4.15,41.17
1723331700000,4.4,41.39
1723332600000,7.28,41.43
1723333500000,8.55,41.3
1723334400000,4.4,41.31
1723335300000,5.02,41.31
1723336200000,10.17,41.31
1723337100000,6.01,41.22
1723338000000,4.64,41.37
1723338900000,8.05,41.39
1723339800000,9.15,41.29
1723340700000,5.03,41.33
1723341600000,7.04,41.47
1723342500000,10.31,41.34
1723343400000,5.78,41.38
1723344300000,8.55,41.52
1723345200000,9.8,41.42
1723346100000,10.82,41.41
1723347000000,9.02,40.26
1723347900000,9.96,40.09
1723348800000,5.4,40.23
1723349700000,14.58,40.23
1723350600000,5.28,40.12
1723351500000,5.77,40.25
1723352400000,10.08,40.23
1723353300000,5.04,40.1
1723354200000,9.95,40.23
1723355100000,9.83,40.11
1723356000000,5.03,40.25
1723356900000,9.69,40.25
1723357800000,4.91,40.14
1723358700000,9.31,40.28
1723359600000,9.06,40.13
1723360500000,8.79,40.26
1723361400000,9.02,40.14
1723362300000,5.39,40.32
1723363200000,11.68,40.32
1723364100000,5.14,40.21
1723365000000,9.9,40.32
1723365900000,5.41,40.2
1723366800000,11.25,40.32
1723367700000,13.73,40.19
1723368600000,11.97,40.33
1723369500000,14.09,40.21
1723370400000,9.2,40.32
1723371300000,13.3,40.19
1723372200000,9.16,40.28
1723373100000,13.0,40.18
1723374000000,7.68,40.35
1723374900000,10.33,40.24
1723375800000,8.3,40.36
1723376700000,7.3,40.22
1723377600000,8.05,40.32
1723378500000,9.84,40.2
1723379400000,11.06,40.34
1723380300000,9.03,40.32
1723381200000,9.77,40.34
