date,cpu,memory
1723219200000,4.02,39.63
1723220100000,6.54,39.78
1723221000000,5.89,39.65
1723221900000,7.02,39.83
1723222800000,3.39,39.71
1723223700000,7.54,39.84
1723224600000,3.39,39.74
1723225500000,8.26,39.59
1723226400000,4.4,39.44
1723227300000,7.78,39.58
1723228200000,4.02,39.65
1723229100000,7.05,40.07
1723230000000,4.38,40.23
1723230900000,7.94,40.18
1723231800000,10.44,40.09
1723232700000,7.27,39.98
1723233600000,3.38,40.0
1723234500000,3.64,40.01
1723235400000,11.7,40.09
1723236300000,3.01,39.97
1723237200000,4.64,39.99
1723238100000,7.41,39.79
1723239000000,3.77,39.72
1723239900000,3.15,39.74
1723240800000,3.51,39.82
1723241700000,4.25,39.98
1723242600000,7.43,39.96
1723243500000,5.91,39.88
1723244400000,4.26,39.82
1723245300000,3.27,39.83
1723246200000,4.15,40.01
1723247100000,7.76,39.97
1723248000000,8.53,39.93
1723248900000,3.27,39.94
1723249800000,3.51,40.1
1723250700000,7.54,40.1
1723251600000,10.54,39.99
1723252500000,8.45,40.02
1723253400000,3.77,40.16
1723254300000,4.77,39.58
1723255200000,7.02,39.44
1723256100000,4.4,39.43
1723257000000,4.13,39.56
1723257900000,5.89,39.61
1723258800000,10.78,39.5
1723259700000,3.64,39.53
1723260600000,3.89,39.65
1723261500000,6.39,39.64
1723262400000,3.52,39.53
1723263300000,4.14,39.52
1723264200000,4.39,39.67
1723265100000,8.41,39.55
1723266000000,3.77,39.55
1723266900000,4.27,39.67
1723267800000,6.52,39.66
1723268700000,3.51,39.55
1723269600000,3.38,39.7
1723270500000,7.65,39.73
1723271400000,5.26,39.6
1723272300000,4.28,39.97
1723273200000,7.17,40.06
1723274100000,6.68,39.93
1723275000000,3.64,40.05
1723275900000,9.41,40.07
1723276800000,4.26,39.95
1723277700000,4.15,40.05
1723278600000,8.04,40.04
1723279500000,3.89,39.97
1723280400000,7.93,40.14
1723281300000,7.92,40.02
1723282200000,4.15,39.72
1723283100000,6.91,39.91
1723284000000,11.94,39.77
1723284900000,4.39,39.86
1723285800000,7.95,39.94
1723286700000,4.53,39.76
1723287600000,5.01,39.88
1723288500000,7.67,39.81
1723289400000,3.64,39.98
1723290300000,8.5,39.98
1723291200000,3.65,39.87
1723292100000,7.02,40.01
1723293000000,3.38,39.91
1723293900000,7.92,40.08
1723294800000,12.66,39.97
1723295700000,4.64,40.12
1723296600000,6.88,39.97
1723297500000,3.89,39.91
1723298400000,8.84,39.93
1723299300000,4.39,39.88
1723300200000,8.16,39.86
1723301100000,3.64,39.73
1723302000000,8.07,39.86
1723302900000,4.65,39.7
1723303800000,7.79,39.88
1723304700000,4.5,39.72
1723305600000,7.67,39.87
1723306500000,8.15,39.74
1723307400000,7.8,39.88
1723308300000,4.27,39.77
1723309200000,10.01,39.88
1723310100000,3.25,39.78
1723311000000,8.28,39.9
1723311900000,3.63,39.81
1723312800000,7.4,39.99
1723313700000,3.53,39.9
1723314600000,8.28,39.94
1723315500000,5.0,39.95
1723316400000,6.52,39.93
1723317300000,6.54,39.71
1723318200000,7.41,39.79
1723319100000,2.64,39.8
1723320000000,3.64,39.79
1723320900000,2.76,39.82
1723321800000,10.55,40.53
1723322700000,6.14,39.97
1723323600000,10.2,39.91
1723324500000,5.91,39.91
1723325400000,3.14,39.89
1723326300000,3.02,39.9
1723327200000,6.05,39.98
1723328100000,6.04,39.83
1723329000000,2.26,39.84
1723329900000,2.52,39.88
1723330800000,3.77,40.05
1723331700000,6.28,40.02
1723332600000,5.65,39.91
1723333500000,2.63,40.0
1723334400000,2.89,40.0
1723335300000,3.39,40.16
1723336200000,7.3,40.06
1723337100000,3.76,40.04
1723338000000,2.9,39.98
1723338900000,4.03,40.21
1723339800000,7.27,40.11
1723340700000,3.89,40.12
1723341600000,3.01,40.14
1723342500000,3.89,40.32
1723343400000,6.17,40.28
1723344300000,2.77,40.18
1723345200000,3.64,40.21
1723346100000,3.39,40.37
1723347000000,6.42,40.26
1723347900000,2.64,40.29
1723348800000,3.14,40.41
1723349700000,6.64,40.43
1723350600000,5.79,40.32
1723351500000,3.38,40.34
1723352400000,4.02,40.48
1723353300000,7.68,40.4
1723354200000,3.15,40.45
1723355100000,4.4,40.46
1723356000000,6.14,39.93
1723356900000,3.26,39.88
1723357800000,3.65,40.05
1723358700000,6.9,39.99
1723359600000,3.65,39.91
1723360500000,3.26,40.09
1723361400000,5.9,40.05
1723362300000,3.14,39.95
1723363200000,4.01,40.13
1723364100000,8.39,40.0
1723365000000,2.77,40.04
1723365900000,6.31,40.19
1723366800000,11.86,40.07
1723367700000,5.53,40.23
1723368600000,7.03,40.26
1723369500000,3.27,40.13
1723370400000,3.64,40.3
1723371300000,6.64,40.19
1723372200000,3.13,40.19
1723373100000,6.92,40.05
1723374000000,2.77,39.91
1723374900000,3.63,40.06
1723375800000,7.13,39.91
1723376700000,3.77,40.13
1723377600000,7.54,40.11
1723378500000,3.14,40.01
