date,cpu,memory
1723219200000,16.55,43.03
1723220100000,17.05,43.19
1723221000000,10.57,43.19
1723221900000,16.73,43.06
1723222800000,15.03,43.15
1723223700000,9.85,43.19
1723224600000,14.5,43.07
1723225500000,12.57,43.22
1723226400000,16.64,43.26
1723227300000,16.71,43.13
1723228200000,16.61,43.26
1723229100000,10.48,43.25
1723230000000,19.91,43.15
1723230900000,16.12,43.28
1723231800000,13.87,43.38
1723232700000,11.83,43.13
1723233600000,9.06,43.16
1723234500000,8.95,43.2
1723235400000,21.63,43.77
1723236300000,12.87,43.32
1723237200000,9.94,43.33
1723238100000,10.33,43.37
1723239000000,11.84,43.52
1723239900000,14.49,43.49
1723240800000,15.51,43.75
1723241700000,10.98,43.52
1723242600000,11.58,43.68
1723243500000,13.22,43.66
1723244400000,18.93,43.63
1723245300000,9.56,43.65
1723246200000,10.57,43.6
1723247100000,15.19,43.54
1723248000000,9.97,43.53
1723248900000,12.38,43.63
1723249800000,9.81,43.65
1723250700000,13.6,43.57
1723251600000,12.48,43.78
1723252500000,10.94,43.8
1723253400000,14.76,43.74
1723254300000,10.56,43.77
1723255200000,10.22,43.87
1723256100000,12.95,43.91
1723257000000,13.18,43.28
1723257900000,9.09,43.29
1723258800000,12.32,43.31
1723259700000,10.73,43.21
1723260600000,9.46,43.34
1723261500000,13.63,43.36
1723262400000,9.96,43.23
1723263300000,11.85,43.35
1723264200000,13.61,43.22
1723265100000,9.81,43.2
1723266000000,10.43,43.42
1723266900000,14.31,43.27
1723267800000,10.32,43.41
1723268700000,14.5,43.42
1723269600000,9.49,43.28
1723270500000,10.45,43.4
1723271400000,15.25,43.3
1723272300000,10.41,43.44
1723273200000,16.05,43.45
1723274100000,9.31,43.32
1723275000000,11.61,43.45
1723275900000,12.88,43.34
1723276800000,9.96,43.5
1723277700000,15.06,43.38
1723278600000,10.5,43.49
1723279500000,12.01,43.51
1723280400000,10.2,43.42
1723281300000,17.51,43.44
1723282200000,9.57,43.29
1723283100000,15.76,43.59
1723284000000,17.0,43.37
1723284900000,14.97,43.52
1723285800000,10.06,43.48
1723286700000,15.37,43.61
1723287600000,10.55,43.52
1723288500000,13.38,43.63
1723289400000,9.91,43.52
1723290300000,14.21,43.67
1723291200000,12.12,43.68
1723292100000,12.73,43.7
1723293000000,9.2,43.73
1723293900000,16.17,43.73
1723294800000,9.8,43.8
1723295700000,15.48,43.71
1723296600000,12.84,43.84
1723297500000,12.47,43.75
1723298400000,14.61,43.9
1723299300000,10.22,43.75
1723300200000,17.19,43.91
1723301100000,11.46,44.06
1723302000000,15.98,43.95
1723302900000,10.97,43.97
1723303800000,11.73,43.89
1723304700000,15.11,44.04
1723305600000,10.33,44.05
1723306500000,14.86,44.02
1723307400000,14.9,44.11
1723308300000,10.58,44.17
1723309200000,13.09,44.24
1723310100000,12.85,44.26
