date,cpu,memory
1723219200000,7.46,16.31
1723220100000,7.69,16.36
1723221000000,6.34,16.45
1723221900000,7.59,16.39
1723222800000,6.93,16.37
1723223700000,7.3,16.33
1723224600000,6.69,16.33
1723225500000,7.45,16.41
1723226400000,8.78,16.41
1723227300000,11.69,16.47
1723228200000,6.32,16.44
1723229100000,7.2,16.45
1723230000000,6.82,16.37
1723230900000,6.43,16.34
1723231800000,10.85,16.33
1723232700000,7.07,16.32
1723233600000,6.32,16.32
1723234500000,6.41,16.32
1723235400000,13.61,16.19
1723236300000,6.69,16.14
1723237200000,6.94,16.14
1723238100000,7.31,16.13
1723239000000,6.56,16.14
1723239900000,6.69,16.13
1723240800000,20.42,16.16
1723241700000,6.43,16.13
1723242600000,7.06,16.14
1723243500000,6.93,16.23
1723244400000,6.68,16.16
1723245300000,9.37,16.15
1723246200000,15.49,16.15
1723247100000,13.14,16.17
1723248000000,7.05,16.18
1723248900000,6.14,16.17
1723249800000,6.81,16.17
1723250700000,6.19,16.16
1723251600000,6.52,16.17
1723252500000,6.43,16.18
1723253400000,6.43,16.16
1723254300000,6.96,16.17
1723255200000,6.7,16.17
1723256100000,7.05,16.18
1723257000000,6.55,16.17
1723257900000,6.93,16.18
1723258800000,6.91,16.18
1723259700000,6.58,16.17
1723260600000,7.09,16.17
1723261500000,6.69,16.16
1723262400000,7.11,16.17
1723263300000,7.07,16.17
1723264200000,6.81,16.17
1723265100000,7.32,16.17
1723266000000,7.07,16.17
1723266900000,7.33,16.17
1723267800000,7.4,16.18
1723268700000,7.67,16.18
1723269600000,7.58,16.18
1723270500000,6.43,16.23
1723271400000,12.35,16.25
1723272300000,11.61,16.33
1723273200000,15.44,16.34
1723274100000,16.1,16.31
1723275000000,6.72,16.25
1723275900000,6.55,16.2
1723276800000,6.79,16.2
1723277700000,6.53,16.19
1723278600000,11.94,16.28
1723279500000,11.18,16.26
1723280400000,13.1,16.38
1723281300000,9.43,16.4
1723282200000,10.57,16.28
1723283100000,13.67,16.33
1723284000000,14.64,16.39
1723284900000,13.91,16.3
1723285800000,8.69,16.37
1723286700000,6.97,16.28
1723287600000,6.69,16.26
1723288500000,7.04,16.28
1723289400000,10.44,16.28
1723290300000,6.69,16.24
1723291200000,7.18,16.2
1723292100000,6.83,16.19
1723293000000,6.95,16.2
1723293900000,6.92,16.2
1723294800000,6.71,16.2
1723295700000,6.79,16.2
1723296600000,7.46,16.22
1723297500000,6.65,16.23
1723298400000,7.56,16.23
1723299300000,6.69,16.23
1723300200000,6.81,16.22
1723301100000,6.44,16.23
1723302000000,7.18,16.23
1723302900000,6.58,16.24
1723303800000,6.46,16.23
1723304700000,6.67,16.24
1723305600000,8.19,16.23
1723306500000,6.56,16.23
1723307400000,6.58,16.23
1723308300000,6.94,16.25
1723309200000,6.83,16.23
1723310100000,6.92,16.23
1723311000000,7.3,16.24
1723311900000,6.57,16.23
1723312800000,7.17,16.23
1723313700000,6.82,16.31
1723314600000,6.82,16.23
1723315500000,7.28,16.22
1723316400000,7.18,16.26
1723317300000,7.44,16.26
1723318200000,8.44,16.25
1723319100000,7.7,16.25
1723320000000,7.07,16.26
1723320900000,6.93,16.25
1723321800000,12.61,16.3
1723322700000,14.34,16.27
1723323600000,12.6,16.28
1723324500000,6.66,16.27
1723325400000,7.07,16.27
1723326300000,6.93,16.28
1723327200000,17.97,16.29
1723328100000,7.17,16.27
1723329000000,6.55,16.27
1723329900000,6.92,16.37
1723330800000,6.39,16.28
1723331700000,7.81,16.27
1723332600000,6.81,16.28
1723333500000,6.96,16.27
1723334400000,6.79,16.27
1723335300000,6.57,16.27
1723336200000,7.04,16.28
1723337100000,7.81,16.28
1723338000000,8.85,16.29
1723338900000,8.34,16.31
1723339800000,8.43,16.3
1723340700000,7.82,16.3
1723341600000,8.18,16.3
1723342500000,7.83,16.31
1723343400000,8.57,16.3
1723344300000,8.43,16.31
1723345200000,7.95,16.31
1723346100000,7.08,16.32
1723347000000,6.68,16.31
1723347900000,6.94,16.32
1723348800000,7.16,16.31
1723349700000,7.05,16.31
1723350600000,7.44,16.31
1723351500000,8.08,16.31
1723352400000,7.2,16.31
1723353300000,7.17,16.31
1723354200000,6.93,16.33
1723355100000,7.04,16.33
1723356000000,7.2,16.33
1723356900000,6.43,16.34
1723357800000,7.04,16.35
1723358700000,13.99,16.42
1723359600000,7.93,16.41
1723360500000,14.66,16.36
1723361400000,14.97,16.33
1723362300000,6.2,16.33
1723363200000,6.81,16.33
1723364100000,11.37,16.33
1723365000000,7.43,16.33
1723365900000,6.55,16.33
1723366800000,7.29,16.33
1723367700000,6.83,16.33
1723368600000,6.82,16.33
1723369500000,7.79,16.36
1723370400000,6.82,16.33
1723371300000,7.06,16.33
1723372200000,7.4,16.33
1723373100000,7.1,16.33
1723374000000,7.07,16.33
1723374900000,7.54,16.33
1723375800000,7.19,16.33
1723376700000,8.18,16.33
1723377600000,7.47,16.33
1723378500000,7.21,16.33
1723379400000,6.78,16.33
1723380300000,6.57,16.33
1723381200000,6.92,16.32
1723382100000,7.35,16.33
1723383000000,7.17,16.33
1723383900000,7.53,16.33
1723384800000,7.82,16.34
1723385700000,7.18,16.36
1723386600000,7.44,16.36
1723387500000,7.18,16.36
1723388400000,8.23,16.35
1723389300000,8.22,16.36
1723390200000,8.21,16.36
1723391100000,7.19,16.36
1723392000000,7.25,16.37
1723392900000,8.59,16.36
1723393800000,8.41,16.36
1723394700000,7.18,16.36
1723395600000,7.78,16.37
1723396500000,7.91,16.36
1723397400000,7.68,16.38
1723398300000,12.46,16.37
