date,cpu,memory
1723219200000,5.17,24.88
1723220100000,5.16,24.88
1723221000000,4.91,24.88
1723221900000,5.28,24.89
1723222800000,5.04,24.89
1723223700000,5.03,24.89
1723224600000,4.8,24.91
1723225500000,4.66,24.96
1723226400000,5.17,24.9
1723227300000,4.92,24.85
1723228200000,4.65,24.85
1723229100000,4.92,24.85
1723230000000,5.15,24.8
1723230900000,5.42,24.85
1723231800000,7.79,24.85
1723232700000,4.77,24.84
1723233600000,4.66,24.9
1723234500000,4.66,24.92
1723235400000,12.98,25.18
1723236300000,4.65,24.86
1723237200000,4.79,24.85
1723238100000,4.9,24.9
1723239000000,4.91,24.91
1723239900000,4.8,24.88
1723240800000,17.13,24.92
1723241700000,4.66,24.86
1723242600000,5.52,24.93
1723243500000,4.89,24.92
1723244400000,4.91,24.94
1723245300000,5.27,24.92
1723246200000,5.04,24.91
1723247100000,6.2,24.86
1723248000000,5.3,24.86
1723248900000,4.78,24.86
1723249800000,5.78,24.86
1723250700000,5.02,24.85
1723251600000,5.04,24.86
1723252500000,5.16,24.85
1723253400000,4.91,24.86
1723254300000,5.03,24.86
1723255200000,5.03,24.85
1723256100000,4.92,24.86
1723257000000,4.91,24.86
1723257900000,4.53,24.85
1723258800000,5.15,24.85
1723259700000,5.04,24.85
1723260600000,4.67,24.86
1723261500000,4.89,24.85
1723262400000,5.03,24.86
1723263300000,5.02,24.86
1723264200000,4.89,24.86
1723265100000,5.04,24.86
1723266000000,4.92,24.86
1723266900000,5.15,24.86
1723267800000,4.41,24.86
1723268700000,5.02,24.87
1723269600000,4.9,24.86
1723270500000,4.91,24.86
1723271400000,5.28,24.88
1723272300000,4.66,24.87
1723273200000,5.53,24.86
1723274100000,4.78,24.86
1723275000000,5.15,24.87
1723275900000,5.28,24.86
1723276800000,5.03,24.88
1723277700000,5.16,24.86
1723278600000,4.91,24.87
1723279500000,4.66,24.87
1723280400000,5.03,24.93
1723281300000,4.9,24.87
1723282200000,5.42,24.87
1723283100000,4.91,24.92
1723284000000,5.18,24.92
1723284900000,4.91,24.62
1723285800000,4.9,24.62
1723286700000,5.14,24.62
1723287600000,5.04,24.63
1723288500000,5.51,24.62
1723289400000,5.03,24.62
1723290300000,4.54,24.62
1723291200000,4.89,24.62
1723292100000,4.67,24.62
1723293000000,5.03,24.63
1723293900000,5.14,24.62
1723294800000,5.04,24.62
1723295700000,4.77,24.62
1723296600000,4.54,24.62
1723297500000,5.05,24.63
1723298400000,4.79,24.62
1723299300000,4.55,24.62
1723300200000,4.92,24.64
1723301100000,4.78,24.63
1723302000000,5.17,24.62
1723302900000,5.03,24.64
1723303800000,4.91,24.64
1723304700000,5.3,24.64
1723305600000,5.04,24.66
1723306500000,5.03,24.64
1723307400000,5.53,24.66
1723308300000,5.04,24.64
1723309200000,5.17,24.64
1723310100000,5.04,24.69
1723311000000,5.02,24.71
1723311900000,5.16,24.71
1723312800000,4.8,24.71
1723313700000,4.79,24.71
1723314600000,5.29,24.76
1723315500000,5.14,24.76
1723316400000,5.03,24.78
1723317300000,4.79,24.77
1723318200000,12.19,24.8
1723319100000,4.93,24.78
1723320000000,4.78,24.77
1723320900000,5.42,24.77
1723321800000,11.92,24.8
1723322700000,5.04,24.51
1723323600000,5.41,24.52
1723324500000,4.92,24.51
1723325400000,4.89,24.51
1723326300000,5.17,24.49
1723327200000,16.66,24.46
1723328100000,5.17,24.43
1723329000000,5.15,24.44
1723329900000,5.39,24.47
1723330800000,5.17,24.42
1723331700000,4.9,24.41
1723332600000,5.16,24.43
1723333500000,5.17,24.42
1723334400000,4.67,24.44
1723335300000,5.04,24.43
1723336200000,4.78,24.45
1723337100000,4.91,24.5
1723338000000,5.04,24.42
1723338900000,4.77,24.51
1723339800000,4.66,24.47
1723340700000,5.67,24.49
1723341600000,5.29,24.51
1723342500000,5.17,24.49
1723343400000,4.91,24.51
1723344300000,5.41,24.49
1723345200000,5.16,24.49
1723346100000,4.66,24.51
1723347000000,5.17,24.51
1723347900000,5.41,24.48
1723348800000,4.9,24.49
1723349700000,5.54,24.52
1723350600000,4.9,24.49
1723351500000,4.78,24.5
1723352400000,4.89,24.47
1723353300000,4.91,24.47
1723354200000,5.04,24.45
1723355100000,5.15,24.45
1723356000000,4.91,24.49
1723356900000,5.04,24.5
1723357800000,5.29,24.43
1723358700000,5.4,24.42
1723359600000,5.03,24.49
1723360500000,5.15,24.47
1723361400000,5.03,24.47
1723362300000,5.18,24.47
1723363200000,5.03,24.47
1723364100000,5.29,24.47
1723365000000,5.03,24.47
1723365900000,5.02,24.47
1723366800000,5.4,24.48
1723367700000,5.79,24.47
1723368600000,5.41,24.47
1723369500000,5.41,24.47
1723370400000,5.29,24.48
1723371300000,5.29,24.47
1723372200000,5.29,24.48
1723373100000,5.28,24.48
1723374000000,5.16,24.56
1723374900000,5.05,24.56
1723375800000,4.78,24.54
1723376700000,5.43,24.49
1723377600000,5.77,24.49
1723378500000,5.53,24.49
1723379400000,5.3,24.49
1723380300000,4.91,24.48
1723381200000,5.02,24.48
1723382100000,5.02,24.47
