date,cpu,memory
1723219200000,6.29,29.84
1723220100000,6.15,29.88
1723221000000,6.65,29.84
1723221900000,5.66,29.84
1723222800000,6.77,30.23
1723223700000,5.77,29.97
1723224600000,5.67,30.05
1723225500000,5.26,30.17
1723226400000,11.71,30.3
1723227300000,5.54,30.27
1723228200000,5.54,30.17
1723229100000,5.15,30.1
1723230000000,5.17,30.12
1723230900000,5.53,30.12
1723231800000,13.98,30.11
1723232700000,5.54,30.13
1723233600000,5.3,30.14
1723234500000,6.53,30.07
1723235400000,14.95,30.23
1723236300000,5.15,30.1
1723237200000,4.79,30.06
1723238100000,5.53,30.05
1723239000000,5.42,30.04
1723239900000,5.54,30.03
1723240800000,17.88,30.14
1723241700000,5.78,30.09
1723242600000,5.41,30.1
1723243500000,5.28,30.06
1723244400000,5.53,30.06
1723245300000,5.03,30.03
1723246200000,5.4,30.03
1723247100000,5.66,30.03
1723248000000,5.41,30.09
1723248900000,5.42,30.1
1723249800000,5.29,30.05
1723250700000,5.27,30.03
1723251600000,5.52,30.02
1723252500000,5.53,29.99
1723253400000,5.29,29.99
1723254300000,5.78,29.98
1723255200000,5.91,30.06
1723256100000,5.64,29.98
1723257000000,5.79,29.98
1723257900000,5.78,29.98
1723258800000,5.68,29.99
1723259700000,5.42,29.99
1723260600000,5.54,29.99
1723261500000,5.29,29.99
1723262400000,6.05,29.99
1723263300000,5.92,29.99
1723264200000,5.53,29.99
1723265100000,5.77,30.0
1723266000000,5.92,30.0
1723266900000,5.79,30.07
1723267800000,5.79,29.98
1723268700000,5.53,29.98
1723269600000,4.9,30.01
1723270500000,5.16,30.03
1723271400000,5.43,29.99
1723272300000,4.91,30.01
1723273200000,5.52,29.96
1723274100000,5.15,29.96
1723275000000,5.78,29.96
1723275900000,6.16,29.96
1723276800000,5.52,29.96
1723277700000,5.39,30.02
1723278600000,5.54,30.05
1723279500000,6.31,30.05
1723280400000,5.02,30.05
1723281300000,5.28,30.09
1723282200000,5.65,29.71
1723283100000,5.9,29.71
1723284000000,5.65,29.7
1723284900000,5.17,29.69
1723285800000,5.9,29.69
1723286700000,5.92,29.75
1723287600000,5.65,29.76
1723288500000,5.77,29.74
1723289400000,5.78,29.75
1723290300000,5.53,29.75
1723291200000,6.39,29.73
1723292100000,5.54,29.74
1723293000000,5.52,29.67
1723293900000,5.66,29.67
1723294800000,5.28,29.67
1723295700000,5.53,29.68
1723296600000,5.52,29.69
1723297500000,5.52,29.69
1723298400000,5.27,29.69
1723299300000,5.43,29.69
1723300200000,5.53,29.69
1723301100000,5.56,29.7
1723302000000,5.92,29.71
1723302900000,5.16,29.71
1723303800000,5.66,29.71
1723304700000,5.67,29.71
1723305600000,5.54,29.83
1723306500000,5.8,29.87
1723307400000,5.92,29.84
1723308300000,5.79,29.84
1723309200000,5.54,29.86
1723310100000,5.67,29.94
1723311000000,5.78,30.03
1723311900000,6.17,30.13
1723312800000,12.08,30.22
1723313700000,5.67,30.13
1723314600000,5.28,30.03
1723315500000,5.41,29.96
1723316400000,5.79,29.93
1723317300000,5.92,29.92
1723318200000,11.33,29.93
1723319100000,5.8,29.93
1723320000000,5.66,29.93
1723320900000,5.41,29.92
1723321800000,14.08,30.02
1723322700000,5.3,29.95
1723323600000,5.65,29.94
1723324500000,5.43,29.94
1723325400000,5.53,29.93
1723326300000,5.16,29.93
1723327200000,19.63,29.93
1723328100000,5.54,29.99
1723329000000,4.91,29.91
1723329900000,4.66,29.86
1723330800000,5.64,29.84
1723331700000,5.66,29.84
1723332600000,5.15,29.89
1723333500000,5.42,29.91
1723334400000,5.14,29.91
1723335300000,4.78,29.94
1723336200000,5.03,29.88
1723337100000,5.41,29.86
1723338000000,5.4,29.86
1723338900000,5.16,29.86
1723339800000,5.43,29.84
1723340700000,5.65,29.84
1723341600000,5.66,29.85
1723342500000,5.28,29.86
1723343400000,5.04,29.86
1723344300000,4.91,29.84
1723345200000,5.03,29.89
1723346100000,6.04,29.89
1723347000000,5.78,29.85
1723347900000,5.78,29.84
1723348800000,5.41,29.88
1723349700000,5.17,29.84
1723350600000,4.63,29.85
1723351500000,5.42,29.85
1723352400000,4.91,29.85
1723353300000,5.29,29.84
1723354200000,5.54,29.85
1723355100000,5.29,29.84
1723356000000,5.54,29.86
1723356900000,5.27,29.84
1723357800000,5.04,29.89
1723358700000,5.17,29.88
1723359600000,5.52,29.88
1723360500000,5.17,29.88
1723361400000,5.29,29.88
1723362300000,5.56,29.94
1723363200000,5.4,29.94
1723364100000,5.16,29.94
1723365000000,5.54,29.93
1723365900000,5.03,29.93
1723366800000,4.78,29.93
