date,cpu,memory
1723219200000,16.38,29.24
1723220100000,10.01,29.28
1723221000000,13.15,29.19
1723221900000,13.88,29.24
1723222800000,32.33,29.33
1723223700000,11.03,29.34
1723224600000,11.86,29.34
1723225500000,15.85,29.33
1723226400000,53.97,30.75
1723227300000,15.38,29.77
1723228200000,13.68,29.78
1723229100000,11.36,29.77
1723230000000,17.68,29.77
1723230900000,12.36,29.77
1723231800000,16.04,29.78
1723232700000,10.29,29.76
1723233600000,16.94,29.77
1723234500000,14.36,29.77
1723235400000,15.63,29.94
1723236300000,13.56,29.8
1723237200000,13.49,29.78
1723238100000,13.61,29.78
1723239000000,11.74,29.83
1723239900000,11.75,29.85
1723240800000,18.74,29.87
1723241700000,13.15,29.83
1723242600000,14.92,29.76
1723243500000,13.69,29.81
1723244400000,15.28,29.81
1723245300000,16.67,29.81
1723246200000,15.93,29.79
1723247100000,13.39,29.79
1723248000000,17.62,29.79
1723248900000,15.55,29.78
1723249800000,17.47,29.79
1723250700000,11.84,29.78
1723251600000,17.49,29.78
1723252500000,13.62,29.78
1723253400000,15.65,29.78
1723254300000,16.44,29.78
1723255200000,16.96,29.79
1723256100000,16.46,29.76
1723257000000,15.37,29.76
1723257900000,10.25,29.76
1723258800000,16.18,29.77
1723259700000,11.1,29.77
1723260600000,16.49,29.78
1723261500000,15.14,29.76
1723262400000,16.65,29.77
1723263300000,12.63,29.76
1723264200000,14.38,29.82
1723265100000,16.14,29.84
1723266000000,16.48,29.84
1723266900000,13.77,29.79
1723267800000,16.29,29.78
1723268700000,12.7,29.81
1723269600000,16.76,29.83
1723270500000,13.43,29.86
1723271400000,16.04,29.82
1723272300000,13.53,29.79
1723273200000,15.77,29.79
1723274100000,15.3,29.78
1723275000000,14.68,29.8
1723275900000,11.26,29.8
1723276800000,16.77,29.79
1723277700000,13.03,29.77
1723278600000,13.89,29.79
1723279500000,17.85,29.79
1723280400000,16.45,29.79
1723281300000,11.25,29.78
1723282200000,14.61,29.79
1723283100000,16.34,29.79
1723284000000,14.65,29.79
1723284900000,13.03,29.84
1723285800000,16.4,29.77
1723286700000,11.92,29.84
1723287600000,15.91,29.84
1723288500000,15.38,29.77
1723289400000,16.94,29.77
1723290300000,12.41,29.77
1723291200000,16.46,29.77
1723292100000,12.9,29.77
1723293000000,17.04,29.77
1723293900000,13.12,29.82
1723294800000,15.97,29.82
1723295700000,16.16,29.81
1723296600000,14.02,29.81
1723297500000,10.01,29.82
1723298400000,16.41,29.82
1723299300000,16.71,29.81
1723300200000,16.3,29.81
1723301100000,15.82,29.81
1723302000000,13.64,29.81
1723302900000,10.52,29.81
1723303800000,17.38,29.82
1723304700000,11.86,29.81
1723305600000,17.19,29.9
1723306500000,15.43,29.9
1723307400000,14.4,29.91
1723308300000,11.0,29.91
1723309200000,16.94,29.91
1723310100000,12.48,29.96
1723311000000,15.01,29.97
1723311900000,14.12,29.94
1723312800000,16.24,30.12
1723313700000,10.52,29.91
1723314600000,17.07,29.91
1723315500000,13.74,29.89
1723316400000,15.63,29.9
1723317300000,10.89,29.89
1723318200000,21.81,29.94
1723319100000,14.77,29.92
1723320000000,15.27,29.9
1723320900000,16.67,29.9
1723321800000,21.37,30.15
1723322700000,15.67,29.93
1723323600000,16.8,29.91
1723324500000,15.25,29.96
1723325400000,18.21,29.94
1723326300000,15.78,29.95
1723327200000,19.19,29.95
1723328100000,15.89,29.94
1723329000000,17.58,29.93
1723329900000,16.67,29.92
1723330800000,14.65,29.94
1723331700000,12.62,29.94
1723332600000,17.53,29.94
1723333500000,14.12,29.92
1723334400000,15.16,29.92
1723335300000,16.82,29.92
1723336200000,13.09,29.92
1723337100000,12.47,29.99
1723338000000,15.79,29.98
1723338900000,15.43,29.91
1723339800000,16.5,29.92
1723340700000,15.54,29.88
1723341600000,12.53,29.57
1723342500000,13.53,29.54
1723343400000,16.95,29.56
1723344300000,14.27,29.55
1723345200000,14.78,29.56
1723346100000,12.89,29.56
1723347000000,16.79,29.54
1723347900000,17.02,29.54
1723348800000,16.59,29.54
1723349700000,13.37,29.53
1723350600000,17.43,29.53
1723351500000,12.76,29.53
1723352400000,16.66,29.53
1723353300000,18.01,29.53
1723354200000,15.32,29.54
1723355100000,17.51,29.53
1723356000000,15.66,29.53
1723356900000,12.86,29.57
1723357800000,17.31,29.58
1723358700000,15.56,29.56
1723359600000,15.1,29.58
1723360500000,13.91,29.57
1723361400000,16.58,29.59
1723362300000,16.33,29.64
1723363200000,15.77,29.56
1723364100000,15.11,29.58
1723365000000,17.83,29.56
1723365900000,13.82,29.55
1723366800000,15.56,29.54
1723367700000,16.05,29.55
1723368600000,12.76,29.54
1723369500000,11.71,29.54
1723370400000,16.69,29.53
1723371300000,14.22,29.54
1723372200000,14.27,29.53
1723373100000,13.01,29.54
1723374000000,15.72,29.53
1723374900000,14.63,29.53
1723375800000,12.85,29.52
1723376700000,15.9,29.53
1723377600000,13.95,29.53
1723378500000,12.87,29.52
1723379400000,15.63,29.53
1723380300000,12.97,29.53
1723381200000,16.02,29.52
1723382100000,12.27,29.53
1723383000000,15.1,29.58
1723383900000,11.74,29.58
1723384800000,16.38,29.57
1723385700000,15.81,29.58
1723386600000,14.02,29.57
1723387500000,17.18,29.56
1723388400000,16.45,29.56
1723389300000,10.09,29.57
1723390200000,17.66,29.63
1723391100000,17.98,29.62
1723392000000,16.92,29.62
1723392900000,11.22,29.61
1723393800000,16.4,29.63
1723394700000,12.86,29.59
1723395600000,16.17,29.59
1723396500000,16.01,29.53
1723397400000,17.15,29.54
1723398300000,12.02,29.56
1723399200000,21.06,29.77
1723400100000,10.76,29.54
1723401000000,17.05,29.54
1723401900000,13.61,29.55
1723402800000,11.97,29.55
1723403700000,13.92,29.59
1723404600000,17.39,29.58
1723405500000,12.64,29.54
1723406400000,13.78,29.56
1723407300000,17.19,29.55
1723408200000,19.45,29.88
1723409100000,15.15,29.56
1723410000000,13.21,29.58
1723410900000,13.54,29.54
1723411800000,17.17,29.48
1723412700000,10.35,29.49
1723413600000,18.21,29.53
1723414500000,14.62,29.53
1723415400000,15.79,29.54
1723416300000,13.64,29.52
1723417200000,15.01,29.53
1723418100000,11.63,29.53
1723419000000,16.31,29.53
1723419900000,16.12,29.53
1723420800000,13.27,29.53
1723421700000,14.55,29.54
1723422600000,18.47,29.54
1723423500000,12.03,29.55
1723424400000,16.9,29.55
1723425300000,17.72,29.57
1723426200000,16.82,29.58
1723427100000,11.01,29.57
1723428000000,17.35,29.57
1723428900000,13.09,29.55
1723429800000,17.05,29.56
1723430700000,15.13,29.54
1723431600000,11.39,29.55
1723432500000,11.4,29.54
1723433400000,16.57,29.54
1723434300000,11.03,29.51
1723435200000,12.69,29.53
1723436100000,15.94,29.53
1723437000000,14.55,29.54
1723437900000,15.31,29.54
1723438800000,16.18,29.53
1723439700000,16.21,29.53
1723440600000,16.95,29.53
1723441500000,13.02,29.55
1723442400000,14.2,29.56
1723443300000,15.73,29.56
1723444200000,17.58,29.58
1723445100000,16.42,29.6
1723446000000,16.4,29.64
1723446900000,12.28,29.64
1723447800000,10.85,29.66
1723448700000,16.32,29.66
1723449600000,14.62,29.66
1723450500000,13.93,29.6
1723451400000,14.96,29.6
1723452300000,17.06,29.6
1723453200000,11.14,29.59
1723454100000,16.58,29.59
1723455000000,15.72,29.59
1723455900000,11.41,29.59
1723456800000,13.02,29.59
1723457700000,15.82,29.57
1723458600000,13.82,29.56
1723459500000,12.76,29.57
1723460400000,17.14,29.56
1723461300000,15.82,29.54
1723462200000,16.32,29.6
1723463100000,11.62,29.59
1723464000000,10.65,29.6
1723464900000,13.68,29.59
1723465800000,16.59,29.61
1723466700000,17.43,29.61
1723467600000,16.24,29.61
1723468500000,9.79,29.61
1723469400000,13.75,29.61
1723470300000,16.45,29.61
1723471200000,11.37,29.6
1723472100000,12.41,29.61
1723473000000,16.4,29.61
1723473900000,12.88,29.62
1723474800000,16.31,29.61
1723475700000,16.44,29.62
1723476600000,11.64,29.62
1723477500000,13.64,29.63
1723478400000,12.13,29.63
1723479300000,13.12,29.61
1723480200000,17.44,29.63
1723481100000,16.67,29.64
1723482000000,17.61,29.64
1723482900000,17.57,29.63
1723483800000,16.0,29.62
1723484700000,15.4,29.62
1723485600000,17.2,29.85
1723486500000,12.74,29.67
1723487400000,16.2,29.67
1723488300000,16.46,29.67
1723489200000,16.54,29.67
1723490100000,17.37,29.67
1723491000000,17.96,29.68
1723491900000,14.9,29.67
1723492800000,15.36,29.67
1723493700000,14.03,29.66
1723494600000,17.16,30.06
1723495500000,16.65,29.79
1723496400000,16.43,29.82
1723497300000,10.76,29.86
1723498200000,17.68,29.79
1723499100000,17.03,29.76
1723500000000,18.48,29.77
1723500900000,16.18,29.77
1723501800000,17.07,29.76
1723502700000,11.26,29.77
1723503600000,16.85,29.76
