date,cpu,memory
1723219200000,17.76,29.15
1723220100000,15.98,29.08
1723221000000,17.76,29.16
1723221900000,16.18,29.16
1723222800000,14.47,29.21
1723223700000,14.78,29.17
1723224600000,15.76,29.18
1723225500000,16.64,29.18
1723226400000,47.75,29.67
1723227300000,15.75,29.68
1723228200000,16.88,29.68
1723229100000,12.36,29.68
1723230000000,15.47,29.67
1723230900000,15.76,29.67
1723231800000,16.23,29.67
1723232700000,16.13,29.71
1723233600000,18.77,29.73
1723234500000,15.94,29.72
1723235400000,21.89,30.13
1723236300000,15.99,29.66
1723237200000,15.23,29.62
1723238100000,11.89,29.6
1723239000000,14.94,29.59
1723239900000,15.84,29.6
1723240800000,23.99,29.62
1723241700000,15.26,29.59
1723242600000,15.63,29.58
1723243500000,15.4,29.58
1723244400000,14.77,29.58
1723245300000,14.65,29.58
1723246200000,12.87,29.58
1723247100000,15.14,29.57
1723248000000,14.89,29.57
1723248900000,15.5,29.57
1723249800000,14.4,29.58
1723250700000,15.18,29.57
1723251600000,17.1,29.58
1723252500000,12.98,29.57
1723253400000,16.48,29.58
1723254300000,15.08,29.58
1723255200000,16.05,29.61
1723256100000,15.64,29.63
1723257000000,19.01,29.61
1723257900000,32.89,29.61
1723258800000,16.67,29.61
1723259700000,16.27,29.6
1723260600000,19.88,29.6
1723261500000,15.69,29.6
1723262400000,15.64,29.59
1723263300000,15.8,29.59
1723264200000,16.48,29.6
1723265100000,15.8,29.6
1723266000000,19.72,29.6
1723266900000,16.29,29.59
1723267800000,15.28,29.59
1723268700000,17.25,29.58
1723269600000,16.95,29.61
1723270500000,15.39,29.58
1723271400000,15.95,29.58
1723272300000,15.8,29.56
1723273200000,15.82,29.24
1723274100000,15.91,29.24
1723275000000,15.81,29.23
1723275900000,16.88,29.24
1723276800000,14.47,29.24
1723277700000,15.78,29.25
1723278600000,15.17,29.25
1723279500000,16.01,29.24
1723280400000,16.89,29.25
1723281300000,15.68,29.24
1723282200000,15.99,29.24
1723283100000,16.06,29.24
1723284000000,16.49,29.24
1723284900000,17.89,29.25
1723285800000,16.07,29.25
1723286700000,18.98,29.24
1723287600000,16.88,29.24
1723288500000,16.08,29.24
1723289400000,16.03,29.29
1723290300000,17.62,29.28
1723291200000,16.27,29.28
1723292100000,16.03,29.33
1723293000000,17.03,29.35
1723293900000,18.89,29.26
1723294800000,19.23,29.04
1723295700000,16.18,29.04
1723296600000,18.92,29.04
1723297500000,17.06,29.04
1723298400000,16.75,29.03
1723299300000,19.26,29.03
1723300200000,16.03,29.03
1723301100000,16.92,29.03
1723302000000,16.91,29.04
1723302900000,15.43,29.02
1723303800000,15.49,29.03
1723304700000,15.3,29.02
1723305600000,40.23,30.67
1723306500000,16.89,29.14
1723307400000,17.06,29.14
1723308300000,15.05,29.13
1723309200000,12.65,29.14
1723310100000,17.0,29.13
1723311000000,19.29,29.14
1723311900000,15.96,29.12
1723312800000,25.12,29.28
1723313700000,15.72,29.2
1723314600000,17.09,29.25
1723315500000,16.38,29.24
