date,cpu,memory
1723219200000,9.22,28.6
1723220100000,8.79,28.6
1723221000000,8.84,28.6
1723221900000,8.82,28.66
1723222800000,8.68,28.66
1723223700000,8.34,28.58
1723224600000,8.98,28.65
1723225500000,8.85,28.66
1723226400000,9.34,29.24
1723227300000,8.95,29.31
1723228200000,8.68,29.27
1723229100000,8.44,29.29
1723230000000,8.94,29.13
1723230900000,8.59,29.15
1723231800000,9.07,29.11
1723232700000,8.57,29.04
1723233600000,8.3,29.05
1723234500000,9.32,29.04
1723235400000,22.1,29.58
1723236300000,9.94,29.06
1723237200000,8.83,29.04
1723238100000,9.09,29.1
1723239000000,8.84,29.11
1723239900000,9.61,29.12
1723240800000,17.15,29.13
1723241700000,9.54,29.1
1723242600000,9.23,29.1
1723243500000,9.11,29.1
1723244400000,8.58,29.11
1723245300000,8.57,29.11
1723246200000,9.48,29.11
1723247100000,9.09,29.12
1723248000000,8.81,29.12
1723248900000,8.95,29.11
1723249800000,9.85,29.13
1723250700000,9.72,29.1
1723251600000,9.71,29.11
1723252500000,9.14,29.11
1723253400000,9.2,29.11
1723254300000,9.24,29.13
1723255200000,9.69,29.14
1723256100000,8.83,29.13
1723257000000,9.19,29.13
1723257900000,9.07,29.12
1723258800000,9.49,29.11
1723259700000,9.1,29.16
1723260600000,8.72,29.19
1723261500000,8.61,29.16
1723262400000,9.59,29.16
1723263300000,8.7,29.15
1723264200000,7.93,29.14
1723265100000,9.19,29.14
1723266000000,8.83,29.13
1723266900000,9.59,29.11
1723267800000,9.08,29.11
1723268700000,9.45,29.16
1723269600000,8.93,29.19
1723270500000,8.9,29.14
1723271400000,9.57,29.17
1723272300000,8.94,29.18
1723273200000,9.09,29.18
1723274100000,8.69,29.14
1723275000000,8.68,29.09
1723275900000,8.73,29.11
1723276800000,9.6,29.11
1723277700000,9.73,29.11
1723278600000,8.69,29.08
1723279500000,9.32,29.09
1723280400000,8.94,29.16
1723281300000,8.57,29.16
1723282200000,8.96,29.09
1723283100000,9.42,29.07
1723284000000,9.18,29.11
1723284900000,9.09,29.14
1723285800000,8.96,29.14
1723286700000,8.72,29.09
1723287600000,9.44,29.1
1723288500000,9.05,29.11
1723289400000,8.46,29.11
1723290300000,8.84,29.11
1723291200000,9.11,29.09
1723292100000,9.31,29.11
1723293000000,9.46,29.11
1723293900000,9.5,29.11
1723294800000,9.32,29.11
1723295700000,9.29,29.08
1723296600000,9.08,29.07
1723297500000,8.82,29.05
1723298400000,9.34,29.06
1723299300000,9.33,29.06
1723300200000,8.21,29.05
1723301100000,9.73,29.04
1723302000000,13.1,29.04
1723302900000,9.21,29.04
1723303800000,8.81,29.04
1723304700000,8.95,29.06
1723305600000,9.09,29.04
1723306500000,8.81,29.11
1723307400000,9.56,29.09
1723308300000,8.97,29.1
1723309200000,9.46,29.08
1723310100000,9.2,29.13
1723311000000,8.95,29.13
1723311900000,9.36,29.14
1723312800000,9.31,29.14
1723313700000,8.96,29.13
1723314600000,8.74,29.13
1723315500000,9.36,29.12
1723316400000,8.7,29.14
1723317300000,9.2,29.13
1723318200000,9.19,29.13
1723319100000,8.84,29.11
1723320000000,8.61,29.12
1723320900000,9.24,29.15
1723321800000,20.15,29.68
1723322700000,9.37,29.17
1723323600000,8.81,29.16
1723324500000,8.69,29.18
1723325400000,9.46,29.1
1723326300000,9.45,29.18
1723327200000,17.17,29.13
1723328100000,8.69,29.11
1723329000000,9.72,29.11
1723329900000,9.33,29.09
1723330800000,10.49,29.1
1723331700000,9.2,29.11
1723332600000,9.23,29.1
1723333500000,9.23,29.09
1723334400000,9.32,29.06
1723335300000,9.7,29.09
1723336200000,9.44,29.09
1723337100000,8.83,29.06
1723338000000,7.95,29.07
1723338900000,8.82,29.07
1723339800000,8.73,29.09
1723340700000,8.69,29.1
1723341600000,9.24,29.14
1723342500000,8.84,29.12
1723343400000,8.97,29.14
1723344300000,8.96,29.11
1723345200000,9.32,29.13
1723346100000,9.96,29.11
1723347000000,8.97,29.11
1723347900000,8.49,29.17
1723348800000,10.07,29.17
1723349700000,9.36,29.09
1723350600000,9.11,29.12
1723351500000,9.45,29.16
1723352400000,8.85,29.15
1723353300000,8.95,29.15
1723354200000,9.21,29.17
