date,cpu,memory
1723219200000,8.93,29.0
1723220100000,8.53,29.01
1723221000000,28.07,28.99
1723221900000,16.22,29.01
1723222800000,8.59,29.05
1723223700000,8.59,29.02
1723224600000,8.84,29.02
1723225500000,8.69,29.01
1723226400000,46.78,30.81
1723227300000,8.69,29.31
1723228200000,9.32,29.32
1723229100000,7.97,29.3
1723230000000,8.71,29.32
1723230900000,8.95,29.36
1723231800000,13.24,29.38
1723232700000,8.31,29.31
1723233600000,11.57,29.3
1723234500000,8.6,29.3
1723235400000,19.28,29.53
1723236300000,8.46,29.37
1723237200000,8.71,29.38
1723238100000,8.56,29.36
1723239000000,8.44,29.38
1723239900000,8.71,29.36
1723240800000,16.42,29.4
1723241700000,8.33,29.36
1723242600000,8.43,29.35
1723243500000,8.95,29.33
1723244400000,8.96,29.34
1723245300000,8.83,29.33
1723246200000,8.83,29.35
1723247100000,8.06,29.33
1723248000000,7.94,29.33
1723248900000,8.6,29.32
1723249800000,8.44,29.33
1723250700000,8.21,29.36
1723251600000,8.56,29.38
1723252500000,8.85,29.37
1723253400000,8.69,29.38
1723254300000,7.96,29.37
1723255200000,8.57,29.37
1723256100000,8.44,29.38
1723257000000,8.69,29.36
1723257900000,8.46,29.36
1723258800000,8.3,29.36
1723259700000,8.44,29.35
1723260600000,8.96,29.36
1723261500000,8.46,29.36
1723262400000,8.33,29.36
1723263300000,8.68,29.36
1723264200000,8.44,29.36
1723265100000,8.72,29.35
1723266000000,8.91,29.36
1723266900000,8.19,29.37
1723267800000,8.56,29.37
1723268700000,8.7,29.36
1723269600000,9.19,29.35
1723270500000,8.21,29.35
1723271400000,8.82,29.34
1723272300000,8.6,29.33
1723273200000,10.86,29.33
1723274100000,9.34,29.33
1723275000000,10.28,29.34
1723275900000,8.34,29.32
1723276800000,12.02,29.33
1723277700000,9.07,29.33
1723278600000,8.58,29.33
1723279500000,8.34,29.32
1723280400000,9.1,29.36
1723281300000,8.68,29.38
1723282200000,9.32,29.42
1723283100000,8.33,29.45
1723284000000,8.33,29.37
1723284900000,8.57,29.42
1723285800000,8.92,29.37
1723286700000,9.09,29.36
1723287600000,8.74,29.35
1723288500000,8.59,29.42
1723289400000,8.6,29.42
1723290300000,8.41,29.42
1723291200000,8.2,29.42
1723292100000,8.36,29.4
1723293000000,8.94,29.35
1723293900000,13.78,29.36
1723294800000,8.34,29.03
1723295700000,8.84,29.04
1723296600000,8.34,29.03
1723297500000,8.58,29.02
1723298400000,12.36,29.02
1723299300000,9.33,29.02
1723300200000,8.71,29.03
1723301100000,8.82,29.03
1723302000000,8.46,29.03
1723302900000,7.81,29.02
1723303800000,8.46,29.01
1723304700000,9.07,29.02
1723305600000,8.2,29.14
1723306500000,8.59,29.14
1723307400000,8.33,29.15
1723308300000,8.69,29.14
1723309200000,8.56,29.15
1723310100000,9.19,29.14
1723311000000,8.19,29.19
1723311900000,8.86,29.18
1723312800000,18.19,29.43
1723313700000,8.83,29.22
1723314600000,8.94,29.21
1723315500000,9.1,29.19
1723316400000,8.84,29.19
1723317300000,9.22,29.17
1723318200000,14.35,29.18
1723319100000,8.59,29.18
1723320000000,8.84,29.21
1723320900000,8.84,29.22
1723321800000,15.98,29.25
1723322700000,9.46,29.1
1723323600000,8.83,29.06
1723324500000,9.2,29.06
1723325400000,8.67,29.04
1723326300000,8.82,29.06
1723327200000,16.37,29.09
1723328100000,8.74,29.06
1723329000000,8.46,29.06
1723329900000,8.84,29.04
1723330800000,9.45,29.04
1723331700000,9.05,29.04
1723332600000,9.61,29.05
1723333500000,9.21,29.04
1723334400000,9.45,29.05
1723335300000,8.96,29.05
1723336200000,9.2,29.04
1723337100000,8.62,29.09
1723338000000,8.49,29.08
1723338900000,9.08,29.08
1723339800000,9.24,29.09
1723340700000,8.93,29.11
1723341600000,8.7,29.15
1723342500000,9.07,29.14
1723343400000,8.87,29.14
1723344300000,9.31,29.14
1723345200000,8.54,29.09
1723346100000,8.61,29.06
1723347000000,8.74,29.12
1723347900000,8.86,29.13
1723348800000,8.32,29.12
1723349700000,8.7,29.11
1723350600000,8.86,29.04
1723351500000,8.67,29.1
1723352400000,8.94,29.1
1723353300000,8.95,29.13
1723354200000,8.58,29.11
1723355100000,8.61,29.12
1723356000000,8.61,29.09
1723356900000,8.5,29.04
1723357800000,9.35,29.03
1723358700000,8.97,29.04
1723359600000,8.74,29.04
1723360500000,9.09,29.03
1723361400000,9.31,29.04
1723362300000,8.83,29.04
1723363200000,8.94,29.04
1723364100000,8.61,29.02
1723365000000,8.69,29.03
1723365900000,8.95,29.03
1723366800000,8.81,29.07
1723367700000,8.47,29.07
1723368600000,9.2,29.07
1723369500000,8.82,29.08
1723370400000,8.57,29.14
1723371300000,8.84,29.05
1723372200000,9.24,29.05
1723373100000,8.93,29.06
1723374000000,8.33,29.06
1723374900000,8.73,29.05
1723375800000,8.55,29.04
1723376700000,8.94,29.06
1723377600000,8.82,29.05
1723378500000,9.34,29.04
1723379400000,9.1,29.05
1723380300000,8.45,29.05
1723381200000,8.99,29.04
1723382100000,8.7,29.04
1723383000000,8.59,29.04
1723383900000,9.57,29.04
1723384800000,8.36,29.05
1723385700000,8.54,29.04
1723386600000,9.29,29.04
1723387500000,9.47,29.05
1723388400000,8.83,29.04
1723389300000,9.07,29.08
1723390200000,8.7,29.1
1723391100000,8.85,29.09
1723392000000,8.84,29.09
1723392900000,9.07,29.09
1723393800000,9.34,29.1
1723394700000,9.09,29.12
1723395600000,9.09,29.12
1723396500000,8.44,29.11
1723397400000,9.22,29.09
1723398300000,9.23,29.1
1723399200000,14.7,29.34
1723400100000,9.43,29.13
1723401000000,8.84,29.13
1723401900000,9.06,29.13
1723402800000,9.2,29.13
1723403700000,9.94,29.12
1723404600000,14.86,29.12
1723405500000,9.3,29.11
1723406400000,9.47,29.11
1723407300000,9.07,29.11
1723408200000,19.29,29.27
1723409100000,8.79,29.14
1723410000000,9.55,29.16
1723410900000,9.09,29.16
1723411800000,16.75,29.21
1723412700000,8.62,29.18
1723413600000,16.06,29.15
1723414500000,9.09,29.13
1723415400000,8.97,29.13
1723416300000,9.11,29.23
1723417200000,8.06,29.18
1723418100000,9.44,29.21
1723419000000,9.42,29.19
1723419900000,9.47,29.18
1723420800000,9.16,29.16
1723421700000,8.98,29.17
1723422600000,9.21,29.17
1723423500000,9.18,29.17
1723424400000,9.2,29.17
1723425300000,8.61,29.16
1723426200000,8.74,29.17
1723427100000,8.35,29.15
1723428000000,8.48,29.16
1723428900000,9.21,29.17
1723429800000,9.07,29.18
1723430700000,8.58,29.17
1723431600000,8.95,29.17
1723432500000,9.46,29.18
1723433400000,8.84,29.19
1723434300000,9.33,29.18
1723435200000,8.37,29.19
1723436100000,9.07,29.19
1723437000000,13.91,29.17
1723437900000,9.11,29.17
1723438800000,8.46,29.16
1723439700000,8.77,29.18
1723440600000,8.32,29.23
1723441500000,8.71,29.31
1723442400000,8.47,29.3
1723443300000,8.43,29.24
1723444200000,9.09,29.23
1723445100000,8.69,29.23
1723446000000,8.61,29.23
1723446900000,9.09,29.24
1723447800000,8.87,29.23
1723448700000,8.83,29.23
1723449600000,9.3,29.24
1723450500000,8.4,29.23
1723451400000,9.14,29.23
1723452300000,9.21,29.22
1723453200000,9.32,29.23
1723454100000,8.75,29.23
1723455000000,8.85,29.23
1723455900000,9.08,29.23
1723456800000,8.96,29.24
1723457700000,9.32,29.21
1723458600000,8.45,29.27
1723459500000,9.06,29.29
1723460400000,8.95,29.3
1723461300000,8.96,29.29
1723462200000,8.58,29.28
1723463100000,8.94,29.27
1723464000000,9.2,29.27
1723464900000,9.35,29.21
