date,cpu,memory
1723219200000,32.56,33.6
1723220100000,29.14,33.6
1723221000000,32.48,33.6
1723221900000,28.66,33.6
1723222800000,32.06,33.6
1723223700000,28.41,33.6
1723224600000,28.89,33.6
1723225500000,28.78,33.6
1723226400000,29.35,33.6
1723227300000,28.85,33.6
1723228200000,28.43,33.6
1723229100000,28.77,33.6
1723230000000,32.9,33.6
1723230900000,44.42,33.6
1723231800000,28.23,33.6
1723232700000,28.49,33.6
1723233600000,30.23,33.6
1723234500000,28.64,33.6
1723235400000,28.88,33.6
1723236300000,29.21,33.6
1723237200000,30.41,33.6
1723238100000,28.78,33.6
1723239000000,29.07,33.6
1723239900000,28.86,33.6
1723240800000,30.2,33.6
1723241700000,28.2,33.6
1723242600000,29.35,33.6
1723243500000,28.85,33.6
1723244400000,30.01,33.6
1723245300000,29.06,33.6
1723246200000,29.54,33.6
1723247100000,30.35,33.6
1723248000000,29.36,33.6
1723248900000,30.1,33.6
1723249800000,32.24,33.6
1723250700000,30.48,33.6
1723251600000,28.68,33.6
1723252500000,29.96,33.6
1723253400000,29.01,33.6
1723254300000,28.1,33.6
1723255200000,31.06,33.6
1723256100000,29.32,33.6
1723257000000,30.58,33.6
1723257900000,30.32,33.6
1723258800000,29.94,33.6
1723259700000,33.34,33.6
1723260600000,28.8,33.6
1723261500000,30.27,33.6
1723262400000,30.29,33.6
1723263300000,29.11,33.6
1723264200000,29.49,33.6
1723265100000,29.21,33.6
1723266000000,29.85,33.6
1723266900000,28.53,33.6
1723267800000,35.42,33.6
1723268700000,29.16,33.6
1723269600000,30.16,33.6
1723270500000,29.03,33.6
1723271400000,30.56,33.6
1723272300000,28.42,33.6
1723273200000,34.83,33.6
1723274100000,29.26,33.6
1723275000000,28.95,33.6
1723275900000,28.74,33.6
1723276800000,29.78,33.6
1723277700000,30.85,33.6
1723278600000,31.58,33.6
1723279500000,30.53,33.6
1723280400000,29.13,33.6
1723281300000,28.92,33.6
1723282200000,32.05,33.6
1723283100000,29.33,33.6
1723284000000,31.42,33.6
1723284900000,29.65,33.6
1723285800000,30.41,33.6
1723286700000,29.92,33.6
1723287600000,29.76,33.6
1723288500000,30.07,33.6
1723289400000,30.58,33.6
1723290300000,29.83,33.6
1723291200000,31.13,33.6
1723292100000,29.66,33.6
1723293000000,29.51,33.6
1723293900000,30.53,33.61
1723294800000,30.26,33.61
1723295700000,28.7,33.6
1723296600000,29.21,33.6
1723297500000,29.35,33.6
1723298400000,71.87,33.6
1723299300000,29.88,33.6
1723300200000,29.69,33.6
1723301100000,31.24,33.6
1723302000000,28.89,33.6
1723302900000,29.85,33.6
1723303800000,30.01,33.61
1723304700000,29.63,33.6
1723305600000,33.02,33.61
1723306500000,29.17,33.6
1723307400000,30.11,33.61
1723308300000,29.07,33.61
1723309200000,28.86,33.61
1723310100000,28.48,33.61
1723311000000,28.56,33.61
1723311900000,28.79,33.61
1723312800000,29.41,33.61
1723313700000,28.72,33.61
1723314600000,28.98,33.61
1723315500000,29.36,33.61
1723316400000,31.73,33.61
1723317300000,28.8,33.61
1723318200000,28.29,33.61
1723319100000,29.96,33.61
1723320000000,30.16,33.61
1723320900000,28.72,33.61
1723321800000,29.32,33.61
1723322700000,28.94,33.61
1723323600000,31.02,33.61
1723324500000,29.4,33.61
1723325400000,29.17,33.61
1723326300000,29.62,33.61
1723327200000,30.48,33.61
1723328100000,28.85,33.61
1723329000000,30.2,33.61
1723329900000,29.05,33.61
1723330800000,29.93,33.61
1723331700000,29.83,33.61
1723332600000,30.19,33.61
1723333500000,29.19,33.61
1723334400000,29.42,33.61
1723335300000,29.07,33.61
1723336200000,29.19,33.61
1723337100000,28.58,33.61
1723338000000,29.11,33.61
1723338900000,29.63,33.61
1723339800000,29.02,33.61
1723340700000,28.98,33.61
1723341600000,32.11,33.61
1723342500000,29.8,33.61
1723343400000,29.32,33.61
1723344300000,28.4,33.61
1723345200000,29.06,33.61
1723346100000,28.82,33.61
1723347000000,29.59,33.61
1723347900000,29.11,33.61
1723348800000,30.28,33.61
1723349700000,28.45,33.61
1723350600000,29.49,33.61
1723351500000,29.29,33.61
1723352400000,28.74,33.61
1723353300000,29.97,33.61
1723354200000,32.56,33.61
1723355100000,29.79,33.61
1723356000000,34.78,33.61
1723356900000,29.24,33.61
1723357800000,30.35,33.61
1723358700000,28.38,33.61
1723359600000,30.03,33.61
1723360500000,29.26,33.61
1723361400000,29.98,33.61
1723362300000,28.91,33.61
1723363200000,30.19,33.61
1723364100000,28.12,33.61
1723365000000,29.6,33.61
1723365900000,28.46,33.61
1723366800000,28.99,33.61
1723367700000,29.06,33.61
1723368600000,28.35,33.61
1723369500000,28.88,33.61
1723370400000,31.69,33.61
1723371300000,29.13,33.61
1723372200000,30.13,33.61
1723373100000,28.49,33.61
1723374000000,28.94,33.61
1723374900000,29.24,33.61
1723375800000,33.15,33.61
1723376700000,29.06,33.61
1723377600000,30.18,33.61
1723378500000,29.35,33.61
1723379400000,32.66,33.61
1723380300000,28.73,33.61
1723381200000,28.7,33.61
1723382100000,29.68,33.61
1723383000000,28.37,33.61
1723383900000,28.56,33.61
1723384800000,90.1,33.61
1723385700000,28.4,33.61
1723386600000,28.59,33.61
1723387500000,28.68,33.61
1723388400000,31.65,33.61
1723389300000,29.06,33.61
1723390200000,29.13,33.61
1723391100000,28.85,33.61
1723392000000,29.94,33.61
1723392900000,28.13,33.61
1723393800000,28.95,33.61
1723394700000,28.2,33.61
1723395600000,29.29,33.61
1723396500000,29.27,33.61
1723397400000,28.98,33.61
1723398300000,29.34,33.61
1723399200000,30.0,33.61
1723400100000,28.85,33.61
1723401000000,30.09,33.61
1723401900000,29.09,33.61
1723402800000,35.58,33.61
1723403700000,29.75,33.61
1723404600000,30.34,33.61
1723405500000,28.49,33.61
1723406400000,30.28,33.61
1723407300000,29.18,33.61
1723408200000,29.58,33.61
1723409100000,28.85,33.61
1723410000000,28.37,33.61
1723410900000,29.04,33.61
1723411800000,28.35,33.61
1723412700000,28.86,33.61
1723413600000,30.4,33.61
1723414500000,28.29,33.61
1723415400000,29.43,33.61
1723416300000,29.29,33.61
1723417200000,28.98,33.61
1723418100000,29.03,33.61
1723419000000,30.29,33.61
1723419900000,28.1,33.61
1723420800000,29.61,33.61
1723421700000,29.13,33.61
1723422600000,29.37,33.61
1723423500000,28.55,33.61
1723424400000,31.29,33.61
1723425300000,29.43,33.61
1723426200000,29.24,33.61
1723427100000,28.86,33.61
1723428000000,29.88,33.61
1723428900000,28.54,33.61
1723429800000,28.89,33.61
1723430700000,31.18,33.61
1723431600000,28.83,33.61
1723432500000,32.93,33.61
1723433400000,29.86,33.61
1723434300000,29.94,33.61
1723435200000,30.42,33.61
1723436100000,33.78,33.61
1723437000000,33.25,33.61
1723437900000,28.73,33.61
1723438800000,29.25,33.61
1723439700000,29.11,33.61
1723440600000,32.84,33.61
1723441500000,29.43,33.61
1723442400000,33.54,33.61
1723443300000,29.02,33.61
1723444200000,29.9,33.61
1723445100000,29.65,33.61
1723446000000,30.8,33.61
1723446900000,31.76,33.61
1723447800000,30.51,33.61
1723448700000,29.85,33.61
1723449600000,30.36,33.61
1723450500000,29.06,33.61
1723451400000,32.37,33.61
1723452300000,28.76,33.61
1723453200000,29.82,33.61
1723454100000,29.64,33.61
1723455000000,29.96,33.61
1723455900000,29.16,33.61
1723456800000,30.44,33.61
1723457700000,28.62,33.61
1723458600000,29.8,33.61
1723459500000,28.42,33.61
1723460400000,29.93,33.61
1723461300000,28.73,33.61
1723462200000,29.6,33.61
1723463100000,29.97,33.61
1723464000000,29.98,33.61
1723464900000,28.24,33.61
1723465800000,29.64,33.61
1723466700000,29.65,33.61
1723467600000,29.11,33.61
1723468500000,29.21,33.61
1723469400000,31.93,33.61
1723470300000,29.24,33.61
1723471200000,29.68,33.61
1723472100000,28.77,33.61
1723473000000,28.96,33.61
1723473900000,29.57,33.61
1723474800000,29.22,33.61
1723475700000,29.11,33.61
1723476600000,30.79,33.61
1723477500000,29.14,33.61
1723478400000,37.58,33.61
1723479300000,28.42,33.61
1723480200000,28.19,33.61
1723481100000,28.66,33.61
1723482000000,29.04,33.61
1723482900000,28.45,33.61
1723483800000,29.0,33.61
1723484700000,29.42,33.61
1723485600000,29.39,33.61
1723486500000,29.06,33.61
1723487400000,30.86,33.61
1723488300000,28.51,33.61
1723489200000,81.03,33.61
1723490100000,29.56,33.61
1723491000000,30.93,33.61
1723491900000,29.08,33.61
1723492800000,29.09,33.61
1723493700000,29.34,33.61
1723494600000,30.08,33.61
1723495500000,28.55,33.61
1723496400000,28.91,33.61
1723497300000,28.85,33.61
1723498200000,28.7,33.61
1723499100000,28.49,33.61
1723500000000,29.25,33.61
1723500900000,29.21,33.61
1723501800000,28.48,33.61
1723502700000,28.22,33.61
1723503600000,29.54,33.61
1723504500000,29.36,33.61
1723505400000,29.21,33.61
1723506300000,29.31,33.61
1723507200000,29.88,33.62
1723508100000,28.56,33.61
1723509000000,30.65,33.61
1723509900000,28.81,33.61
1723510800000,29.26,33.61
1723511700000,29.63,33.62
1723512600000,29.08,33.62
1723513500000,30.21,33.62
1723514400000,30.27,33.61
1723515300000,39.31,33.62
1723516200000,28.67,33.62
1723517100000,28.29,33.61
1723518000000,29.65,33.61
1723518900000,28.35,33.62
1723519800000,29.19,33.62
1723520700000,28.57,33.62
1723521600000,29.91,33.62
1723522500000,29.01,33.62
1723523400000,29.83,33.61
1723524300000,31.13,33.61
1723525200000,29.88,33.61
1723526100000,30.35,33.61
1723527000000,32.93,33.62
1723527900000,29.6,33.62
1723528800000,42.79,33.62
1723529700000,30.21,33.62
1723530600000,29.43,33.62
1723531500000,29.26,33.62
1723532400000,29.43,33.62
1723533300000,29.59,33.62
1723534200000,29.73,33.62
1723535100000,29.37,33.62
1723536000000,30.14,33.62
1723536900000,29.45,33.62
1723537800000,31.29,33.62
1723538700000,28.89,33.62
1723539600000,29.2,33.62
1723540500000,28.64,33.62
1723541400000,29.4,33.62
1723542300000,29.72,33.62
1723543200000,30.45,33.62
1723544100000,30.08,33.62
1723545000000,31.96,33.62
1723545900000,28.95,33.62
1723546800000,29.38,33.62
1723547700000,29.36,33.62
1723548600000,29.5,33.62
1723549500000,29.0,33.62
1723550400000,29.4,33.62
1723551300000,29.25,33.61
1723552200000,30.21,33.61
1723553100000,30.24,33.61
1723554000000,29.22,33.61
1723554900000,30.4,33.61
1723555800000,32.31,33.61
1723556700000,29.29,33.61
1723557600000,31.3,33.61
1723558500000,32.77,33.61
1723559400000,31.33,33.61
1723560300000,28.96,33.61
1723561200000,33.55,33.62
1723562100000,29.42,33.61
1723563000000,28.77,33.61
1723563900000,30.04,33.61
1723564800000,32.2,33.61
1723565700000,28.95,33.61
1723566600000,29.84,33.61
1723567500000,30.47,33.61
1723568400000,29.41,33.61
1723569300000,29.76,33.62
1723570200000,30.23,33.62
1723571100000,28.81,33.62
1723572000000,30.42,33.62
1723572900000,30.23,33.62
1723573800000,28.74,33.62
1723574700000,29.03,33.61
1723575600000,31.07,33.61
1723576500000,28.66,33.61
1723577400000,28.49,33.61
1723578300000,28.58,33.61
1723579200000,29.43,33.61
1723580100000,29.7,33.61
1723581000000,29.14,33.61
1723581900000,28.15,33.61
1723582800000,28.59,33.61
1723583700000,29.23,33.61
1723584600000,28.81,33.61
1723585500000,29.1,33.61
1723586400000,29.13,33.61
1723587300000,29.2,33.61
1723588200000,29.2,33.61
1723589100000,29.24,33.61
1723590000000,30.46,33.61
1723590900000,29.12,33.61
1723591800000,30.26,33.61
1723592700000,29.26,33.61
