date,cpu,memory
1723219200000,75.21,48.95
1723220100000,33.71,48.46
1723221000000,37.22,50.17
1723221900000,31.19,51.83
1723222800000,69.89,53.34
1723223700000,68.29,54.36
1723224600000,72.29,54.34
1723225500000,55.34,54.35
1723226400000,40.47,54.36
1723227300000,48.16,54.36
1723228200000,44.19,54.29
1723229100000,43.15,54.31
1723230000000,40.29,54.36
1723230900000,55.29,54.37
1723231800000,44.44,54.36
1723232700000,43.86,54.36
1723233600000,39.12,54.36
1723234500000,38.53,54.38
1723235400000,40.75,54.4
1723236300000,30.81,54.39
1723237200000,36.48,54.39
1723238100000,62.43,54.4
1723239000000,63.26,54.41
1723239900000,48.11,54.41
1723240800000,68.55,54.49
1723241700000,64.82,54.53
1723242600000,64.75,55.04
1723243500000,67.29,56.59
1723244400000,73.85,57.98
1723245300000,72.9,36.24
1723246200000,77.2,37.47
1723247100000,70.76,38.92
1723248000000,55.87,40.22
1723248900000,65.7,41.96
1723249800000,52.96,43.41
1723250700000,59.8,44.7
1723251600000,64.46,45.87
1723252500000,68.01,46.73
1723253400000,51.3,47.48
1723254300000,68.3,48.45
1723255200000,73.75,48.95
1723256100000,76.13,56.27
1723257000000,76.79,63.25
1723257900000,79.99,65.44
1723258800000,64.5,65.94
1723259700000,64.44,65.3
1723260600000,61.5,65.32
1723261500000,63.9,65.37
1723262400000,65.92,65.46
1723263300000,64.35,65.52
1723264200000,62.99,65.52
1723265100000,64.14,65.55
1723266000000,61.76,64.99
1723266900000,66.7,65.13
1723267800000,63.21,65.13
1723268700000,61.31,65.14
1723269600000,47.95,65.15
1723270500000,46.26,65.12
1723271400000,61.87,65.14
1723272300000,46.04,65.17
1723273200000,63.95,65.27
1723274100000,66.41,65.31
1723275000000,65.61,65.35
1723275900000,67.2,65.38
1723276800000,68.6,65.13
1723277700000,60.83,65.13
1723278600000,63.8,65.17
1723279500000,54.74,65.18
1723280400000,64.39,65.18
1723281300000,67.14,65.22
1723282200000,68.19,65.23
1723283100000,65.28,65.25
1723284000000,64.13,65.26
1723284900000,61.08,65.29
1723285800000,63.07,65.29
1723286700000,48.27,65.3
1723287600000,63.17,66.55
1723288500000,67.24,66.86
1723289400000,67.93,66.67
1723290300000,68.9,66.66
1723291200000,66.94,66.62
1723292100000,67.84,66.63
1723293000000,62.42,66.63
1723293900000,51.67,66.65
1723294800000,29.2,65.87
1723295700000,22.63,63.64
1723296600000,32.06,66.58
1723297500000,24.44,65.04
1723298400000,51.01,66.7
1723299300000,27.7,65.32
1723300200000,29.89,63.35
1723301100000,43.88,66.72
1723302000000,60.17,66.85
1723302900000,58.47,66.89
1723303800000,51.69,66.93
1723304700000,52.72,66.95
1723305600000,63.38,66.92
1723306500000,43.82,66.55
1723307400000,34.59,64.6
1723308300000,26.67,62.63
1723309200000,61.19,66.8
1723310100000,34.89,66.12
1723311000000,32.26,65.24
1723311900000,39.68,66.8
1723312800000,33.23,66.07
1723313700000,24.97,65.84
1723314600000,30.12,64.35
1723315500000,29.21,66.75
1723316400000,39.22,66.85
1723317300000,51.53,66.89
1723318200000,44.33,66.88
1723319100000,44.99,66.9
1723320000000,48.53,66.91
1723320900000,37.91,66.89
1723321800000,41.97,66.89
1723322700000,24.48,66.3
1723323600000,56.95,66.95
1723324500000,64.18,66.95
1723325400000,63.02,66.97
1723326300000,66.11,67.0
1723327200000,65.58,67.03
1723328100000,56.02,66.99
1723329000000,54.87,66.78
1723329900000,60.61,66.8
