date,cpu,memory
1723219200000,31.2,33.34
1723220100000,21.74,33.34
1723221000000,21.0,33.35
1723221900000,21.47,33.34
1723222800000,44.66,33.9
1723223700000,28.81,33.35
1723224600000,23.42,33.35
1723225500000,20.68,33.41
1723226400000,52.19,34.55
1723227300000,21.23,33.69
1723228200000,23.0,33.92
1723229100000,24.04,33.92
1723230000000,23.76,33.95
1723230900000,21.58,33.62
1723231800000,21.52,33.64
1723232700000,22.98,33.63
1723233600000,22.46,33.63
1723234500000,20.76,33.84
1723235400000,25.67,34.14
1723236300000,21.32,33.96
1723237200000,22.02,33.98
1723238100000,20.56,33.98
1723239000000,21.71,33.98
1723239900000,20.56,33.92
1723240800000,30.22,33.92
1723241700000,20.89,33.88
1723242600000,21.64,33.88
1723243500000,22.19,33.91
1723244400000,36.08,33.89
1723245300000,22.48,33.9
1723246200000,21.72,33.9
1723247100000,22.64,33.86
1723248000000,25.46,33.87
1723248900000,22.5,33.88
1723249800000,23.84,33.84
1723250700000,22.23,33.79
1723251600000,24.09,33.75
1723252500000,26.25,33.68
1723253400000,23.64,33.63
1723254300000,21.5,33.81
1723255200000,25.96,33.81
1723256100000,22.99,33.76
1723257000000,24.57,33.75
1723257900000,21.73,33.71
1723258800000,26.54,33.69
1723259700000,22.91,33.63
1723260600000,27.39,33.61
1723261500000,22.25,33.59
1723262400000,26.16,33.61
1723263300000,23.16,33.56
1723264200000,32.64,33.46
1723265100000,21.91,33.4
1723266000000,25.2,33.36
1723266900000,21.85,32.99
1723267800000,28.95,33.0
1723268700000,24.16,32.98
1723269600000,22.81,32.99
1723270500000,21.46,32.94
1723271400000,24.84,32.89
1723272300000,24.68,32.88
1723273200000,24.77,32.96
1723274100000,22.94,33.01
1723275000000,24.88,33.18
1723275900000,27.7,33.78
1723276800000,22.47,33.76
1723277700000,24.27,33.66
1723278600000,25.2,33.54
1723279500000,25.15,33.47
1723280400000,30.49,33.42
1723281300000,24.95,33.16
1723282200000,46.35,33.01
1723283100000,24.24,33.42
1723284000000,43.53,33.39
1723284900000,27.28,33.25
1723285800000,27.98,33.18
1723286700000,23.28,33.06
1723287600000,25.06,32.9
1723288500000,26.62,32.73
1723289400000,24.1,32.57
1723290300000,26.9,32.4
1723291200000,41.43,32.32
1723292100000,23.57,32.23
1723293000000,23.22,32.18
1723293900000,25.38,32.08
1723294800000,22.81,32.07
1723295700000,23.24,32.14
1723296600000,22.9,33.95
1723297500000,26.75,33.86
1723298400000,21.35,33.86
1723299300000,22.14,33.86
1723300200000,22.08,33.86
1723301100000,27.8,33.88
1723302000000,25.83,33.88
1723302900000,23.5,33.65
1723303800000,23.17,33.67
1723304700000,22.17,33.68
1723305600000,22.52,33.71
1723306500000,24.87,33.68
1723307400000,26.21,33.68
1723308300000,21.36,33.69
1723309200000,23.13,33.72
1723310100000,22.25,33.53
1723311000000,22.04,33.48
1723311900000,22.03,33.49
1723312800000,23.46,33.52
1723313700000,21.59,33.49
1723314600000,20.95,33.49
