date,cpu,memory
1723219200000,17.32,31.52
1723220100000,17.38,31.6
1723221000000,18.02,31.52
1723221900000,16.16,31.52
1723222800000,16.67,31.55
1723223700000,16.58,31.51
1723224600000,17.3,31.52
1723225500000,14.93,31.5
1723226400000,42.51,33.31
1723227300000,15.44,31.8
1723228200000,16.88,31.85
1723229100000,16.59,31.85
1723230000000,20.32,31.86
1723230900000,18.2,31.86
1723231800000,16.26,31.76
1723232700000,17.5,31.73
1723233600000,17.61,31.73
1723234500000,17.05,31.78
1723235400000,23.18,31.88
1723236300000,16.88,31.68
1723237200000,17.61,31.67
1723238100000,17.69,31.65
1723239000000,17.4,31.65
1723239900000,15.9,31.65
1723240800000,27.15,31.68
1723241700000,17.38,31.65
1723242600000,14.42,31.63
1723243500000,17.33,31.6
1723244400000,17.53,31.69
1723245300000,17.45,31.67
1723246200000,16.27,31.6
1723247100000,17.59,31.6
1723248000000,17.4,31.58
1723248900000,17.15,31.58
1723249800000,16.99,31.56
1723250700000,18.55,31.55
1723251600000,16.5,31.53
1723252500000,14.8,31.54
1723253400000,18.3,31.55
1723254300000,17.67,31.6
1723255200000,16.86,31.6
1723256100000,16.57,31.6
1723257000000,17.47,31.62
1723257900000,17.07,31.63
1723258800000,14.92,31.63
1723259700000,17.59,31.63
1723260600000,16.66,31.63
1723261500000,18.72,31.66
1723262400000,17.04,31.65
1723263300000,17.17,31.66
1723264200000,16.65,31.63
1723265100000,17.45,31.62
1723266000000,16.8,31.64
1723266900000,17.33,31.64
1723267800000,13.86,31.65
1723268700000,16.7,31.64
1723269600000,16.47,31.58
1723270500000,15.62,31.58
1723271400000,17.19,31.58
1723272300000,16.7,31.57
1723273200000,16.84,31.57
1723274100000,14.01,31.56
1723275000000,16.34,31.57
1723275900000,17.33,32.99
1723276800000,21.29,33.02
1723277700000,17.45,33.01
1723278600000,18.31,33.02
1723279500000,17.31,32.95
1723280400000,15.56,32.96
1723281300000,17.18,32.97
1723282200000,18.64,32.98
1723283100000,16.38,33.01
1723284000000,17.26,33.02
1723284900000,17.83,33.03
1723285800000,17.04,33.09
1723286700000,10.37,33.09
1723287600000,17.16,33.11
1723288500000,16.4,33.04
1723289400000,16.4,33.04
1723290300000,17.09,33.04
1723291200000,16.84,33.04
1723292100000,17.6,33.03
1723293000000,16.78,33.03
1723293900000,15.53,33.03
1723294800000,17.84,33.07
1723295700000,17.04,33.1
1723296600000,17.48,33.08
1723297500000,17.29,33.03
1723298400000,17.52,32.99
1723299300000,17.1,32.98
1723300200000,18.18,32.98
1723301100000,16.79,32.98
1723302000000,16.53,32.98
1723302900000,17.51,32.97
1723303800000,17.17,32.94
1723304700000,16.53,32.94
1723305600000,32.28,34.59
1723306500000,17.21,33.03
1723307400000,17.33,33.03
1723308300000,20.32,33.03
1723309200000,17.8,33.02
1723310100000,16.76,33.0
1723311000000,17.92,33.0
1723311900000,16.15,33.01
1723312800000,17.86,33.02
1723313700000,17.88,33.01
1723314600000,15.59,33.01
1723315500000,17.23,32.97
1723316400000,17.35,32.97
1723317300000,16.39,32.96
1723318200000,15.64,32.95
1723319100000,17.52,32.96
1723320000000,16.79,32.97
1723320900000,16.42,32.94
1723321800000,20.96,33.27
1723322700000,16.87,33.18
1723323600000,17.67,33.16
1723324500000,17.77,33.15
1723325400000,16.89,33.16
1723326300000,17.77,33.02
1723327200000,23.67,33.06
1723328100000,17.8,33.04
1723329000000,16.8,33.04
1723329900000,16.9,33.04
1723330800000,17.18,33.04
1723331700000,17.59,33.01
1723332600000,17.07,33.03
1723333500000,17.36,33.13
1723334400000,18.04,33.14
1723335300000,17.69,33.14
1723336200000,17.17,33.13
1723337100000,17.0,33.12
1723338000000,17.64,33.06
1723338900000,16.49,33.06
1723339800000,17.54,33.06
1723340700000,11.99,33.06
1723341600000,17.13,33.08
1723342500000,17.04,33.05
1723343400000,16.56,33.05
1723344300000,12.5,33.05
1723345200000,14.44,33.06
1723346100000,14.65,33.06
1723347000000,20.66,33.06
1723347900000,15.15,26.36
