date,cpu,memory
1723219200000,9.97,35.93
1723220100000,10.2,35.95
1723221000000,9.69,35.93
1723221900000,10.32,35.92
1723222800000,9.67,35.95
1723223700000,10.57,35.93
1723224600000,10.1,35.93
1723225500000,10.06,35.91
1723226400000,15.48,36.48
1723227300000,10.33,36.56
1723228200000,17.38,36.55
1723229100000,10.19,36.56
1723230000000,10.1,36.55
1723230900000,10.19,36.54
1723231800000,16.96,36.53
1723232700000,9.45,36.56
1723233600000,9.31,36.52
1723234500000,9.18,36.51
1723235400000,17.47,36.62
1723236300000,10.05,36.42
1723237200000,9.96,36.34
1723238100000,9.41,36.42
1723239000000,9.68,36.34
1723239900000,9.7,36.33
1723240800000,20.06,36.38
1723241700000,10.44,36.37
1723242600000,9.58,36.36
1723243500000,9.29,36.3
1723244400000,9.44,36.29
1723245300000,9.44,36.27
1723246200000,9.32,36.26
1723247100000,9.31,36.25
1723248000000,9.69,36.26
1723248900000,10.07,36.25
1723249800000,9.21,36.28
1723250700000,9.18,36.28
1723251600000,10.28,36.26
1723252500000,9.69,36.24
1723253400000,9.6,36.29
1723254300000,9.33,36.28
1723255200000,11.11,36.2
1723256100000,9.68,36.19
1723257000000,10.08,36.17
1723257900000,9.95,36.16
1723258800000,9.43,36.16
1723259700000,9.46,36.11
1723260600000,9.72,36.11
1723261500000,9.47,36.1
1723262400000,9.95,36.11
1723263300000,9.34,36.1
1723264200000,9.94,36.1
1723265100000,10.14,36.09
1723266000000,9.83,36.09
1723266900000,9.33,36.07
1723267800000,9.54,36.08
1723268700000,9.96,36.08
1723269600000,9.72,36.07
1723270500000,8.56,36.07
1723271400000,9.05,36.05
1723272300000,9.34,36.05
1723273200000,9.21,36.05
1723274100000,9.1,36.04
1723275000000,9.32,36.03
1723275900000,9.72,36.02
1723276800000,9.41,36.04
1723277700000,9.53,36.01
1723278600000,9.59,36.03
1723279500000,9.66,36.0
1723280400000,9.28,35.99
1723281300000,9.46,36.01
1723282200000,10.49,36.04
1723283100000,9.55,36.04
1723284000000,9.6,36.06
1723284900000,9.69,36.06
1723285800000,9.07,36.06
1723286700000,9.21,36.08
1723287600000,9.47,36.06
1723288500000,9.56,36.06
1723289400000,9.31,36.06
1723290300000,9.55,36.05
1723291200000,9.3,36.06
1723292100000,9.43,36.06
1723293000000,9.07,36.08
1723293900000,9.05,36.07
1723294800000,9.16,36.07
1723295700000,9.85,36.08
1723296600000,9.59,36.08
1723297500000,9.3,36.08
1723298400000,9.45,36.08
1723299300000,9.41,36.08
1723300200000,9.7,36.09
1723301100000,10.19,36.1
1723302000000,9.72,36.08
1723302900000,9.18,36.08
1723303800000,42.19,36.08
1723304700000,10.1,36.15
1723305600000,9.3,36.16
1723306500000,52.49,37.3
1723307400000,9.81,36.23
1723308300000,9.18,36.23
1723309200000,9.33,36.25
1723310100000,10.58,36.25
1723311000000,9.73,36.25
1723311900000,9.29,36.25
1723312800000,14.21,36.52
1723313700000,9.2,36.39
1723314600000,9.55,36.42
1723315500000,9.57,36.39
1723316400000,8.8,36.4
1723317300000,9.43,36.38
1723318200000,15.98,36.36
1723319100000,9.31,36.37
1723320000000,9.18,36.35
1723320900000,9.45,36.34
1723321800000,16.22,36.61
1723322700000,9.84,36.36
1723323600000,9.44,36.28
1723324500000,10.27,36.28
1723325400000,9.93,36.28
1723326300000,9.57,36.28
1723327200000,23.45,36.27
1723328100000,9.83,36.24
1723329000000,9.56,36.24
1723329900000,10.09,36.25
1723330800000,9.19,36.23
1723331700000,9.2,36.23
1723332600000,9.58,36.24
1723333500000,9.69,36.24
1723334400000,9.7,36.24
1723335300000,9.61,36.22
1723336200000,9.59,36.21
1723337100000,10.22,36.22
1723338000000,9.08,36.22
1723338900000,10.58,36.21
1723339800000,23.01,36.26
1723340700000,9.34,36.26
1723341600000,9.83,36.26
1723342500000,9.33,36.26
1723343400000,9.09,36.26
1723344300000,9.86,36.26
1723345200000,9.83,36.26
1723346100000,9.09,36.25
1723347000000,56.29,36.24
1723347900000,9.28,25.05
1723348800000,10.1,25.04
1723349700000,9.84,25.09
1723350600000,10.57,25.13
1723351500000,9.05,25.13
1723352400000,20.86,25.76
1723353300000,9.66,25.19
1723354200000,9.58,25.28
1723355100000,10.68,25.24
1723356000000,9.58,25.28
1723356900000,9.31,25.33
1723357800000,9.48,25.39
1723358700000,9.1,25.37
1723359600000,9.46,25.3
1723360500000,10.02,25.31
1723361400000,9.57,25.31
1723362300000,9.08,25.31
1723363200000,9.56,25.34
1723364100000,10.08,25.34
1723365000000,10.58,25.35
1723365900000,9.67,25.36
1723366800000,9.75,25.36
1723367700000,9.69,25.38
1723368600000,9.85,25.39
1723369500000,9.44,25.39
1723370400000,9.8,25.4
1723371300000,9.45,25.47
1723372200000,8.91,25.54
1723373100000,9.58,25.56
1723374000000,9.45,25.59
1723374900000,9.57,25.59
1723375800000,9.56,25.51
1723376700000,9.56,25.51
1723377600000,9.81,25.51
1723378500000,9.94,26.04
1723379400000,9.81,26.09
1723380300000,9.19,26.12
1723381200000,9.68,26.12
1723382100000,10.08,26.09
1723383000000,9.12,26.07
1723383900000,9.43,26.09
1723384800000,31.45,37.78
1723385700000,11.7,37.44
1723386600000,9.34,37.39
1723387500000,9.96,37.38
1723388400000,9.94,37.39
1723389300000,9.08,37.38
1723390200000,10.08,37.35
1723391100000,9.31,37.34
1723392000000,9.55,37.39
1723392900000,9.46,37.37
1723393800000,9.44,37.37
1723394700000,10.03,37.37
1723395600000,9.56,37.44
1723396500000,9.74,37.39
1723397400000,9.7,37.39
1723398300000,9.59,37.37
1723399200000,16.57,37.52
1723400100000,9.45,37.26
1723401000000,9.82,37.24
1723401900000,9.85,37.23
1723402800000,9.79,37.22
1723403700000,10.46,37.21
1723404600000,18.38,37.22
1723405500000,9.67,37.22
1723406400000,9.97,37.19
1723407300000,9.06,37.21
1723408200000,18.49,37.49
1723409100000,9.42,37.08
1723410000000,10.07,37.07
1723410900000,10.07,37.07
1723411800000,9.72,37.06
1723412700000,9.59,37.01
1723413600000,18.62,37.04
1723414500000,9.68,37.0
1723415400000,9.11,37.01
1723416300000,10.05,37.01
1723417200000,10.08,37.0
1723418100000,9.6,36.99
1723419000000,9.47,37.05
1723419900000,9.69,37.03
1723420800000,14.73,37.07
1723421700000,9.34,37.36
1723422600000,53.18,38.07
1723423500000,19.64,37.89
1723424400000,42.18,37.89
1723425300000,24.7,37.62
1723426200000,16.41,37.66
1723427100000,13.09,37.48
1723428000000,18.98,37.38
1723428900000,12.46,37.37
1723429800000,10.66,37.41
1723430700000,35.9,37.32
1723431600000,34.11,37.29
1723432500000,26.78,37.65
1723433400000,28.41,37.51
1723434300000,20.91,37.15
1723435200000,10.28,37.12
1723436100000,18.85,37.08
1723437000000,25.96,37.06
1723437900000,10.47,37.02
1723438800000,26.91,36.98
1723439700000,21.31,37.11
1723440600000,34.69,37.85
1723441500000,26.91,37.93
1723442400000,32.24,38.65
1723443300000,43.35,38.85
1723444200000,44.33,39.63
1723445100000,68.78,40.05
1723446000000,62.17,40.86
1723446900000,61.35,41.68
1723447800000,54.21,41.9
1723448700000,86.82,41.65
1723449600000,86.04,41.34
1723450500000,77.14,41.17
1723451400000,78.54,41.12
1723452300000,74.59,40.77
1723453200000,38.26,40.37
1723454100000,39.42,40.59
1723455000000,12.94,40.16
1723455900000,27.15,40.11
1723456800000,12.1,40.01
1723457700000,11.74,39.96
1723458600000,17.84,39.95
1723459500000,9.72,39.91
1723460400000,9.57,39.9
1723461300000,10.07,39.9
1723462200000,13.82,39.91
1723463100000,13.92,39.76
1723464000000,16.09,39.9
1723464900000,10.57,39.86
1723465800000,10.33,39.88
1723466700000,12.82,39.81
1723467600000,15.62,39.87
1723468500000,10.48,39.81
1723469400000,13.07,39.91
1723470300000,13.4,39.76
1723471200000,25.07,39.81
1723472100000,10.51,39.61
1723473000000,20.73,39.81
1723473900000,17.85,39.81
1723474800000,15.42,39.7
1723475700000,10.33,39.71
1723476600000,13.15,39.64
1723477500000,10.91,39.61
1723478400000,15.01,39.55
1723479300000,10.42,39.53
1723480200000,14.45,39.52
1723481100000,15.39,39.5
1723482000000,13.48,39.51
1723482900000,11.59,39.48
1723483800000,13.73,39.46
1723484700000,15.82,39.45
1723485600000,17.3,39.61
1723486500000,14.07,39.49
1723487400000,15.77,39.47
1723488300000,13.38,39.46
1723489200000,14.63,39.47
1723490100000,11.74,39.55
1723491000000,14.83,39.51
1723491900000,17.78,39.51
1723492800000,17.97,39.51
1723493700000,9.76,39.5
1723494600000,17.91,39.72
1723495500000,13.84,39.2
1723496400000,15.64,39.19
1723497300000,10.42,39.18
1723498200000,20.4,39.18
1723499100000,11.99,39.21
1723500000000,21.68,39.25
1723500900000,19.01,39.15
1723501800000,15.79,39.16
1723502700000,10.28,39.13
1723503600000,12.7,39.1
1723504500000,15.61,39.13
1723505400000,11.59,39.18
1723506300000,10.98,39.17
1723507200000,14.24,39.15
1723508100000,13.83,39.28
1723509000000,70.81,40.11
1723509900000,11.23,39.96
1723510800000,16.23,39.58
1723511700000,13.77,39.98
1723512600000,17.86,39.58
1723513500000,49.82,39.91
1723514400000,29.79,39.6
1723515300000,28.56,39.35
1723516200000,15.83,39.3
1723517100000,28.3,39.27
1723518000000,35.86,39.3
1723518900000,30.56,39.17
1723519800000,25.73,39.13
1723520700000,32.7,39.09
1723521600000,17.9,39.07
1723522500000,23.61,39.0
1723523400000,15.26,39.02
1723524300000,24.5,38.97
1723525200000,30.12,39.21
1723526100000,28.87,39.14
1723527000000,24.81,39.39
1723527900000,27.69,39.3
1723528800000,50.94,39.17
1723529700000,36.12,39.07
1723530600000,46.85,39.13
1723531500000,47.39,39.16
1723532400000,43.91,39.14
1723533300000,54.1,39.23
1723534200000,67.1,39.41
1723535100000,78.13,39.52
1723536000000,92.56,40.01
1723536900000,72.84,40.26
1723537800000,79.15,40.13
1723538700000,50.19,40.04
1723539600000,38.62,40.06
1723540500000,27.55,39.72
1723541400000,19.13,39.57
1723542300000,12.92,39.52
1723543200000,18.12,39.54
1723544100000,21.75,39.5
1723545000000,13.11,39.53
1723545900000,15.21,39.44
1723546800000,18.88,39.5
1723547700000,19.19,39.36
1723548600000,15.08,39.51
1723549500000,11.94,39.42
1723550400000,13.62,39.27
1723551300000,14.61,39.22
1723552200000,15.75,39.62
1723553100000,13.17,39.9
1723554000000,15.11,39.44
1723554900000,23.72,39.41
1723555800000,15.7,39.64
1723556700000,16.0,39.61
1723557600000,78.04,40.28
1723558500000,13.76,40.25
1723559400000,14.72,39.96
1723560300000,14.05,39.9
1723561200000,16.38,39.75
1723562100000,15.85,39.66
1723563000000,14.68,39.61
1723563900000,13.11,39.59
1723564800000,14.99,39.67
1723565700000,10.96,39.63
1723566600000,18.18,39.61
1723567500000,18.51,39.58
1723568400000,12.88,39.58
1723569300000,14.68,39.53
1723570200000,19.43,39.52
1723571100000,14.51,39.48
1723572000000,19.9,39.63
1723572900000,14.3,39.48
1723573800000,17.61,39.38
1723574700000,19.38,39.36
1723575600000,18.19,39.33
1723576500000,15.01,39.3
1723577400000,18.62,39.31
1723578300000,14.19,39.33
1723579200000,18.54,39.3
1723580100000,14.11,39.31
1723581000000,20.94,39.63
1723581900000,11.44,39.35
1723582800000,14.89,39.37
1723583700000,16.5,39.33
1723584600000,15.22,39.31
1723585500000,15.13,39.32
1723586400000,23.83,39.33
1723587300000,13.75,39.3
1723588200000,15.34,39.29
1723589100000,13.29,39.3
1723590000000,15.28,39.3
1723590900000,13.91,39.3
1723591800000,15.51,39.36
1723592700000,10.49,39.3
1723593600000,15.63,39.4
1723594500000,15.11,39.41
1723595400000,63.68,40.18
1723596300000,16.01,40.14
1723597200000,43.3,40.06
1723598100000,35.3,39.98
1723599000000,19.69,39.83
1723599900000,34.1,39.71
1723600800000,21.49,39.7
1723601700000,24.34,39.72
1723602600000,19.9,39.79
1723603500000,26.26,39.72
1723604400000,17.57,39.76
1723605300000,37.92,39.88
1723606200000,20.91,39.87
1723607100000,19.6,39.71
1723608000000,16.73,39.72
1723608900000,11.97,39.71
1723609800000,26.28,39.71
1723610700000,19.17,39.75
1723611600000,24.43,39.78
1723612500000,23.69,39.76
1723613400000,33.66,40.06
1723614300000,30.98,40.15
1723615200000,60.62,40.18
1723616100000,43.75,40.16
1723617000000,37.66,40.37
1723617900000,51.85,40.48
1723618800000,59.7,40.5
1723619700000,65.16,40.48
1723620600000,80.97,40.41
1723621500000,91.11,40.63
1723622400000,86.57,40.79
1723623300000,91.28,40.82
1723624200000,54.84,40.85
1723625100000,59.27,40.44
1723626000000,24.43,40.21
1723626900000,38.28,40.24
1723627800000,22.67,40.23
1723628700000,33.05,40.21
1723629600000,14.89,40.26
1723630500000,31.17,40.21
1723631400000,15.57,40.23
1723632300000,10.08,40.21
1723633200000,11.52,40.2
1723634100000,14.24,40.03
1723635000000,15.57,40.28
1723635900000,14.63,40.16
1723636800000,11.57,40.04
1723637700000,15.46,39.99
1723638600000,15.18,39.87
1723639500000,15.08,39.82
1723640400000,17.26,39.74
1723641300000,10.58,39.83
1723642200000,19.4,40.23
1723643100000,11.96,40.32
1723644000000,17.67,40.3
1723644900000,13.68,40.3
1723645800000,14.73,40.22
1723646700000,16.91,40.24
1723647600000,17.92,40.17
1723648500000,15.91,40.12
1723649400000,14.11,40.06
1723650300000,10.45,40.03
1723651200000,12.96,40.1
1723652100000,18.89,40.1
1723653000000,14.67,40.09
1723653900000,14.5,40.07
1723654800000,14.14,39.98
1723655700000,15.22,39.95
1723656600000,12.31,39.95
1723657500000,13.32,39.95
1723658400000,19.37,40.05
1723659300000,15.37,39.89
1723660200000,14.94,39.9
1723661100000,13.49,39.87
1723662000000,15.2,39.88
1723662900000,67.18,39.86
1723663800000,20.9,39.86
1723664700000,13.16,39.9
1723665600000,14.97,39.9
1723666500000,10.7,39.9
1723667400000,21.01,40.25
1723668300000,14.77,39.86
1723669200000,13.47,39.88
1723670100000,13.84,39.91
1723671000000,14.96,39.93
1723671900000,15.15,39.84
1723672800000,24.71,39.83
1723673700000,11.79,39.83
1723674600000,14.64,39.9
1723675500000,15.27,39.86
1723676400000,13.98,40.01
1723677300000,14.48,39.95
1723678200000,14.75,39.99
1723679100000,15.22,40.01
1723680000000,14.99,39.96
1723680900000,14.18,39.91
1723681800000,29.43,41.06
1723682700000,15.84,40.97
1723683600000,29.8,40.59
1723684500000,18.44,40.61
1723685400000,33.62,40.51
1723686300000,23.8,40.74
1723687200000,46.11,40.79
1723688100000,22.49,40.83
1723689000000,34.8,40.45
1723689900000,20.47,40.27
1723690800000,34.3,40.59
1723691700000,27.01,40.38
1723692600000,30.68,40.43
1723693500000,26.91,40.7
1723694400000,28.63,40.41
1723695300000,28.43,40.4
1723696200000,18.22,40.42
1723697100000,28.29,40.42
1723698000000,43.64,40.46
1723698900000,13.98,40.52
1723699800000,42.97,40.76
1723700700000,37.54,40.81
1723701600000,59.12,40.97
1723702500000,44.82,40.96
