date,cpu,memory
1723219200000,10.4,73.21
1723220100000,9.3,73.16
1723221000000,10.0,73.18
1723221900000,12.9,73.16
1723222800000,15.4,73.19
1723223700000,10.7,73.19
1723224600000,9.5,73.19
1723225500000,9.8,73.18
1723226400000,12.0,73.23
1723227300000,10.7,73.19
1723228200000,21.1,73.17
1723229100000,12.9,73.17
1723230000000,11.7,73.17
1723230900000,9.7,73.17
1723231800000,8.7,73.16
1723232700000,13.6,73.17
1723233600000,10.7,73.16
1723234500000,8.6,73.16
1723235400000,10.4,73.16
1723236300000,9.9,73.16
1723237200000,12.1,73.16
1723238100000,11.3,73.22
1723239000000,64.4,74.22
1723239900000,65.3,74.21
1723240800000,64.7,74.2
1723241700000,63.9,74.21
1723242600000,64.9,74.2
1723243500000,63.6,74.21
1723244400000,70.6,74.2
1723245300000,65.2,74.21
1723246200000,13.3,73.17
1723247100000,12.5,73.14
1723248000000,16.0,73.16
1723248900000,11.6,73.19
1723249800000,11.7,73.16
1723250700000,15.4,73.16
1723251600000,17.5,73.17
1723252500000,15.2,73.17
1723253400000,15.4,73.2
1723254300000,16.5,73.17
1723255200000,16.1,73.18
1723256100000,15.5,73.18
1723257000000,14.3,73.16
1723257900000,15.2,73.18
1723258800000,15.8,73.16
1723259700000,20.2,73.26
1723260600000,13.1,73.18
1723261500000,14.8,73.16
1723262400000,15.9,73.19
1723263300000,15.9,73.17
1723264200000,13.3,73.18
1723265100000,16.1,73.16
1723266000000,15.0,73.17
1723266900000,14.9,73.16
1723267800000,13.4,73.18
1723268700000,15.7,73.16
1723269600000,18.4,73.17
1723270500000,16.4,73.17
1723271400000,18.9,73.16
1723272300000,12.8,73.16
1723273200000,14.1,73.17
1723274100000,15.0,73.17
1723275000000,14.4,73.17
1723275900000,15.3,73.16
1723276800000,19.0,73.18
1723277700000,14.0,73.18
1723278600000,15.9,73.17
1723279500000,15.2,73.18
1723280400000,15.2,73.17
1723281300000,17.4,73.25
1723282200000,13.7,73.16
