date,cpu,memory
1723219200000,5.2,59.37
1723220100000,2.9,59.38
1723221000000,1.7,59.39
1723221900000,1.5,59.38
1723222800000,1.7,59.37
1723223700000,1.8,59.38
1723224600000,2.2,59.38
1723225500000,6.9,59.37
1723226400000,1.6,59.36
1723227300000,1.7,59.38
1723228200000,1.6,59.39
1723229100000,2.1,59.39
1723230000000,2.4,59.37
1723230900000,3.8,59.38
1723231800000,1.8,59.39
1723232700000,2.4,59.38
1723233600000,1.6,59.37
1723234500000,2.2,59.39
1723235400000,4.6,59.43
1723236300000,1.5,59.4
1723237200000,3.9,59.38
1723238100000,1.5,59.39
1723239000000,1.8,59.4
1723239900000,3.0,59.41
1723240800000,4.2,59.38
1723241700000,2.3,59.39
1723242600000,2.2,59.4
1723243500000,2.6,59.39
1723244400000,2.5,59.37
1723245300000,4.3,59.39
1723246200000,2.3,59.4
1723247100000,2.9,59.39
1723248000000,2.3,59.38
1723248900000,2.5,59.38
1723249800000,2.3,59.4
1723250700000,4.3,59.39
1723251600000,2.7,59.38
1723252500000,1.9,59.39
1723253400000,3.3,59.45
1723254300000,2.0,59.43
1723255200000,2.6,59.42
1723256100000,4.3,59.41
1723257000000,2.4,59.42
1723257900000,2.2,59.41
1723258800000,2.4,59.4
1723259700000,2.1,59.41
1723260600000,5.8,59.43
1723261500000,2.5,59.44
1723262400000,3.5,59.4
1723263300000,1.8,59.42
1723264200000,3.1,59.45
1723265100000,4.2,59.43
1723266000000,3.1,59.42
1723266900000,1.8,59.42
1723267800000,3.8,59.44
1723268700000,7.2,59.44
1723269600000,2.6,59.41
1723270500000,4.5,59.43
1723271400000,2.5,59.44
1723272300000,1.8,59.43
1723273200000,2.8,59.42
1723274100000,2.1,59.43
1723275000000,2.3,59.43
1723275900000,4.8,59.46
1723276800000,2.4,59.44
1723277700000,1.8,59.42
1723278600000,2.0,59.43
1723279500000,2.1,59.42
1723280400000,5.7,59.41
1723281300000,2.3,59.42
1723282200000,2.3,59.44
1723283100000,3.4,59.45
1723284000000,4.8,59.42
1723284900000,1.8,59.43
1723285800000,5.6,59.44
1723286700000,2.6,59.43
1723287600000,3.2,59.42
1723288500000,1.8,59.43
1723289400000,3.7,59.43
1723290300000,3.4,59.43
1723291200000,2.5,59.42
1723292100000,2.2,59.43
1723293000000,3.0,59.44
1723293900000,2.1,59.44
1723294800000,4.1,59.43
1723295700000,4.8,59.43
1723296600000,2.7,59.43
1723297500000,2.1,59.43
1723298400000,7.5,59.47
1723299300000,2.0,59.44
1723300200000,1.4,59.44
1723301100000,3.0,59.43
1723302000000,3.1,59.42
1723302900000,1.9,59.41
1723303800000,1.7,59.43
1723304700000,2.2,59.46
1723305600000,2.7,59.43
1723306500000,2.1,59.42
1723307400000,1.9,59.44
1723308300000,2.5,59.43
1723309200000,2.2,59.42
1723310100000,2.2,59.42
1723311000000,2.7,59.44
1723311900000,2.2,59.44
1723312800000,3.6,59.43
1723313700000,2.6,59.43
1723314600000,3.3,59.44
1723315500000,4.1,59.43
1723316400000,3.2,59.42
1723317300000,1.8,59.41
1723318200000,2.5,59.41
1723319100000,2.9,59.44
1723320000000,3.1,59.43
1723320900000,3.3,59.43
1723321800000,2.4,59.42
1723322700000,3.1,59.44
1723323600000,5.1,59.43
1723324500000,3.6,59.42
1723325400000,2.7,59.41
1723326300000,4.1,59.46
1723327200000,3.1,59.44
1723328100000,2.6,59.43
1723329000000,2.6,59.42
1723329900000,2.7,59.44
1723330800000,4.6,59.43
1723331700000,3.4,59.42
1723332600000,3.4,59.42
1723333500000,4.3,59.44
1723334400000,5.0,59.44
1723335300000,2.8,59.43
1723336200000,3.0,59.42
1723337100000,2.7,59.44
1723338000000,6.1,59.43
1723338900000,3.8,59.42
1723339800000,4.7,59.46
1723340700000,2.7,59.47
1723341600000,3.9,59.44
1723342500000,3.8,59.43
1723343400000,3.1,59.42
1723344300000,2.7,59.45
1723345200000,4.3,59.43
1723346100000,2.0,59.42
1723347000000,3.4,59.43
1723347900000,3.2,58.57
1723348800000,4.5,58.59
1723349700000,2.2,58.58
1723350600000,2.4,58.57
1723351500000,2.2,58.6
1723352400000,5.0,58.59
1723353300000,3.0,58.59
1723354200000,4.4,58.64
1723355100000,2.3,58.63
1723356000000,2.9,58.63
1723356900000,3.8,58.62
1723357800000,2.8,58.61
1723358700000,2.7,58.63
1723359600000,3.3,58.63
1723360500000,2.5,58.62
1723361400000,3.0,58.61
1723362300000,3.2,58.68
1723363200000,3.8,58.67
1723364100000,2.7,58.66
1723365000000,2.9,58.65
1723365900000,2.8,58.67
1723366800000,3.5,58.67
1723367700000,3.2,58.66
1723368600000,3.0,58.65
1723369500000,4.0,58.69
1723370400000,5.7,58.68
1723371300000,3.2,58.67
1723372200000,3.8,58.67
1723373100000,4.2,58.68
1723374000000,3.9,58.68
1723374900000,3.5,58.67
1723375800000,2.9,58.66
1723376700000,2.3,58.68
1723377600000,2.8,58.68
1723378500000,3.8,58.67
1723379400000,3.0,58.66
1723380300000,2.1,58.68
1723381200000,3.6,58.69
1723382100000,3.1,58.68
1723383000000,2.6,58.67
1723383900000,3.6,58.68
1723384800000,14.4,58.91
1723385700000,2.6,58.89
1723386600000,2.9,58.84
1723387500000,2.2,58.81
1723388400000,2.7,58.83
1723389300000,2.1,58.82
1723390200000,2.1,58.81
1723391100000,3.3,58.82
1723392000000,4.0,58.83
1723392900000,2.1,58.82
1723393800000,2.4,58.8
1723394700000,1.6,58.81
1723395600000,2.6,58.82
1723396500000,1.8,58.81
1723397400000,2.0,58.81
1723398300000,6.8,58.81
1723399200000,2.3,58.82
1723400100000,2.1,58.81
1723401000000,3.9,58.81
1723401900000,2.1,58.81
1723402800000,2.9,58.83
1723403700000,2.7,58.92
1723404600000,3.0,58.92
1723405500000,2.0,58.81
1723406400000,3.0,58.82
1723407300000,1.7,58.8
1723408200000,1.9,58.79
1723409100000,2.0,58.8
1723410000000,5.1,58.86
1723410900000,3.8,58.84
1723411800000,3.0,58.82
1723412700000,2.7,58.81
1723413600000,2.4,58.82
1723414500000,2.5,58.81
1723415400000,1.9,58.79
1723416300000,2.1,58.8
1723417200000,3.5,58.84
1723418100000,2.1,58.83
1723419000000,2.6,58.82
1723419900000,3.2,58.82
1723420800000,5.3,58.85
1723421700000,2.8,58.83
1723422600000,26.2,59.34
1723423500000,4.6,59.42
1723424400000,6.9,59.3
1723425300000,5.9,59.26
1723426200000,9.3,59.3
1723427100000,7.9,59.29
1723428000000,7.2,59.28
1723428900000,6.8,59.28
1723429800000,7.2,59.28
1723430700000,6.2,59.29
1723431600000,8.3,59.29
1723432500000,7.2,59.3
