date,cpu,memory
1723219200000,1.07,44.51
1723220100000,1.0,44.51
1723221000000,1.01,44.52
1723221900000,1.11,44.52
1723222800000,1.74,44.52
1723223700000,1.02,44.51
1723224600000,0.97,44.52
1723225500000,0.98,44.51
1723226400000,1.47,44.52
1723227300000,1.11,44.52
1723228200000,1.22,44.51
1723229100000,1.23,44.51
1723230000000,0.99,44.52
1723230900000,1.86,44.51
1723231800000,6.15,44.52
1723232700000,1.2,44.52
1723233600000,0.96,44.52
1723234500000,1.05,44.52
1723235400000,1.32,44.52
1723236300000,0.97,44.51
1723237200000,0.96,44.51
1723238100000,0.94,44.51
1723239000000,0.99,44.51
1723239900000,1.07,44.51
1723240800000,1.21,44.51
1723241700000,1.26,44.51
1723242600000,1.03,44.51
1723243500000,1.01,44.51
1723244400000,0.94,44.51
1723245300000,0.95,44.51
1723246200000,1.05,44.52
1723247100000,1.22,44.51
1723248000000,1.71,44.51
1723248900000,1.01,44.51
1723249800000,0.96,44.51
1723250700000,1.03,44.51
1723251600000,0.98,44.51
1723252500000,1.46,44.51
1723253400000,1.18,44.51
1723254300000,1.25,44.51
1723255200000,0.99,44.51
1723256100000,2.37,44.51
1723257000000,0.98,44.51
1723257900000,0.96,44.51
1723258800000,1.19,44.51
1723259700000,1.15,44.51
1723260600000,1.14,44.51
1723261500000,1.0,44.51
1723262400000,0.97,44.51
1723263300000,1.05,44.51
1723264200000,1.03,44.51
1723265100000,1.06,44.51
1723266000000,6.46,44.51
1723266900000,1.19,44.51
1723267800000,1.11,44.51
1723268700000,1.0,44.51
1723269600000,1.28,44.51
1723270500000,0.96,44.51
1723271400000,1.45,44.51
1723272300000,1.18,44.51
1723273200000,2.42,44.51
1723274100000,1.37,44.51
1723275000000,1.24,44.51
1723275900000,0.98,44.51
1723276800000,0.97,44.51
1723277700000,1.01,44.52
1723278600000,1.61,44.52
1723279500000,1.18,44.51
1723280400000,0.98,44.51
1723281300000,0.93,44.51
1723282200000,1.11,44.51
1723283100000,0.96,44.52
1723284000000,1.08,44.52
1723284900000,1.21,44.51
1723285800000,1.13,44.51
1723286700000,0.99,44.51
1723287600000,0.95,44.51
1723288500000,0.96,44.51
1723289400000,1.25,44.52
1723290300000,1.02,44.52
1723291200000,1.24,44.51
1723292100000,1.18,44.51
1723293000000,1.01,44.51
1723293900000,1.01,44.51
1723294800000,1.2,44.53
1723295700000,1.48,44.52
1723296600000,1.21,44.52
1723297500000,1.19,44.52
1723298400000,2.53,44.52
1723299300000,1.56,44.51
1723300200000,1.53,44.39
1723301100000,1.11,44.39
1723302000000,1.21,44.4
1723302900000,1.57,44.4
1723303800000,1.38,44.4
1723304700000,1.07,44.4
1723305600000,1.48,44.41
1723306500000,1.07,44.4
1723307400000,1.12,44.41
1723308300000,1.1,44.41
1723309200000,1.52,44.41
1723310100000,1.42,44.4
1723311000000,1.13,44.41
1723311900000,1.19,44.41
1723312800000,1.97,44.41
1723313700000,1.61,44.41
1723314600000,1.25,44.41
1723315500000,1.38,44.41
1723316400000,1.66,44.41
1723317300000,1.49,44.41
1723318200000,1.26,44.41
1723319100000,1.14,44.41
1723320000000,1.27,44.41
1723320900000,1.35,44.41
1723321800000,1.51,44.41
1723322700000,1.25,44.41
1723323600000,1.25,44.41
1723324500000,1.29,44.41
1723325400000,1.3,44.41
1723326300000,1.36,44.42
1723327200000,1.46,44.42
1723328100000,1.54,44.42
1723329000000,1.28,44.42
1723329900000,1.23,44.42
1723330800000,1.41,44.42
1723331700000,1.39,44.42
1723332600000,1.32,44.42
1723333500000,1.34,44.42
1723334400000,1.59,44.43
1723335300000,1.21,44.43
1723336200000,1.31,44.42
1723337100000,1.19,44.43
1723338000000,1.25,44.43
1723338900000,10.07,44.43
1723339800000,1.6,44.43
1723340700000,1.32,44.43
1723341600000,1.84,44.43
1723342500000,1.25,44.43
1723343400000,1.24,44.43
1723344300000,1.29,44.43
1723345200000,1.53,44.43
1723346100000,1.47,44.43
1723347000000,1.46,44.43
1723347900000,1.3,44.43
1723348800000,1.29,44.43
1723349700000,1.26,44.43
1723350600000,1.28,44.43
1723351500000,1.36,44.43
1723352400000,1.53,44.43
1723353300000,1.27,44.43
1723354200000,1.38,44.43
1723355100000,1.33,44.43
1723356000000,1.29,44.43
1723356900000,1.33,44.43
1723357800000,1.53,44.43
1723358700000,1.46,44.43
1723359600000,1.6,44.43
1723360500000,1.64,44.43
1723361400000,1.29,44.42
1723362300000,1.48,44.42
1723363200000,1.56,44.43
1723364100000,1.39,44.42
1723365000000,1.48,44.43
1723365900000,1.1,44.42
1723366800000,1.16,44.42
1723367700000,1.1,44.42
1723368600000,1.03,44.42
1723369500000,1.06,44.43
1723370400000,1.22,44.43
1723371300000,1.25,44.43
1723372200000,0.98,44.43
1723373100000,1.39,44.43
1723374000000,0.96,44.43
1723374900000,1.03,44.43
1723375800000,1.07,44.43
1723376700000,1.17,44.43
1723377600000,1.6,44.43
1723378500000,0.99,44.43
1723379400000,0.97,44.43
1723380300000,0.96,44.43
1723381200000,1.55,44.45
1723382100000,13.54,44.43
1723383000000,1.2,44.43
1723383900000,1.19,44.43
1723384800000,0.99,44.43
1723385700000,0.99,44.43
1723386600000,1.28,44.43
1723387500000,1.08,44.43
1723388400000,1.66,44.43
1723389300000,1.16,44.43
1723390200000,1.68,44.43
1723391100000,0.97,44.43
1723392000000,1.39,44.43
1723392900000,1.28,44.43
1723393800000,1.16,44.43
1723394700000,1.1,44.44
1723395600000,1.16,44.43
1723396500000,1.09,44.43
1723397400000,0.96,44.44
1723398300000,1.01,44.43
1723399200000,1.01,44.44
1723400100000,1.13,44.43
1723401000000,1.11,44.43
1723401900000,1.4,44.43
1723402800000,1.6,44.43
1723403700000,1.44,44.44
1723404600000,1.69,44.43
1723405500000,1.14,44.43
1723406400000,1.08,44.43
1723407300000,1.3,44.43
1723408200000,1.35,44.43
1723409100000,1.38,44.43
1723410000000,1.19,44.43
1723410900000,1.16,44.43
1723411800000,1.04,44.43
1723412700000,1.16,44.43
1723413600000,1.13,44.43
1723414500000,1.21,44.43
1723415400000,1.22,44.43
1723416300000,1.0,44.43
1723417200000,1.5,44.44
1723418100000,1.03,44.44
1723419000000,2.08,44.44
1723419900000,1.17,44.44
1723420800000,1.85,44.44
1723421700000,1.03,44.44
1723422600000,1.63,44.44
1723423500000,0.99,44.44
1723424400000,1.03,44.44
1723425300000,1.04,44.44
1723426200000,1.22,44.44
1723427100000,1.15,44.45
1723428000000,1.02,44.44
1723428900000,1.01,44.44
1723429800000,1.3,44.44
1723430700000,0.99,44.44
1723431600000,1.12,44.44
1723432500000,1.23,44.44
1723433400000,1.27,44.44
1723434300000,1.03,44.44
1723435200000,1.21,44.44
1723436100000,1.13,44.4
1723437000000,1.43,44.4
1723437900000,1.36,44.4
1723438800000,1.64,44.4
1723439700000,1.13,44.4
1723440600000,1.12,44.4
1723441500000,1.17,44.41
