date,cpu,memory
1723219200000,0.87,35.1
1723220100000,0.89,35.1
1723221000000,0.88,35.1
1723221900000,0.89,35.1
1723222800000,0.81,35.1
1723223700000,0.98,35.11
1723224600000,0.74,35.1
1723225500000,0.79,35.1
1723226400000,1.34,35.11
1723227300000,0.82,35.1
1723228200000,0.92,35.1
1723229100000,0.91,35.11
1723230000000,0.81,35.1
1723230900000,0.81,35.1
1723231800000,0.86,35.11
1723232700000,0.84,35.11
1723233600000,0.87,35.11
1723234500000,0.95,35.11
1723235400000,0.95,35.11
1723236300000,0.87,35.11
1723237200000,0.85,35.11
1723238100000,0.92,35.11
1723239000000,0.91,35.11
1723239900000,0.85,35.11
1723240800000,0.93,35.11
1723241700000,0.89,35.11
1723242600000,0.85,35.1
1723243500000,0.82,35.11
1723244400000,0.9,35.1
1723245300000,0.88,35.11
1723246200000,0.74,35.11
1723247100000,0.84,35.11
1723248000000,0.78,35.11
1723248900000,0.93,35.1
1723249800000,0.85,35.1
1723250700000,0.8,35.1
1723251600000,1.02,35.1
1723252500000,0.88,35.1
1723253400000,0.91,35.1
1723254300000,0.84,35.1
1723255200000,0.93,35.1
1723256100000,0.96,35.1
1723257000000,0.82,35.1
1723257900000,0.95,35.1
1723258800000,0.98,35.1
1723259700000,0.8,35.1
1723260600000,1.5,35.1
1723261500000,0.9,35.1
1723262400000,1.31,35.1
1723263300000,1.23,35.1
1723264200000,0.95,35.1
1723265100000,0.84,35.1
1723266000000,0.91,35.11
1723266900000,0.76,35.1
1723267800000,0.88,35.1
1723268700000,0.74,35.1
1723269600000,0.71,35.1
1723270500000,0.86,35.1
1723271400000,0.77,35.1
1723272300000,1.0,35.1
1723273200000,0.86,35.1
1723274100000,0.94,35.1
1723275000000,0.9,35.1
1723275900000,0.93,35.11
1723276800000,0.75,35.1
1723277700000,0.82,35.1
1723278600000,1.01,35.1
1723279500000,0.93,35.1
1723280400000,1.02,35.1
1723281300000,0.83,35.1
1723282200000,0.92,35.1
1723283100000,1.03,35.1
1723284000000,0.98,35.1
1723284900000,0.92,35.11
1723285800000,0.77,35.1
1723286700000,0.99,35.11
1723287600000,0.94,35.1
1723288500000,0.91,35.11
1723289400000,0.89,35.1
1723290300000,0.97,35.1
1723291200000,0.97,35.11
1723292100000,0.88,35.1
1723293000000,0.96,35.1
1723293900000,0.96,35.1
1723294800000,0.9,35.11
1723295700000,0.92,35.11
1723296600000,0.97,35.1
1723297500000,0.77,35.1
1723298400000,1.53,35.1
1723299300000,0.94,35.1
1723300200000,1.02,35.1
1723301100000,0.9,35.1
1723302000000,0.93,35.1
1723302900000,0.96,35.1
1723303800000,1.02,35.1
1723304700000,1.02,35.1
1723305600000,0.7,35.1
1723306500000,0.95,35.1
1723307400000,0.85,35.11
1723308300000,0.95,35.11
1723309200000,0.97,35.1
1723310100000,0.94,35.1
1723311000000,0.89,35.11
1723311900000,0.81,35.1
1723312800000,0.98,35.11
1723313700000,0.84,35.1
1723314600000,0.9,35.1
1723315500000,0.84,35.11
1723316400000,0.81,35.1
1723317300000,0.91,35.1
1723318200000,0.89,35.1
1723319100000,0.82,35.1
1723320000000,0.93,35.1
1723320900000,0.97,35.1
1723321800000,0.95,35.1
1723322700000,0.88,35.1
1723323600000,0.89,35.1
1723324500000,0.86,35.1
1723325400000,0.85,35.1
1723326300000,0.97,35.1
1723327200000,0.85,35.1
1723328100000,0.81,35.1
1723329000000,0.96,35.1
1723329900000,0.88,35.11
1723330800000,0.92,35.11
1723331700000,0.91,35.1
1723332600000,0.81,35.11
1723333500000,0.85,35.11
1723334400000,0.91,35.1
1723335300000,0.88,35.1
1723336200000,0.91,35.1
1723337100000,0.83,35.1
1723338000000,0.94,35.1
1723338900000,0.86,35.1
1723339800000,0.82,35.11
1723340700000,0.8,35.1
1723341600000,0.84,35.11
1723342500000,0.85,35.11
1723343400000,0.88,35.11
1723344300000,0.97,35.11
1723345200000,0.88,35.11
1723346100000,0.8,35.11
1723347000000,0.94,35.11
1723347900000,0.88,35.11
1723348800000,1.04,35.11
1723349700000,0.81,35.1
1723350600000,0.83,35.1
1723351500000,0.92,35.1
1723352400000,0.83,35.1
1723353300000,0.88,35.1
1723354200000,0.85,35.1
1723355100000,1.01,35.1
1723356000000,0.85,35.1
1723356900000,0.95,35.11
1723357800000,0.76,35.11
1723358700000,0.83,35.11
1723359600000,2.52,35.11
1723360500000,2.64,35.11
1723361400000,2.17,35.11
1723362300000,2.51,35.1
1723363200000,2.64,35.1
1723364100000,2.72,35.11
1723365000000,2.34,35.1
1723365900000,2.41,35.1
1723366800000,2.23,35.11
1723367700000,0.95,35.11
1723368600000,0.76,35.11
1723369500000,0.89,35.1
1723370400000,1.03,35.11
1723371300000,0.84,35.11
1723372200000,0.86,35.11
1723373100000,0.82,35.11
1723374000000,0.86,35.11
1723374900000,0.86,35.11
1723375800000,0.96,35.11
1723376700000,1.0,35.11
1723377600000,1.0,35.11
1723378500000,0.81,35.11
1723379400000,0.82,35.11
1723380300000,0.83,35.11
1723381200000,0.73,35.11
1723382100000,0.92,35.11
1723383000000,0.83,35.11
1723383900000,0.84,35.11
1723384800000,1.68,35.11
1723385700000,1.0,35.11
1723386600000,1.0,35.11
1723387500000,0.88,35.11
1723388400000,0.95,35.11
1723389300000,0.9,35.11
1723390200000,0.9,35.1
1723391100000,0.97,35.1
1723392000000,0.96,35.11
1723392900000,0.87,35.11
1723393800000,0.77,35.11
1723394700000,0.93,35.11
1723395600000,0.82,35.11
1723396500000,0.91,35.11
1723397400000,0.82,35.11
1723398300000,1.14,35.11
1723399200000,0.82,35.11
1723400100000,0.84,35.11
1723401000000,0.67,35.11
1723401900000,1.0,35.11
1723402800000,0.9,35.11
1723403700000,0.91,35.1
1723404600000,0.89,35.11
1723405500000,1.01,35.11
1723406400000,0.82,35.11
1723407300000,0.85,35.11
1723408200000,0.81,35.11
1723409100000,0.88,35.11
1723410000000,0.98,35.11
1723410900000,0.86,35.11
1723411800000,0.87,35.11
1723412700000,0.89,35.11
1723413600000,0.92,35.11
1723414500000,0.98,35.11
1723415400000,0.92,35.11
1723416300000,0.87,35.11
1723417200000,0.87,35.11
1723418100000,0.99,35.11
1723419000000,0.81,35.11
1723419900000,0.9,35.11
1723420800000,0.82,35.11
1723421700000,0.83,35.11
1723422600000,1.0,35.11
1723423500000,0.98,35.11
1723424400000,0.86,35.11
1723425300000,0.76,35.11
1723426200000,0.92,35.11
1723427100000,0.91,35.11
1723428000000,0.91,35.11
1723428900000,0.92,35.11
1723429800000,0.93,35.11
1723430700000,0.9,35.11
1723431600000,0.97,35.11
1723432500000,1.02,35.11
1723433400000,1.07,35.11
1723434300000,1.05,35.11
1723435200000,0.88,35.11
1723436100000,1.05,35.11
1723437000000,0.95,35.11
1723437900000,0.98,35.11
1723438800000,0.95,35.11
1723439700000,1.07,35.11
1723440600000,0.99,35.11
1723441500000,0.98,35.11
1723442400000,0.92,35.11
1723443300000,1.16,35.11
1723444200000,0.98,35.11
1723445100000,0.97,35.11
1723446000000,1.0,35.1
1723446900000,1.03,35.1
1723447800000,1.26,35.1
1723448700000,1.26,35.1
1723449600000,1.29,35.1
1723450500000,1.27,35.1
1723451400000,1.18,35.1
1723452300000,1.18,35.1
1723453200000,1.15,35.1
1723454100000,0.88,35.1
1723455000000,0.94,35.1
1723455900000,0.84,35.1
1723456800000,0.94,35.1
1723457700000,1.03,35.1
1723458600000,1.0,35.1
1723459500000,0.91,35.1
1723460400000,0.96,35.1
1723461300000,0.91,35.1
1723462200000,0.96,35.1
1723463100000,0.85,35.1
1723464000000,0.86,35.1
1723464900000,0.87,35.1
1723465800000,1.01,35.1
1723466700000,0.74,35.1
1723467600000,0.89,35.1
1723468500000,0.84,35.1
1723469400000,0.85,35.1
1723470300000,0.95,35.11
1723471200000,2.06,35.11
1723472100000,0.88,35.11
1723473000000,0.81,35.1
1723473900000,0.9,35.1
1723474800000,0.85,35.11
1723475700000,0.79,35.11
1723476600000,0.77,35.1
1723477500000,0.89,35.1
1723478400000,0.81,35.1
1723479300000,0.77,35.1
1723480200000,0.84,35.11
1723481100000,0.75,35.1
1723482000000,0.85,35.1
1723482900000,0.76,35.1
1723483800000,0.87,35.1
1723484700000,0.78,35.1
1723485600000,0.91,35.1
1723486500000,0.79,35.1
1723487400000,0.79,35.1
1723488300000,0.81,35.1
1723489200000,1.05,35.1
1723490100000,0.84,35.1
1723491000000,0.93,35.1
1723491900000,0.9,35.11
1723492800000,0.77,35.1
1723493700000,0.91,35.1
1723494600000,0.97,35.1
1723495500000,0.86,35.1
1723496400000,0.96,35.1
1723497300000,0.91,35.11
1723498200000,0.85,35.11
1723499100000,0.91,35.11
1723500000000,0.87,35.11
1723500900000,0.7,35.11
1723501800000,0.82,35.11
1723502700000,0.88,35.11
1723503600000,0.88,35.11
1723504500000,0.82,35.11
1723505400000,0.81,35.11
1723506300000,0.84,35.11
1723507200000,0.89,35.11
1723508100000,0.85,35.1
1723509000000,1.09,35.1
1723509900000,0.94,35.11
1723510800000,0.98,35.1
1723511700000,0.87,35.1
1723512600000,0.99,35.1
1723513500000,0.94,35.1
1723514400000,0.97,35.1
1723515300000,1.04,35.1
1723516200000,0.87,35.11
1723517100000,0.97,35.1
1723518000000,0.99,35.1
1723518900000,0.96,35.1
1723519800000,1.04,35.1
1723520700000,0.99,35.1
1723521600000,0.91,35.1
1723522500000,0.89,35.1
1723523400000,0.92,35.1
1723524300000,0.96,35.1
1723525200000,0.98,35.1
1723526100000,0.85,35.1
1723527000000,1.12,35.1
1723527900000,1.05,35.1
1723528800000,0.98,35.1
1723529700000,1.04,35.11
1723530600000,1.13,35.1
1723531500000,1.12,35.1
1723532400000,1.11,35.1
1723533300000,2.9,35.11
1723534200000,2.66,35.1
1723535100000,2.58,35.1
1723536000000,2.66,35.1
1723536900000,2.85,35.1
1723537800000,3.14,35.11
1723538700000,2.43,35.11
1723539600000,2.19,35.11
1723540500000,2.83,35.11
1723541400000,1.04,35.1
1723542300000,1.02,35.1
